,农产品生产价格指数(上年=100),大豆生产价格指数(上年=100),奶类生产价格指数(上年=100),家禽(毛重)生产价格指数(上年=100),小麦生产价格指数(上年=100),林业产品生产价格指数(上年=100),棉花生产价格指数(上年=100),水果生产价格指数(上年=100),油料生产价格指数(上年=100),油菜籽生产价格指数(上年价格=100),海水养殖产品生产价格指数(上年=100),海水捕捞产品生产价格指数(上年=100),淡水养殖产品生产价格指数(上年=100),淡水捕捞产品生产价格指数(上年=100),渔业产品生产价格指数(上年=100),烟叶生产价格指数(上年价格=100),牛(毛重)生产价格指数(上年=100),猪(毛重)生产价格指数(上年=100),玉米生产价格指数(上年=100),畜牧业产品生产价格指数(上年=100),种植业产品生产价格指数(上年=100),稻谷生产价格指数(上年=100),糖料生产价格指数(上年=100),羊(毛重)生产价格指数(上年=100),花生生产价格指数(上年价格=100),茶叶生产价格指数(上年价格=100),蔬菜生产价格指数(上年=100),蛋类生产价格指数(上年=100),谷物生产价格指数(上年=100),豆类生产价格指数(上年价格=100),麻类生产价格指数(上年价格=100)
1978年,103.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,122.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,107.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,105.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,102.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,104.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,108.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,106.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,97.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,103.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,113.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,139.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,119.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,104.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,95.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,87.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,96.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,103.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,99.7,98.94665,99.7066,106.0858,98.1368,98.308475,103.3519,109.912775,104.8235,,,,,,95.892725,,91.441275,97.960975,91.503975,100.1527,100.035425,97.166075,86.009475,140.0112,,,95.06175,102.799825,95.828625,,
2003年,104.4,120.62,103.68,101.0,102.99,107.01,135.33,102.04,119.4,119.2,,,,,100.34,97.2,101.68,102.86,104.58,101.76,107.42,99.89,90.5,96.34,124.2,92.0,110.44,101.06,102.34,119.3,111.1
2004年,113.1,120.17,103.73,111.8,131.16,104.62,79.538,98.63,116.58,116.3,,,,,110.19,108.4,103.93,112.84,116.92,111.08,115.86,136.3,104.86,103.72,117.1,111.2,105.17,112.58,128.06,120.3,125.0
2005年,101.39,94.24,99.62,105.61,96.41,104.79,111.82,107.41,91.33,87.0,,,,,104.67,103.3,101.66,97.58,97.97,100.52,101.55,101.57,111.57,101.7,97.6,110.2,107.22,106.38,99.23,95.7,104.8
2006年,101.2,99.29,102.9,97.17,100.07,112.78,97.06,111.35,104.83,102.8,,,,,103.93,99.7,100.58,90.59,103.02,94.33,104.5,102.02,121.13,101.77,103.9,107.0,109.29,95.98,102.14,99.3,94.6
2007年,118.5,124.2,106.2,117.0,105.5,104.4,109.6,101.3,133.4,138.53,,,,,108.1,106.26,117.5,145.9,115.0,131.4,109.8,105.4,100.0,121.0,121.09,112.34,106.9,115.9,109.0,122.62,85.62
