,农村居民消费价格指数(1985=100),商品零售价格指数(1978=100),固定资产投资价格指数(1990=100),城市居民消费价格指数(1978=100),居民消费价格指数(1978=100),工业生产者出厂价格指数(1985=100),工业生产者购进价格指数(1990=100)
1978年,,100.0,,100.0,100.0,,
1979年,,102.0,,101.9,101.9,,
1980年,,108.1,,109.5,109.5,,
1981年,,110.7,,112.2,112.2,,
1982年,,112.8,,114.4,114.4,,
1983年,,114.5,,116.7,116.7,,
1984年,,117.7,,119.9,119.9,,
1985年,100.0,128.1,,134.2,131.1,100.0,
1986年,106.1,135.8,,143.6,139.5689955,103.8,
1987年,112.7,145.7,,156.2,149.757532172,112.0,
1988年,132.4,172.7,,188.5,177.91194822,128.8,
1989年,157.9,203.4,,219.2,209.936098899,152.8,96.1
1990年,165.1,207.7,100.0,222.0,216.4,159.0,100.0
1991年,168.9,213.7,109.5,233.3,223.803217976,168.9,109.1
1992年,176.8,225.2,126.2535,253.4,238.126623926,180.4,121.1
1993年,201.0,254.9,159.836931,294.2,273.131237644,223.7,163.6
1994年,248.0,310.2,176.459971824,367.8,338.955865916,267.3,193.4
1995年,291.4,356.1,186.9,429.6,396.9,307.1,222.9
1996年,314.4,377.8,194.3,467.4,429.9,316.0,231.6
1997年,322.3,380.8,197.6,481.9,441.9,315.0,234.6
1998年,319.1,370.9,197.3,479.0,438.4,302.1,224.7
1999年,314.3,359.8,196.5,472.8,432.2,294.8,217.3
2000年,314.0,354.4,198.6,476.6,434.0,303.1,228.4
2001年,316.5,351.6,199.4,479.9,437.0,299.2,227.9
2002年,315.2,347.0,199.8,475.1,433.5,292.6,222.7
2003年,320.2,346.7,204.2,479.4,438.7,299.3,233.4
2004年,335.6,356.4,215.7,495.2,455.8,317.6,260.0
2005年,343.0,359.3,219.1,503.1,464.0,333.2,281.6
2006年,348.1,362.9,222.4,510.6,471.0,343.2,298.5
2007年,366.9,376.7,231.1,533.6,493.6,353.8,311.6
2008年,390.7,398.9,251.8,563.5,522.7,378.2,344.3
2009年,389.5,394.1,245.8,558.4,519.0,357.8,317.2
2010年,403.5,406.3,254.6,576.3,536.1,377.5,347.7
2011年,426.9,426.2,271.4,606.8,565.0,400.2,379.3
2012年,437.6,434.7,274.4,623.2,579.7,393.4,372.5
2013年,449.9,440.8,275.2,639.4,594.8,385.9,365.1
2014年,458.0,445.2,276.6,652.8,606.7,378.6,357.1
