,中药材及中成药类农村商品零售价格指数(上年=100),中西药品及医疗保健用品类农村商品零售价格指数(上年=100),主食类农村商品零售价格指数(上年=100),书报杂志及电子出版物类农村商品零售价格指数(上年=100),书报杂志类农村商品零售价格指数(上年=100),五金电料类农村商品零售价格指数(上年=100),交通、通信用品类农村商品零售价格指数(上年=100),交通运输机械类农村商品零售价格指数(上年=100),体育娱乐用品类农村商品零售价格指数(上年=100),体育用品类农村商品零售价格指数(上年=100),保健器具及用品类农村商品零售价格指数(上年=100),其他日用品类农村商品零售价格指数(上年=100),其他类农村商品零售价格指数(上年=100),其他食品类农村商品零售价格指数(上年=100),农村商品零售价格指数(上年=100),化妆品类农村商品零售价格指数(上年=100),医疗器具及用品类农村商品零售价格指数(上年=100),在外用膳食品类农村商品零售价格指数(上年=100),地方小吃类农村商品零售价格指数(上年=100),娱乐用品类农村商品零售价格指数(上年=100),家具类农村商品零售价格指数(上年=100),家庭设备类农村商品零售价格指数(上年=100),家用电器及音像器材类农村商品零售价格指数(上年=100),干豆类及豆制品类农村商品零售价格指数(上年=100),干鲜瓜果类农村商品零售价格指数(上年=100),床上用品类农村商品零售价格指数(上年=100),建筑材料及五金电料类农村商品零售价格指数(上年=100),建筑装璜材料类农村商品零售价格指数(上年=100),教材及参考书类农村商品零售价格指数(上年=100),文化办公用品类农村商品零售价格指数(上年=100),文娱用耐用消费品类农村商品零售价格指数(上年=100),日用品类农村商品零售价格指数(上年=100),日用杂品类农村商品零售价格指数(上年=100),日用百货类农村商品零售价格指数(上年=100),服装、鞋帽类农村商品零售价格指数(上年=100),服装类农村商品零售价格指数(上年=100),水产品类农村商品零售价格指数(上年=100),油脂类农村商品零售价格指数(上年=100),洗涤用品类农村商品零售价格指数(上年=100),液体乳及乳制品类农村商品零售价格指数(上年=100),淀粉类农村商品零售价格指数(上年=100),炒菜类农村商品零售价格指数(上年=100),烟草类农村商品零售价格指数(上年=100),煤炭及制品类农村商品零售价格指数(上年=100),燃料类农村商品零售价格指数(上年=100),电子音像制品类农村商品零售价格指数(上年=100),石油及制品类农村商品零售价格指数(上年=100),粮食类农村商品零售价格指数(上年=100),糕点饼干面包类农村商品零售价格指数(上年=100),糖类农村商品零售价格指数(上年=100),纺织品类农村商品零售价格指数(上年=100),肉禽及其制品类农村商品零售价格指数(上年=100),茶及饮料类农村商品零售价格指数(上年=100),菜类农村商品零售价格指数(上年=100),蛋类农村商品零售价格指数(上年=100),衣着材料类农村商品零售价格指数(上年=100),西药类农村商品零售价格指数(上年=100),调味品类农村商品零售价格指数(上年=100),通讯器材类农村商品零售价格指数(上年=100),酒类农村商品零售价格指数(上年=100),金银珠宝类农村商品零售价格指数(上年=100),鞋袜帽类农村商品零售价格指数(上年=100),音像器材类农村商品零售价格指数(上年=100),食品类农村商品零售价格指数(上年=100),饮料、烟酒类农村商品零售价格指数(上年=100)
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,122.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,116.4,,,,,,,,,,,,,109.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,106.4,,,,,,,,,,,,,101.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,100.7,,,,,,,,,,,,,98.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
