,中药材及中成药类商品零售价格指数(上年=100),中西药品及医疗保健用品类商品零售价格指数(上年=100),主食类商品零售价格指数(上年=100),书报杂志及电子出版物类商品零售价格指数(上年=100),五金电料类商品零售价格指数(上年=100),交通、通信用品类商品零售价格指数(上年=100),体育娱乐用品类商品零售价格指数(上年=100),其它食品类商品零售价格指数(上年=100),化妆品类商品零售价格指数(上年=100),医疗器具及用品类商品零售价格指数(上年=100),商品零售价格指数(上年=100),在外用膳食品类商品零售价格指数(上年=100),地方小吃类商品零售价格指数(上年=100),家具类商品零售价格指数(上年=100),家用电器及音像器材类商品零售价格指数(上年=100),干鲜瓜果类商品零售价格指数(上年=100),床上用品类商品零售价格指数(上年=100),建筑材料及五金电料类商品零售价格指数(上年=100),建筑装璜材料类商品零售价格指数(上年=100),文化办公用品类商品零售价格指数(上年=100),日用品类商品零售价格指数(上年=100),日用杂品类商品零售价格指数(上年=100),日用百货类商品零售价格指数(上年=100),服装、鞋帽类商品零售价格指数(上年=100),服装类商品零售价格指数(上年=100),水产品类商品零售价格指数(上年=100),油脂类商品零售价格指数(上年=100),液体乳及乳制品类商品零售价格指数(上年=100),炒菜类商品零售价格指数(上年=100),烟草类商品零售价格指数(上年=100),燃料类商品零售价格指数(上年=100),粮食类商品零售价格指数(上年=100),糕点饼干面包类商品零售价格指数(上年=100),糖类商品零售价格指数(上年=100),纺织品类商品零售价格指数(上年=100),肉禽及其制品类商品零售价格指数(上年=100),茶及饮料类商品零售价格指数(上年=100),菜类商品零售价格指数(上年=100),蛋类商品零售价格指数(上年=100),衣着材料类商品零售价格指数(上年=100),西药类商品零售价格指数(上年=100),调味品类商品零售价格指数(上年=100),酒类商品零售价格指数(上年=100),金银珠宝类商品零售价格指数(上年=100),鞋袜帽类商品零售价格指数(上年=100),食品类商品零售价格指数(上年=100),饮料、烟酒类商品零售价格指数(上年=100)
1978年,,100.5,,,,,,,,,100.7,,,,,,,,,,100.1,,,,,,,,,,100.1,101.3,,,,,,105.0,,,,,,,,101.5,
1979年,,101.7,,,,,,,,,102.0,,,100.4,,,,,,,100.5,,,,,,,,,,100.2,103.7,,,,,,107.8,,,,,,,,105.5,
1980年,,100.9,,,,,,,,,106.0,,,101.1,,,,,,,101.2,,,,,,,,,,100.7,103.5,,,,,,110.9,,,,,,,,110.5,
1981年,,100.2,,,,,,,,,102.4,,,107.6,,,,,,,101.3,,,,,,,,,,100.6,103.9,,,,,,110.6,,,,,,,,103.7,
1982年,,101.3,,,,,,,,,101.9,,,107.9,,,,,,,99.0,,,,,,,,,,100.8,100.2,,,,,,101.8,,,,,,,,102.8,
1983年,,103.9,,,,,,,,,101.5,,,101.1,,,,,,,99.3,,,,,,,,,,101.0,99.9,,,,,,112.7,,,,,,,,102.4,
1984年,,104.9,,100.0,,,,,,,102.8,,,101.7,,,,,,,100.2,,,,,111.1,102.6,,,,102.2,99.8,,,,,,107.5,,,,,,,,102.6,
1985年,,103.8,,132.5,,,,,,,108.8,,,103.9,,,,,,,102.7,,,,,134.3,112.3,,,,104.0,110.9,,,,,,134.5,,,,,,,,114.4,
1986年,,102.0,,113.9,,,,,,,106.0,,,103.6,,,,,,,106.1,,,,,111.7,111.0,,,,103.9,109.3,,,,,,103.3,,,,,,,,107.4,
1987年,,104.6,,101.4,,,,,,,107.3,,,105.7,,,,,,,106.1,,,,,117.0,107.7,,,,103.6,106.2,,,,,,117.7,,,,,,,,110.1,
1988年,,124.8,,115.2,,,,,,,118.5,,,109.2,,,,,,,112.2,,,,,131.1,117.1,,,,116.1,114.1,,,,,,131.7,,,,,,,,123.0,
