,产品畜价格指数(上年=100),其他农业生产资料(除种子)价格指数(上年=100),其他农业生产资料价格指数(上年=100),农业生产服务价格指数(上年=100),农业生产资料指数(上年=100),农用手工工具指数(上年=100),农用机油生产资料价格指数(上年=100),农用种子生产资料价格指数(上年=100),农药及农药械生产资料价格指数(上年=100),农药器械生产资料价格指数(上年=100),化学农药生产资料价格指数(上年=100),化学肥料生产资料价格指数(上年=100),半机械化农具生产资料价格指数(上年=100),机械化农具生产资料价格指数(上年=100),饲料价格指数(上年=100)
1978年,0.0,0.0,0.0,0.0,99.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,100.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,101.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,101.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,108.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,104.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,101.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,116.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,118.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,105.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,102.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,103.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,114.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,121.6,124.4,119.8,0.0,105.9,0.0,0.0,124.9,117.8,115.9,127.0
1995年,0.0,0.0,0.0,0.0,127.4,120.0,103.0,0.0,117.4,0.0,0.0,135.4,111.0,116.4,150.3
1996年,0.0,0.0,0.0,0.0,108.4,113.2,103.9,0.0,109.5,0.0,0.0,110.8,105.5,103.6,109.6
1997年,0.0,0.0,98.1,0.0,99.5,106.9,109.0,0.0,98.6,100.9,98.3,92.2,101.4,99.0,94.8
1998年,0.0,0.0,96.3,0.0,94.5,100.1,94.9,0.0,96.4,98.5,96.1,91.4,99.6,97.6,102.6
1999年,0.0,0.0,0.0,0.0,95.8,98.8,103.9,0.0,95.3,0.0,0.0,94.9,98.3,96.4,97.0
2000年,0.0,0.0,98.6,0.0,99.1,99.3,123.9,0.0,95.3,96.8,95.1,92.9,98.2,96.5,93.4
2001年,0.0,0.0,97.4,0.0,99.1,100.3,100.0,0.0,97.1,98.0,96.9,97.9,98.8,97.1,104.1
2002年,0.0,0.0,102.9,0.0,100.5,99.7,98.9,0.0,98.0,98.7,97.9,102.4,98.3,96.9,101.5
2003年,102.8947,99.3,96.9898,0.0,101.3515,99.3046,107.7565,95.4,99.9297,100.2,99.9,101.5711,99.3517,98.4719,101.9571
2004年,127.5677,104.2,106.2887,0.0,110.6326,104.3199,108.4189,107.6,103.0018,100.8,103.3,112.7714,102.1,102.2409,116.5175
2005年,106.5439,107.5,109.4182,0.0,108.3243,105.071,111.0795,110.7,104.1222,101.7,104.5,112.8088,102.2841,102.3015,103.8812
2006年,88.0411,104.6,105.81328,107.76983,101.52918,106.2481,113.42274,106.5,101.58214,102.4,101.5,100.11728,101.81511,101.49035,101.14821
2007年,144.51957,103.8,103.36053,109.67663,107.68696,104.90021,105.28396,103.1,101.37922,101.9,101.3,103.36408,102.73382,101.68219,108.15041
2008年,131.51759,107.6,108.06419,110.32778,120.2846,112.4726,113.11375,108.3,107.95612,105.0,108.4,131.7277,107.89213,109.0106,115.82205
2009年,82.70352,95.9,102.4563,107.86016,97.48993,103.09374,94.37564,106.5,100.14992,101.5,100.0,93.70987,101.5461,100.86281,102.3742
2010年,100.76159,104.2,107.2461,104.28756,102.86071,102.50472,110.26646,109.0,100.44563,102.4,100.2,98.55552,100.66839,101.43937,108.27222
2011年,137.30439111,103.4,108.1199094,108.32372501,111.28945197,105.29367124,110.80472511,110.4,102.55746697,103.2,102.5,113.28089533,103.61375037,104.61877861,107.58303837
2012年,104.58435116,100.9,105.92609213,108.27752834,105.55744063,104.37870967,104.16833292,108.2,102.42517594,103.7,102.2,106.64418638,102.07295623,102.07133624,105.66023966
2013年,100.30595003,101.3,103.87917311,106.48438949,101.44034275,103.02110806,100.49153825,105.0,101.63454927,101.5,101.7,97.71636167,100.73413925,100.51190924,104.51715026
2014年,97.81975051,0.0,102.09550761,103.96604497,99.14654485,103.12337494,98.19980855,0.0,101.23343346,0.0,0.0,94.16174831,100.45716063,100.6016789,101.98750318
