,农村居民消费价格指数(上年=100),商品零售价格指数(上年=100),固定资产投资价格指数(上年=100),城市居民消费价格指数(上年=100),居民消费价格指数(上年=100),工业生产者出厂价格指数(上年=100),工业生产者购进价格指数(上年=100)
1978年,,100.7,,100.7,100.7,100.1,
1979年,,102.0,,101.9,101.9,101.5,
1980年,,106.0,,107.5,107.5,100.5,
1981年,,102.4,,102.5,102.5,100.2,
1982年,,101.9,,102.0,102.0,99.8,
1983年,,101.5,,102.0,102.0,99.9,
1984年,,102.8,,102.7,102.7,101.4,
1985年,107.6,108.8,,111.9,109.3,108.7,
1986年,106.1,106.0,,107.0,106.5,103.8,
1987年,106.2,107.3,,108.8,107.3,107.9,
1988年,117.5,118.5,,120.7,118.8,115.0,
1989年,119.3,117.8,,116.3,118.0,118.6,126.4
1990年,104.5,102.1,108.0,101.3,103.1,104.1,105.6
1991年,102.3,102.9,109.5,105.1,103.4,106.2,109.1
1992年,104.7,105.4,115.3,108.6,106.4,106.8,111.0
1993年,113.7,113.2,126.6,116.1,114.7,124.0,135.1
1994年,123.4,121.7,110.4,125.0,124.1,119.5,118.2
1995年,117.5,114.8,105.9,116.8,117.1,114.9,115.3
1996年,107.9,106.1,104.0,108.8,108.3,102.9,103.9
1997年,102.5,100.8,101.7,103.1,102.8,99.7,101.3
1998年,99.0,97.4,99.8,99.4,99.2,95.9,95.8
1999年,98.5,97.0,99.6,98.7,98.6,97.6,96.7
2000年,99.9,98.5,101.1,100.8,100.4,102.8,105.1
2001年,100.8,99.2,100.4,100.7,100.7262,98.7,99.8
2002年,99.6,98.7,100.2,99.0,99.2,97.8,97.7
2003年,101.6,99.9,102.2,100.9,101.2,102.3,104.8
2004年,104.8,102.8,105.6,103.3,103.9,106.1,111.4
2005年,102.1948,100.7774,101.6,101.5936,101.81,104.9,108.3
2006年,101.4551,101.02817,101.5,101.4753,101.46777,103.0,106.0
2007年,105.3667,103.79488122,103.9,104.4846,104.77267,103.1,104.4
2008年,106.49524,105.8956,108.9,105.5831,105.86457,106.9,110.5
2009年,99.687,98.79861,97.6,99.1464,99.30606,94.6,92.1
2010年,103.6111,103.07206,103.6,103.2019,103.32217,105.5,109.58
2011年,105.82252444,104.94194641,106.6,105.25022403,105.39343318,106.026,109.1
2012年,102.53354347,101.96974773,101.12,102.68417786,102.64628599,98.282,98.1548
2013年,102.76130576,101.4345825,100.25,102.5785615,102.62401527,98.0894,97.9918
2014年,101.79011931,100.9985439,100.51,102.05518757,101.98842742,98.1124,97.8325
