,中等职业学校(机构)交通运输类获得职业资格证书毕业生数,中等职业学校(机构)休闲保健类获得职业资格证书毕业生数,中等职业学校(机构)体育与健身获得职业资格证书毕业生数,中等职业学校(机构)信息技术类获得职业资格证书毕业生数,中等职业学校(机构)公共管理与服务类获得职业资格证书毕业生数,中等职业学校(机构)农林牧渔类获得职业资格证书毕业生数,中等职业学校(机构)加工制造类获得职业资格证书毕业生数,中等职业学校(机构)医药卫生类获得职业资格证书毕业生数,中等职业学校(机构)司法服务类获得职业资格证书毕业生数,中等职业学校(机构)土木水利工程类获得职业资格证书毕业生数,中等职业学校(机构)教育类获得职业资格证书毕业生数,中等职业学校(机构)文化艺术类获得职业资格证书毕业生数,中等职业学校(机构)旅游服务类获得职业资格证书毕业生数,中等职业学校(机构)能源与新能源类获得职业资格证书毕业生数,中等职业学校(机构)获得职业资格证书毕业生数,中等职业学校(机构)财经商贸类获得职业资格证书毕业生数,中等职业学校(机构)资源与环境类获得职业资格证书毕业生数
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
