,人民检察院二审刑事案件发回重审案件数,人民检察院二审发回重审案件数,人民检察院二审渎职侵权案件发回重审案件数,人民检察院二审贪污贿赂案件发回重审案件数,人民检察院再审刑事案件发回重审案件数,人民检察院再审发回重审案件数,人民检察院再审渎职侵权案件发回重审案件数,人民检察院再审贪污贿赂案件发回重审案件数,人民检察院发回重审案件数
1978年,,,,,,,,,
1979年,,,,,,,,,
1980年,,,,,,,,,
1981年,,,,,,,,,
1982年,,,,,,,,,
1983年,,,,,,,,,
1984年,,,,,,,,,
1985年,,,,,,,,,
1986年,,,,,,,,,
1987年,,,,,,,,,
1988年,,,,,,,,,
1989年,,,,,,,,,
1990年,,,,,,,,,
1991年,,,,,,,,,
1992年,,,,,,,,,
1993年,,,,,,,,,
1994年,,,,,,,,,
1995年,,,,,,,,,
1996年,,,,,,,,,
1997年,,,,,,,,,
1998年,,,,,,,,,
1999年,,,,,,,,,
2000年,,,,,,,,,
2001年,,,,,,,,,
2002年,,,,,,,,,
2003年,,,,,,,,,
2004年,,,,,,,,,
2005年,,,,,,,,,
2006年,,,,,,,,,
2007年,274.0,369.0,11.0,84.0,70.0,81.0,2.0,9.0,450.0
2008年,384.0,503.0,14.0,105.0,93.0,109.0,3.0,13.0,612.0
2009年,390.0,501.0,17.0,94.0,160.0,186.0,3.0,23.0,687.0
2010年,710.0,902.0,18.0,174.0,469.0,537.0,5.0,63.0,1439.0
2011年,618.0,833.0,30.0,185.0,345.0,400.0,5.0,50.0,1233.0
2012年,837.0,1035.0,30.0,168.0,415.0,462.0,11.0,36.0,1497.0
2013年,687.0,854.0,34.0,133.0,265.0,307.0,7.0,26.0,1161.0
2014年,729.0,941.0,44.0,168.0,273.0,323.0,7.0,43.0,1264.0
