,住户部门金融交易资金来源_中央银行贷款,住户部门金融交易资金来源_保险准备金,住户部门金融交易资金来源_其他(净),住户部门金融交易资金来源_其他对外债权债务,住户部门金融交易资金来源_净金融投资,住户部门金融交易资金来源_准备金,住户部门金融交易资金来源_国际储备资产,住户部门金融交易资金来源_国际收支错误与遗漏,住户部门金融交易资金来源_存款,住户部门金融交易资金来源_库存现金,住户部门金融交易资金来源_未贴现的银行承兑汇票,住户部门金融交易资金来源_直接投资,住户部门金融交易资金来源_证券,住户部门金融交易资金来源_证券公司客户保证金,住户部门金融交易资金来源_证券投资基金份额,住户部门金融交易资金来源_贷款,住户部门金融交易资金来源_资金来源,住户部门金融交易资金来源_资金运用,住户部门金融交易资金来源_通货,住户部门金融交易资金来源_金融机构往来
1978年,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,157.8,157.8,,,
1993年,,,,,,,,,,,,,,,,169.51,169.51,,,
1994年,,,,,,,,,,,,,,,,266.82,266.82,,,
1995年,,,,,,,,,,,,,,,,355.08,355.08,,,
1996年,,,,,,,,,,,,,,,,89.33,89.33,,,
1997年,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,839.58,839.58,,,
1999年,,,,,,,,,,,,,,,,1316.33,1316.33,,,
2000年,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,3506.78,3506.78,,,
2002年,,,,,,,,,,,,,,,,5074.31713712,5074.31713712,,,
2003年,,,,,,,,,,,,,,,,6987.62275359,6987.62275359,,,
2004年,,,,,,,,,,,,,,,,5802.49284194,5802.49284194,,,
2005年,,,,,,,,,,,,,,,,3540.8381928,3540.8381928,,,
2006年,,,,,,,,,,,,,,,,6664.0,6664.0,,,
2007年,,,,,,,,,,,,,,,,11979.0,11979.0,,,
2008年,,,,,,,,,,,,,,,,7012.0,7012.0,,,
2009年,,,,,,,,,,,,,,,,24889.0,24889.0,,,
2010年,,,,,,,,,,,,,,,,30547.75867,30547.75867,,,
2011年,,,,,,,,,,,,,,,,25496.0,25496.0,,,
2012年,,,,,,,,,,,,,,,,27724.0,27724.0,,,
2013年,,,,,,,,,,,,,,,,41850.2862512,41850.2862512,,,
2014年,,,,,,,,,,,,,,,,,,,,
