,中外合作经营大中型工业企业专利申请数,中外合资经营大中型工业企业专利申请数,其他大中型工业企业专利申请数,内资大中型工业企业专利申请数,合作经营大中型工业企业专利申请数,合资经营大中型工业企业专利申请数,国有及国有控股大中型工业企业专利申请数,国有大中型工业企业专利申请数,国有独资公司大中型工业企业专利申请数,国有联营大中型工业企业专利申请数,外商投资大中型工业企业专利申请数,外商投资股份有限公司大中型工业企业专利申请数,外资大中型工业企业专利申请数,大中型工业企业专利申请数,投资股份有限公司大中型工业企业专利申请数,有限责任公司大中型工业企业专利申请数,港、澳、台商投资大中型工业企业专利申请数,独资经营大中型工业企业专利申请数,私营大中型工业企业专利申请数,联营大中型工业企业专利申请数,股份合作大中型工业企业专利申请数,股份有限公司大中型工业企业专利申请数,集体大中型工业企业专利申请数
1978年,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,4936.0,,,,,,,,,
1997年,,,,,,,,,,,,,,5896.0,,,,,,,,,
1998年,,,,,,,,,,,,,,6317.0,,,,,,,,,
1999年,,,,,,,,,,,,,,7884.0,,,,,,,,,
2000年,,,,,,,,,,,,,,11819.0,,,,,,,,,
2001年,,,,,,,,,,,,,,15339.0,,,,,,,,,
2002年,,,,,,,,,,,,,,21297.0,,,,,,,,,
2003年,,,,,,,,,,,,,,31382.0,,,,,,,,,
2004年,,,,,,,,,,,,,,42318.0,,,,,,,,,
2005年,,,,,,,,,,,,,,55271.0,,,,,,,,,
2006年,,,,,,,,,,,,,,69009.0,,,,,,,,,
2007年,,,,,,,,,,,,,,95905.0,,,,,,,,,
2008年,103.0,9073.0,174.0,89663.0,149.0,6425.0,37642.0,9427.0,4899.0,27.0,17705.0,1436.0,7093.0,122076.0,1111.0,30117.0,14708.0,7023.0,22455.0,45.0,329.0,25783.0,1333.0
2009年,218.0,11895.0,648.0,119642.0,232.0,9480.0,52170.0,12108.0,6754.0,72.0,27339.0,1762.0,13464.0,166762.0,1350.0,39544.0,19781.0,8719.0,29057.0,99.0,573.0,36202.0,1411.0
2010年,306.0,14559.0,288.0,140484.0,336.0,11925.0,61444.0,14731.0,8081.0,19.0,34193.0,1518.0,17810.0,198890.0,1170.0,45096.0,24213.0,10782.0,37955.0,72.0,686.0,40010.0,1646.0
2011年,,,,,,,,,,,,,,265612.0,,,,,,,,,
2012年,,,,,,,,,,,,,,327116.0,,,,,,,,,
2013年,,,,,,,,,,,,,,359791.0,,,,,,,,,
2014年,,,,,,,,,,,,,,393480.0,,,,,,,,,
