,人民检察院批捕、决定逮捕犯罪嫌疑人数,人民检察院批捕、决定逮捕犯罪嫌疑人的侵犯公民人身、民主权利案人数,人民检察院批捕、决定逮捕犯罪嫌疑人的侵犯财产案人数,人民检察院批捕、决定逮捕犯罪嫌疑人的公安、安全、监狱机关提请案件人数,人民检察院批捕、决定逮捕犯罪嫌疑人的军人违反职责案人数,人民检察院批捕、决定逮捕犯罪嫌疑人的危害公共安全案人数,人民检察院批捕、决定逮捕犯罪嫌疑人的危害国家安全案人数,人民检察院批捕、决定逮捕犯罪嫌疑人的危害国防利益案人数,人民检察院批捕、决定逮捕犯罪嫌疑人的妨害社会管理秩序案人数,人民检察院批捕、决定逮捕犯罪嫌疑人的检察机关直接立案侦查案件人数,人民检察院批捕、决定逮捕犯罪嫌疑人的渎职侵权案人数,人民检察院批捕、决定逮捕犯罪嫌疑人的破坏社会主义市场经济秩序案人数,人民检察院批捕、决定逮捕犯罪嫌疑人的贪污贿赂案人数
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,598101,120320,341117,582120,28,26787,532,269,76540,15981,1323,16527,14658
1999年,663518,136243,360716,645632,18,32517,769,198,90221,17886,1452,24950,16434
2000年,715833,153875,374098,696265,8,38182,690,234,101512,19568,1513,27666,18055
2001年,841845,164471,434322,823167,8,55638,725,387,141614,18678,1555,26002,17123
2002年,782060,151537,423830,765899,9,45721,686,233,122096,16161,1175,21787,14986
2003年,764776,152165,407782,748756,1,46506,336,216,122528,16020,1364,19222,14656
2004年,828180,160129,441198,811102,17,54887,426,249,133771,17078,1576,20425,15502
2005年,876419,166134,469145,860372,16,57923,296,308,145357,16047,1436,21193,14611
2006年,906936,169069,471468,891620,13,64448,604,301,161506,15316,1485,24211,13831
2007年,937284,172706,477280,920766,12,65753,742,339,175638,16518,1628,28296,14890
2008年,970181,179185,484927,952583,2,62370,1712,252,193979,17598,1965,30156,15633
2009年,958364,191551,438246,941091,3,56115,1208,255,217823,17273,1885,35890,15388
2010年,931494,186683,404584,916209,0,57563,1045,234,228568,15285,1650,37532,13635
2011年,923510,186441,394706,908756,3,59004,930,234,226834,14754,1652,40604,13102
2012年,986056,177052,422617,969905,1,56931,1105,276,252199,16151,1820,59724,14331
2013年,896403,161807,360344,0,6,51042,0,274,258530,0,1767,47017,14679
2014年,899297,152939,334177,0,15,55473,0,230,279800,0,2162,56165,17373
