,国家专项收入,国家个人所得税,国家企业所得税,国家关税,国家其他收入,国家其他税收收入,国家出口货物退增值税、消费税,国家印花税,国家国内增值税,国家国内消费税,国家土地增值税,国家城市维护建设税,国家城镇土地使用税,国家契税,国家房产税,国家烟叶税,国家税收收入,国家罚没收入,国家耕地占用税,国家船舶吨税,国家营业税,国家行政事业性收费,国家证券交易印花税,国家财政收入,国家资源税,国家车船税,国家车辆购置税,国家进口货物增值税、消费税,国家非税收入
1978年,,,,28.76,,,,,,,,,,,,,519.28,,,,,,,1132.26,,,,,
1979年,,,,26.0,,,,,,,,,,,,,537.82,,,,,,,1146.38,,,,,
1980年,,,,33.53,,,,,,,,,,,,,571.7,,,,,,,1159.93,,,,,
1981年,,,,54.04,,,,,,,,,,,,,629.89,,,,,,,1175.79,,,,,
1982年,,,,47.46,,,,,,,,,,,,,700.02,,,,,,,1212.33,,,,,
1983年,,,,53.88,,,,,,,,,,,,,775.59,,,,,,,1366.95,,,,,
1984年,,,,103.07,,,,,,,,,,,,,947.35,,,,,,,1642.86,,,,,
1985年,,,696.06,205.21,,,17.95,,147.7,,,,,,,,2040.79,,,,211.07,,,2004.82,,,,,
1986年,,,692.4,151.62,,,42.64,,232.19,,,,,0.3,,,2090.73,,,,261.07,,,2122.01,,,,,
1987年,,,664.71,142.67,,,76.51,,254.2,,,,,0.45,,,2140.36,,1.4,,302.0,,,2199.35,,,,,
1988年,,,676.04,155.02,,,114.97,,384.37,,,,,0.68,,,2390.47,,21.16,,397.92,,,2357.24,,,,,
1989年,,,700.43,181.54,,,153.11,,430.83,,,,,0.95,,,2727.4,,16.93,,487.3,,,2664.9,,,,,
1990年,,21.1,716.0,159.01,,,185.59,,400.0,,,,,1.18,,,2821.86,,14.57,,515.75,,,2937.1,,,,,
1991年,,,731.13,187.28,,,254.62,,406.36,,,,,1.89,,,2990.17,,17.86,,564.0,,,3149.48,,,,,
1992年,,,720.78,212.75,,,265.87,,705.93,,,,,3.61,,,3296.91,,29.22,,658.67,,,3483.37,,,,,
1993年,,,678.6,256.47,,,299.65,,1081.48,,,,,6.21,,,4255.3,,29.35,,966.09,,,4348.95,,,,,
1994年,,,708.49,272.68,,,450.1,,2308.34,487.4,,,,11.82,,,5126.88,,36.47,,670.02,,,5218.1,,,,,
1995年,,131.3,878.44,291.83,,,549.84,,2602.33,541.48,,,,18.26,,,6038.04,,34.54,,865.56,,,6242.2,,,,,
1996年,,,968.48,301.84,,,827.68,,2962.81,620.23,,,,25.2,,,6909.82,,31.2,,1052.57,,,7407.99,,,,,
1997年,,,963.18,319.49,,,555.0,,3283.92,678.7,,,,32.34,,,8234.04,,32.49,,1324.27,,,8651.14,,,,,
1998年,,,925.54,313.04,,,436.24,,3628.46,814.93,,,,58.99,,,9262.8,,33.35,,1575.08,,,9875.95,,,,,
1999年,,413.657,811.41,562.23,,,626.69,,3881.87,820.66,,,,95.96,,,10682.58,,33.03,,1668.56,,,11444.08,,,,,
2000年,,659.6373,999.63,750.48,,,1050.0,,4553.17,858.29,,,,131.08,,,12581.51,,35.32,,1868.78,,,13395.23,,,,,
2001年,,995.2563,2630.87,840.52,,,1080.0,,5357.13,929.99,,,,157.08,,,15301.38,,38.33,,2064.09,,,16386.04,,,,,
2002年,,1211.7805,3082.79,704.27,,,-1150.0,,6178.39,1046.32,,470.82,76.83,239.07,,,17636.45,,57.34,8.45,2450.33,,111.98,18903.64,75.08,,348.8,1885.65,
