,地方财政一般预算收入,地方财政专项收入,地方财政个人所得税,地方财政企业所得税,地方财政其他税收收入,地方财政其他非税收入,地方财政印花税,地方财政国内增值税,地方财政国有资本经营收入,地方财政国有资源(资产)有偿使用收入,地方财政土地增值税,地方财政城市维护建设税,地方财政城镇土地使用税,地方财政契税,地方财政房产税,地方财政烟叶税,地方财政税收收入,地方财政罚没收入,地方财政耕地占用税,地方财政营业税,地方财政行政事业性收费收入,地方财政资源税,地方财政车船税,地方财政非税收入
1978年,956.49,,,,,,,,,,,,,,,,,,,,,,,
1979年,915.04,,,,,,,,,,,,,,,,,,,,,,,
1980年,875.48,,,,,,,,,,,,,,,,,,,,,,,
1981年,864.72,,,,,,,,,,,,,,,,,,,,,,,
1982年,865.49,,,,,,,,,,,,,,,,,,,,,,,
1983年,876.94,,,,,,,,,,,,,,,,,,,,,,,
1984年,977.39,,,,,,,,,,,,,,,,,,,,,,,
1985年,1235.19,,,,,,,,,,,,,,,,,,,,,,,
1986年,1343.59,,,,,,,,,,,,,,,,,,,,,,,
1987年,1463.06,,,,,,,,,,,,,,,,,,,,,,,
1988年,1582.48,,,,,,,,,,,,,,,,,,,,,,,
1989年,1842.38,,,,,,,,,,,,,,,,,,,,,,,
1990年,1944.68,,,,,,,,,,,,,,,,,,,,,,,
1991年,2211.23,,,,,,,514.56,,,,97.83,15.74,,,,2209.62,,13.33,526.59,,18.8,,
1992年,2503.86,,,,,,,587.69,,,,111.89,15.15,,,,2443.26,,21.1,618.76,,21.07,,
1993年,3391.44,,,,,,,953.91,,,,145.67,15.14,,,,3371.31,,21.9,891.14,,22.83,,
1994年,2311.6,,,,,,,579.98,,,,174.63,32.51,,,,2294.91,,36.47,647.36,,45.45,,
1995年,2985.58,,,,,,,654.41,,,,209.81,33.58,,,,2832.77,,34.54,828.24,,54.96,,
1996年,3746.92,,,,,,,742.82,,,,241.86,39.33,,,,3448.99,,31.2,1006.32,,57.33,,
1997年,4424.22,,,,,,,824.28,,,,268.67,44.05,,,,4002.04,,32.49,1160.97,,56.52,,
1998年,4983.95,,338.1993,528.6,,,,908.4424,,,,292.0,54.09,,,,4438.45,,33.35,1340.4986,176.289,61.93,,
1999年,5594.87,199.3493,412.8271,781.2924,,,67.0566,974.3208,,,6.8104,312.5677,59.0592,95.9623,183.3568,,,260.5548,33.0256,1453.709,229.0629,62.8578,20.8637,
2000年,6406.06,225.9787,510.1814,1005.4992,,,98.9006,1139.9679,,,8.3936,348.9588,64.7648,131.0811,209.3819,,,302.2454,35.316,1625.6742,285.7709,63.6158,23.4177,
2001年,7803.3,251.0648,716.0144,1636.125,,,71.1235,1341.6584,,,10.3296,380.6212,66.1542,157.0772,228.4249,,,356.692,38.334,1849.0998,371.1483,67.1084,24.6069,
2002年,8515.0,294.5679,605.8305,1200.58,,,70.795,1547.3787,,,20.5104,467.1136,76.8328,239.0709,282.3827,,7406.16,394.7191,57.339,2295.0318,514.0962,75.0832,28.9269,
2003年,9849.98,341.7288,567.2431,1178.8,,,91.113,1810.989,,,37.2812,546.7076,91.5681,358.0454,323.861,,8413.27,431.2379,89.8968,2767.564,714.1324,83.2961,32.1492,
2004年,11893.37,490.7372,694.8155,1596.0,,,123.6184,2204.4306,,,75.0391,669.7446,106.226,540.1041,366.3167,,9999.59,522.6014,120.085,3470.983,904.6327,98.8015,35.7578,
2005年,15100.76,648.7539,837.9704,2139.89,,,161.4651,2644.2211,,,140.314,791.0187,137.3444,735.14,435.9577,,12726.73,617.1631,141.849,4102.8163,1073.6983,142.199,38.8975,
2006年,18303.58,951.8845,981.5402,2681.14,,,202.5522,3196.3804,,,231.4724,933.4307,176.8092,867.6745,514.8467,,15228.21,706.3144,171.1174,4968.1725,1320.2703,207.1078,49.9738,
2007年,23572.62,1088.1574,1273.7821,3132.28,1.1784,876.6445,316.6024,3867.6217,,,403.0975,1148.6986,385.4863,1206.246,575.459,47.802,19252.12,812.0095,185.0376,6379.5064,1543.6908,261.1457,68.1635,4320.5022
2008年,28649.79,1353.4486,1488.0808,4002.0788,2.2678,303.8415,361.6114,4499.175,690.094,418.643,537.4329,1336.3005,816.896,1307.5394,680.3359,67.4456,23255.11,866.676,314.4075,7394.2867,1761.9784,301.7612,144.2129,5394.6815
2009年,32602.59,1413.283,1582.5388,3917.7526,4.7631,444.4609,402.4472,4565.2595,940.246,751.0515,719.5595,1419.919,920.9814,1735.0466,803.6563,80.8116,26157.43,938.6107,633.0674,8846.8759,1957.4985,338.2431,186.5124,6445.1506
2010年,40613.04,1742.71,1934.3,5048.3702,1.77,438.92,512.52,5196.2683,1012.74,1073.96,1278.29,1736.27,1004.01,2464.85,894.07,78.36,32701.49,1042.85,888.64,11004.573,2600.37,417.57,241.62,7911.56
2011年,52547.11,2695.01,2421.04,6746.29,1.16,866.91,616.94,5989.25,1198.86,1781.59,2062.61,2609.92,1222.26,2765.73,1102.39,91.38,41106.74,1262.63,1075.46,13504.44,3635.36,595.87,302.0,11440.37
2012年,61078.29,2819.964,2327.632,7571.6003,5.2221,1141.2279,691.2463,6737.1586,1335.9131,2740.3073,2719.0591,2934.76,1541.7127,2874.0118,1372.4907,131.7804,47319.0786,1519.4591,1620.7099,15542.9132,4202.3376,855.7584,393.0231,13759.209
2013年,69011.16,3122.2152,2612.5383,7983.3357,0.7283,1288.5149,788.8076,8276.3193,1183.6338,3415.2317,3293.9146,3243.5994,1718.7728,3844.0222,1581.5038,150.2571,53890.8801,1613.3407,1808.2327,17154.5784,4497.3466,960.307,473.9629,15120.2829
2014年,75876.58,3304.7558,2950.5815,8828.6411,0.45,1624.658,893.1233,9752.3256,1146.3407,4187.6524,3914.6849,3461.8244,1992.6198,4000.6991,1851.6379,141.0544,59139.91,1632.8859,2059.053,17712.7926,4840.3664,1039.3817,541.0633,16736.67
