,人均拥有公共图书馆藏量,公共图书馆业从业人员数,公共图书馆业机构数,公共图书馆举办培训班数,公共图书馆举办展览数,公共图书馆书刊文献外借人次,公共图书馆书刊文献外借册次,公共图书馆参加培训人次,公共图书馆参加讲座人次,公共图书馆参观展览人次,公共图书馆图书流通人次,公共图书馆当年购买的报刊种类数,公共图书馆总藏量,公共图书馆电子阅览室终端数,公共图书馆累计发放有效借书证数,公共图书馆组织各类讲座次数,公共图书馆计算机台数,公共图书馆阅览室座席数,每万人拥有公共图书馆建筑面积
1978年,0.0,0.0,1218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,1651.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,1732.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,1787.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,1889.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,2038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,2217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,2344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,2406.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,35793.0,2440.0,0.0,0.0,0.0,17306.0,0.0,0.0,0.0,11589.0,0.0,27083.0,0.0,580.0,0.0,0.0,34.0,0.0
1988年,0.0,37592.0,2485.0,0.0,0.0,0.0,18252.0,0.0,0.0,0.0,11571.0,0.0,27877.0,0.0,603.2,0.0,0.0,29.69,0.0
1989年,0.0,39103.0,2512.0,0.0,0.0,0.0,18066.0,0.0,0.0,0.0,11900.0,0.0,28368.0,0.0,591.9,0.0,0.0,31.07,0.0
1990年,0.0,40247.0,2527.0,0.0,0.0,0.0,20242.0,0.0,0.0,0.0,12435.0,0.0,29064.0,0.0,603.0,0.0,0.0,32.1,0.0
1991年,0.0,42037.0,2535.0,0.0,0.0,0.0,13325.0,0.0,0.0,0.0,79491.0,0.0,30614.0,0.0,603.8,0.0,0.0,33.9,0.0
1992年,0.0,43501.0,2558.0,0.0,0.0,0.0,12625.0,0.0,0.0,0.0,7653.0,0.0,31175.0,0.0,562.6,0.0,0.0,34.4,0.0
1993年,0.0,44367.0,2572.0,0.0,0.0,0.0,11685.0,0.0,0.0,0.0,6970.0,0.0,31410.0,0.0,562.0,0.0,0.0,34.3,0.0
1994年,0.0,0.0,2589.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,2615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,2620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
