,其他部门办普通小学在校学生数,农村其他部门办普通小学在校学生数,农村地方企业办普通小学在校学生数,农村教育部门办普通小学在校学生数,农村普通小学在校学生数,农村民办普通小学在校学生数,县镇其他部门办普通小学在校学生数,县镇地方企业办普通小学在校学生数,县镇教育部门办普通小学在校学生数,县镇普通小学在校学生数,县镇民办普通小学在校学生数,地方企业办普通小学在校学生数,城市其他部门办普通小学在校学生数,城市地方企业办普通小学在校学生数,城市教育部门办普通小学在校学生数,城市普通小学在校学生数,城市民办普通小学在校学生数,教育部门办普通小学在校学生数,普通小学在校学生数,民办普通小学在校学生数
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14624.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14662.9,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14627.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14332.8,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13972.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13578.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13557.1,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13370.2,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13182.5,0.0
1987年,0.0,0.0,0.0,0.0,10463.45,0.0,0.0,0.0,0.0,1224.43,0.0,0.0,0.0,0.0,0.0,1147.97,0.0,0.0,12835.9,0.0
1988年,0.0,0.0,0.0,0.0,10043.74,0.0,0.0,0.0,0.0,1246.43,0.0,0.0,0.0,0.0,0.0,1245.61,0.0,0.0,12535.78,0.0
1989年,0.0,0.0,0.0,0.0,9729.2,0.0,0.0,0.0,0.0,1310.6,0.0,0.0,0.0,0.0,0.0,1333.4,0.0,0.0,12373.1,0.0
1990年,0.0,0.0,0.0,0.0,9595.6,0.0,0.0,0.0,0.0,1304.6,0.0,0.0,0.0,0.0,0.0,1341.2,0.0,0.0,12241.4,0.0
1991年,0.0,0.0,0.0,0.0,9251.1,0.0,0.0,0.0,0.0,1533.0,0.0,0.0,0.0,0.0,0.0,1380.0,0.0,0.0,12164.2,0.0
1992年,0.0,0.0,0.0,0.0,9060.0,0.0,0.0,0.0,0.0,1718.2,0.0,0.0,0.0,0.0,0.0,1423.1,0.0,0.0,12201.3,0.0
1993年,0.0,0.0,0.0,0.0,8969.52,0.0,0.0,0.0,0.0,1932.47,0.0,0.0,0.0,0.0,0.0,1519.25,0.0,0.0,12421.2,0.0
1994年,0.0,0.0,0.0,0.0,9134.4541,0.0,0.0,0.0,0.0,2075.5753,0.0,0.0,0.0,0.0,0.0,1612.5939,0.0,0.0,12822.6,0.0
1995年,0.0,0.0,0.0,0.0,9306.1879,0.0,0.0,0.0,0.0,2178.0739,0.0,0.0,0.0,0.0,0.0,1710.8859,0.0,0.0,13195.2,0.0
1996年,0.0,0.0,0.0,0.0,9486.9111,0.0,0.0,0.0,0.0,2359.6818,0.0,0.0,0.0,0.0,0.0,1768.4113,0.0,0.0,13615.0042,0.0
1997年,0.0,0.0,0.0,0.0,9560.444,0.0,0.0,0.0,0.0,2603.5295,0.0,0.0,0.0,0.0,0.0,1831.3961,0.0,0.0,13995.4,0.0
1998年,0.0,0.0,0.0,0.0,9439.4988,0.0,0.0,0.0,0.0,2663.7234,0.0,0.0,0.0,0.0,0.0,1850.5771,0.0,0.0,13953.8,0.0
