,其他部门办普通小学招生数,农村其他部门办普通小学招生数,农村地方企业办普通小学招生数,农村教育部门办普通小学招生数,农村普通小学招生数,农村民办普通小学招生数,县镇其他部门办普通小学招生数,县镇地方企业办普通小学招生数,县镇教育部门办普通小学招生数,县镇普通小学招生数,县镇民办普通小学招生数,地方企业办普通小学招生数,城市其他部门办普通小学招生数,城市地方企业办普通小学招生数,城市教育部门办普通小学招生数,城市普通小学招生数,城市民办普通小学招生数,教育部门办普通小学招生数,普通小学招生数,民办普通小学招生数
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3315.4,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3101.7,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2942.3,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2749.2,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2671.7,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2544.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2472.9,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2298.2,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2258.2,0.0
1987年,0.0,0.0,0.0,0.0,1706.38,0.0,0.0,0.0,0.0,198.11,0.0,0.0,0.0,0.0,0.0,190.08,0.0,0.0,2094.57,0.0
1988年,0.0,0.0,0.0,0.0,1674.14,0.0,0.0,0.0,0.0,214.33,0.0,0.0,0.0,0.0,0.0,234.82,0.0,0.0,2123.28,0.0
1989年,0.0,0.0,0.0,0.0,1666.3,0.0,0.0,0.0,0.0,229.7,0.0,0.0,0.0,0.0,0.0,255.5,0.0,0.0,2151.5,0.0
1990年,0.0,0.0,0.0,0.0,1617.2,0.0,0.0,0.0,0.0,214.3,0.0,0.0,0.0,0.0,0.0,232.4,0.0,0.0,2064.0,0.0
1991年,0.0,0.0,0.0,0.0,1594.1,0.0,0.0,0.0,0.0,255.8,0.0,0.0,0.0,0.0,0.0,222.8,0.0,0.0,2072.7,0.0
1992年,0.0,0.0,0.0,0.0,1636.9,0.0,0.0,0.0,0.0,307.1,0.0,0.0,0.0,0.0,0.0,239.2,0.0,0.0,2183.2,0.0
