,人民法院审理乡政府一审案件结案中维持件数,人民法院审理交通运输一审案件结案中维持件数,人民法院审理公安一审案件结案中维持件数,人民法院审理其他行政一审案件结案中维持件数,人民法院审理劳动和社会保障一审案件结案中维持件数,人民法院审理卫生一审案件结案中维持件数,人民法院审理土地等资源一审案件结案中维持件数,人民法院审理城建一审案件结案中维持件数,人民法院审理工商一审案件结案中维持件数,人民法院审理环保一审案件结案中维持件数,人民法院审理税务一审案件结案中维持件数,人民法院审理行政一审案件结案中维持件数,人民法院审理计划生育一审案件结案中维持件数
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,11230,0
1998年,0,0,0,0,0,0,0,0,0,0,0,13036,0
1999年,0,0,0,0,0,0,0,0,0,0,0,14672,0
2000年,0,0,0,0,0,0,0,0,0,0,0,13431,0
2001年,0,0,0,0,0,0,0,0,0,0,0,15941,0
2002年,567,382,3634,3083,659,154,2825,3051,687,103,91,15520,284
2003年,476,428,3166,3266,1125,123,3054,3717,580,132,126,16356,163
2004年,466,485,3317,3273,1314,194,3057,3121,658,133,124,16393,251
2005年,372,387,2806,3160,1831,175,3197,2723,699,120,69,15769,230
2006年,313,351,2730,3493,1982,240,3103,3436,555,79,41,16779,456
2007年,322,277,2836,3346,2358,337,3447,2912,472,212,73,16832,240
2008年,322,342,2907,3539,2320,107,3339,6619,362,99,61,20236,219
2009年,601,260,2632,4297,2494,57,2580,2374,358,73,56,16010,228
2010年,315,171,2564,4741,2320,68,2416,2046,275,63,31,15184,174
2011年,262,123,2152,4572,2267,38,2103,1522,211,47,21,13384,66
2012年,291,133,1821,4197,2217,23,1731,1265,214,65,25,12072,90
2013年,209,203,1866,4738,2401,59,1549,1272,198,97,30,12800,178
2014年,134,133,2361,6168,2293,32,1578,855,604,46,40,14424,180
