,人民法院审理乡政府一审案件收案数,人民法院审理交通运输一审案件收案数,人民法院审理公安一审案件收案数,人民法院审理其他行政一审案件收案数,人民法院审理劳动和社会保障一审案件收案数,人民法院审理卫生一审案件收案数,人民法院审理土地等资源一审案件收案数,人民法院审理城建一审案件收案数,人民法院审理工商一审案件收案数,人民法院审理环保一审案件收案数,人民法院审理税务一审案件收案数,人民法院审理行政一审案件收案数,人民法院审理计划生育一审案件收案数
1978年,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,
1983年,,,,,,,,,,,,527.0,
1984年,,,,,,,,,,,,983.0,
1985年,,,,,,,,,,,,916.0,
1986年,,,,,,,,,,,,632.0,
1987年,,,,,,,,,,,,5940.0,
1988年,,,,,,,,,,,,8573.0,
1989年,,,,,,,,,,,,9934.0,
1990年,,,,,,,,,,,,13006.0,
1991年,,,,,,,,,,,,25667.0,
1992年,,,,,,,,,,,,27125.0,
1993年,,,,,,,,,,,,27911.0,
1994年,,,,,,,,,,,,35083.0,
1995年,,,,,,,,,,,,52596.0,
1996年,,,,,,,,,,,,79966.0,
1997年,,,,,,,,,,,,90557.0,
1998年,,,,,,,,,,,,98350.0,
1999年,,,,,,,,,,,,97569.0,
2000年,,,,,,,,,,,,85760.0,
2001年,,,,,,,,,,,,100921.0,
2002年,5138.0,2184.0,11707.0,20460.0,3587.0,1050.0,13464.0,16287.0,2892.0,1074.0,1496.0,80728.0,1389.0
2003年,4976.0,2570.0,10816.0,22802.0,4047.0,806.0,16750.0,19811.0,2715.0,655.0,803.0,87919.0,1168.0
2004年,4821.0,3424.0,11199.0,23012.0,5559.0,1427.0,17582.0,18973.0,3389.0,694.0,1032.0,92613.0,1501.0
2005年,3966.0,2945.0,9514.0,25026.0,7171.0,930.0,18974.0,19197.0,2970.0,1190.0,815.0,96178.0,3480.0
2006年,2752.0,3460.0,9313.0,23277.0,7411.0,1285.0,20752.0,20693.0,2985.0,1179.0,359.0,95617.0,2151.0
2007年,2738.0,4160.0,9773.0,26594.0,7839.0,1091.0,19875.0,21601.0,2904.0,2604.0,306.0,101510.0,2025.0
2008年,3657.0,3527.0,10347.0,27227.0,7911.0,865.0,18902.0,28324.0,2953.0,1583.0,334.0,108398.0,2768.0
2009年,3548.0,2498.0,9601.0,39451.0,9172.0,1529.0,21150.0,22493.0,3142.0,2647.0,293.0,120312.0,4788.0
2010年,3568.0,2619.0,10553.0,41909.0,9363.0,1825.0,23218.0,24975.0,2723.0,1865.0,398.0,129133.0,6117.0
2011年,3247.0,2445.0,10153.0,43826.0,11121.0,1808.0,24928.0,24574.0,3191.0,2227.0,405.0,136353.0,8428.0
2012年,2336.0,2518.0,10750.0,41140.0,11562.0,1035.0,20149.0,23385.0,4219.0,1672.0,436.0,129583.0,10381.0
2013年,2116.0,2497.0,10533.0,43599.0,11704.0,927.0,18394.0,19972.0,3785.0,1102.0,362.0,123194.0,8203.0
2014年,2444.0,2188.0,14497.0,57463.0,12291.0,596.0,19345.0,22406.0,4434.0,809.0,398.0,141880.0,5009.0
