,人民法院审理乡政府一审案件结案中单独赔偿件数,人民法院审理交通运输一审案件结案中单独赔偿件数,人民法院审理公安一审案件结案中单独赔偿件数,人民法院审理其他行政一审案件结案中单独赔偿件数,人民法院审理劳动和社会保障一审案件结案中单独赔偿件数,人民法院审理卫生一审案件结案中单独赔偿件数,人民法院审理土地等资源一审案件结案中单独赔偿件数,人民法院审理城建一审案件结案中单独赔偿件数,人民法院审理工商一审案件结案中单独赔偿件数,人民法院审理环保一审案件结案中单独赔偿件数,人民法院审理税务一审案件结案中单独赔偿件数,人民法院审理行政一审案件结案中单独赔偿件数,人民法院审理计划生育一审案件结案中单独赔偿件数
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,1075,0
1998年,0,0,0,0,0,0,0,0,0,0,0,2377,0
1999年,0,0,0,0,0,0,0,0,0,0,0,9491,0
2000年,0,0,0,0,0,0,0,0,0,0,0,2502,0
2001年,0,0,0,0,0,0,0,0,0,0,0,2765,0
2002年,45,38,223,292,11,31,77,195,48,7,7,1005,31
2003年,132,45,179,253,18,4,167,182,28,1,3,1023,11
2004年,483,53,166,171,5,4,72,105,32,2,5,1106,8
2005年,105,81,401,813,26,27,297,550,74,9,8,2418,27
2006年,21,42,93,126,3,8,36,111,10,2,1,492,39
2007年,87,181,278,618,68,14,243,440,56,18,2,2046,41
2008年,13,8,75,128,2,0,21,85,6,2,1,342,1
2009年,7,11,61,136,4,2,79,86,7,0,0,394,1
2010年,6,9,62,100,1,0,31,88,5,1,2,305,0
2011年,8,4,50,95,3,0,33,91,2,4,0,291,1
2012年,7,5,37,110,4,0,17,40,0,1,0,222,1
2013年,14,6,35,145,5,2,40,60,1,0,1,309,0
2014年,13,5,40,189,6,0,53,82,3,2,0,394,1
