,农村居民消费水平,农村居民消费水平指数(1978=100),农村居民消费水平指数(上年=100),城镇居民消费水平,城镇居民消费水平指数(1978=100),城镇居民消费水平指数(上年=100),居民消费水平,居民消费水平指数(1978=100),居民消费水平指数(上年=100)
1978年,138.001604376,100.0,104.3,405.091748694,100.0,103.3,183.974523226,100.0,104.1
1979年,159.0,106.6,106.5,425.0,102.9,102.8,208.0,107.0,106.9
1980年,178.406834654,115.743425789,108.560424455,489.974617937,110.436600047,107.338776034,238.157320134,116.767454913,109.143582696
1981年,202.0,127.3,109.8,517.0,113.8,104.0,264.0,126.1,108.3
1982年,227.0,140.6,109.1,504.0,108.6,100.7,284.0,133.1,106.8
1983年,252.0,154.1,110.6,547.0,115.6,102.1,315.0,145.3,108.1
1984年,280.0,168.2,112.9,621.0,128.0,107.9,356.0,160.9,112.0
1985年,345.970723128,192.486481703,114.418196675,749.608285663,137.420693457,107.381158448,440.272768405,181.323064746,112.691834076
1986年,385.0,200.8,102.3,847.0,145.7,106.7,496.0,191.6,104.7
1987年,427.0,212.6,104.9,953.0,152.2,105.6,558.0,203.1,106.0
1988年,506.0,219.8,105.2,1200.0,159.9,109.7,684.0,212.6,107.8
1989年,588.0,232.4,98.3,1345.0,161.4,100.7,785.0,221.3,99.8
1990年,626.517453279,240.353304062,103.410600209,1404.25446193,163.629229563,101.382119237,831.145422339,227.503662994,102.807124959
1991年,661.0,246.0,105.4,1619.0,181.2,110.7,916.0,242.2,108.6
1992年,701.0,250.5,108.5,2009.0,212.3,116.1,1057.0,265.8,113.3
1993年,822.0,261.6,104.3,2661.0,243.9,110.4,1332.0,293.8,108.4
1994年,1073.0,274.9,103.1,3645.0,260.8,104.4,1799.0,313.8,104.6
1995年,1344.49728337,288.752503421,105.045934548,4769.1004235,285.628773063,109.534552537,2329.97792438,339.81780323,108.299598183
1996年,1655.0,328.6,114.5,5382.0,297.2,103.4,2765.0,372.5,109.4
1997年,1768.0,341.8,103.1,5645.0,302.6,102.2,2978.0,389.6,104.5
1998年,1778.0,346.5,101.2,5909.0,319.6,105.9,3126.0,411.5,105.9
1999年,1793.0,354.2,105.1,6351.0,348.9,107.0,3346.0,445.9,108.3
2000年,1917.03309858,377.629195577,106.608684587,6999.33874826,382.924553764,109.737966286,3721.37648377,493.132100356,110.5957244
2001年,2032.10316256,395.15556761,104.641159168,7323.89384561,397.381581407,103.775424558,3987.00967861,523.19943347,106.097216769
2002年,2156.68402977,421.109322433,106.567984093,7745.47225558,422.470982991,106.313680039,4301.49718066,567.276683204,108.424559912
2003年,2292.18291752,440.46562531,104.596503056,8104.03664299,437.235364433,103.49476817,4606.00801062,599.971216857,105.763419266
2004年,2521.37839726,457.824188295,103.940957475,8879.58537617,463.318597508,105.965490259,5137.58501402,643.020208271,107.175176109
2005年,2783.64022296,488.880684509,106.78349834,9832.20024824,502.631747442,108.485122364,5770.59539736,705.425578988,109.705040357
2006年,3065.53060353,524.662321367,107.319094002,10738.7792953,535.619425867,106.562991413,6416.30700361,765.030286753,108.449467887
2007年,3537.84369443,570.425287224,108.722365604,12479.6766816,597.578608625,111.567762438,7572.23106762,862.635042236,112.758286459
2008年,4065.08317813,610.251606516,106.981864266,14060.5200868,636.427416556,106.501037248,8707.04118038,934.273949922,108.304660045
2009年,4401.7259617,666.936338217,109.28874764,15127.4049713,687.099670259,107.961984727,9514.36192878,1026.13717067,109.83257863
2010年,4940.84415733,716.049464135,107.3639901,17103.5397392,741.169068295,107.869221945,10918.5180169,1124.51766682,109.587460524
2011年,6187.49083817,808.605688802,112.925954044,19911.7491266,802.10788966,108.221986585,13133.5504081,1248.64335501,111.038126999
2012年,6963.89614184,880.374271015,108.875596994,21861.2355692,859.931533483,107.20896086,14698.8611984,1361.96863394,109.075872504
2013年,7773.38898693,955.766741726,108.563684014,23608.9561926,905.444378273,105.292612611,16190.1974665,1461.9989807,107.344541149
2014年,8743.95698908,1052.8624637,110.158934993,25448.5129505,957.292958268,105.726313094,17806.4054242,1576.62008971,107.840026602
