,交通运输、仓储和邮政业增加值,住宿和餐饮业增加值,其他行业增加值,农林牧渔业增加值,国内生产总值,工业增加值,建筑业增加值,房地产业增加值,批发和零售业增加值,金融业增加值
1978年,181.979296913,44.6052452898,256.310639659,1027.44319713,3650.16851182,1602.91460191,138.2,79.8564560357,242.322536827,76.5365380514
1979年,193.683271046,44.0225784183,287.816066368,1270.07879111,4067.67013302,1765.2009776,143.8,86.3357047503,200.851837353,75.880906375
1980年,213.361878115,47.422287812,356.475077838,1371.47121188,4551.5822164,1991.42439497,195.5,96.4079832627,193.774098248,85.7452842769
1981年,220.697988046,54.1147947085,391.03460792,1559.32463225,4898.14778543,2043.19245212,207.1,99.9487108307,231.097105207,91.63749435
1982年,246.85527843,62.3270625244,456.349257571,1777.24267092,5333.04927535,2156.80288968,220.7,110.775142494,171.401513613,130.595460123
1983年,274.945722187,72.5385566315,520.39480681,1978.2115288,5975.59474525,2369.56062744,270.6,121.796213937,198.665171968,168.882117477
1984年,338.515669589,96.7850428815,620.211080212,2315.88360076,7226.26243334,2781.90966069,316.7,162.307445546,363.47033718,230.479596484
1985年,421.717265192,138.274325648,746.49413575,2564.16892167,9039.94713382,3439.9325374,417.9,215.243468961,802.396107837,293.820371361
1986年,498.835813873,163.238192892,823.928940871,2788.44290313,10308.7609621,3956.91488847,525.7,298.077322499,852.58900195,401.033898449
1987年,568.319462082,187.092233487,925.872887417,3232.75357086,12102.1751474,4574.14174327,665.8,382.615440721,1059.60714448,505.972665048
1988年,685.735020334,241.445206006,1120.57136258,3865.01854694,15101.0706081,5762.51290489,810.0,473.769629002,1483.40150755,658.61643077
1989年,812.740981496,277.386235489,1291.13816496,4265.54383097,17090.3264168,6467.51604156,794.0,566.231867037,1536.16754435,1079.60175098
1990年,1167.03267617,301.856241873,1469.04338273,5061.55,18774.3207652,6840.56523951,859.4,662.220619846,1268.94282508,1143.70977999
1991年,1420.30015967,442.29488801,1816.65313172,5341.664,21895.5300685,8066.54055825,1015.1,763.706689933,1834.56,1194.71064092
1992年,1688.97812227,584.568685885,2267.68938018,5865.934,27068.3228667,10258.3542149,1415.0,1101.2554193,2405.04,1481.50304416
1993年,2173.99469253,712.084097655,3158.15378518,6962.99789496,35524.347564,14151.9019152,2266.46000351,1379.57680547,2816.61632628,1902.56204323
1994年,2787.88849698,1008.45580788,4456.54336445,9571.68175009,48459.6368716,19431.1846163,2964.68958167,1909.34460417,3773.38215488,2556.46649512
1995年,3244.29706136,1200.1010452,5592.4414396,12134.6534042,61129.795851,24887.1801739,3728.84660368,2354.01443749,4778.61275862,3209.64892697
1996年,3782.15910952,1336.83225703,6763.67789607,14014.0939925,71572.3223339,29372.7438557,4387.35193588,2617.56268367,5599.65500775,3698.24559589
1997年,4148.56644642,1561.33751007,8395.60350483,14440.1126671,79429.4750366,32837.6941106,4621.61363217,2921.08767867,6327.38913831,4176.07034838
1998年,4660.90087767,1786.9402652,10040.5856094,14815.6295181,84883.6940218,33931.9471438,4985.75799539,3434.45691905,6913.22538422,4314.25030888
1999年,5175.17151741,1941.2142983,11703.4061349,14767.8094711,90187.738699,35770.3104004,5172.10228702,3681.79013022,7491.10453302,4484.8299267
2000年,6160.95167251,2146.25994734,13928.69912,14942.4375032,99776.2513272,39931.8174141,5522.28508508,4149.0614455,8158.59013058,4836.14900892
2001年,6870.25080819,2400.12998671,16790.2358715,15778.618049,110270.359329,43469.8232239,5931.67486132,4715.06907968,9119.40811873,5195.14932963
2002年,7492.94660571,2724.75005517,19585.9259172,16534.0356577,121002.04357,47310.725963,6465.45951698,5346.3536658,9995.35341931,5546.49276865
2003年,7913.18979141,3126.05691057,22473.462988,17378.5837011,136564.644085,54805.8420188,7490.78477026,6172.67661676,11169.4682619,6034.5790266
2004年,9304.39304067,3664.82750187,26384.0582666,21408.1246286,160714.420181,65044.2488335,8694.28274565,7174.12833445,12453.769666,6586.58716381
2005年,10666.1631443,4195.71660419,31267.3223664,22412.9352172,185895.760546,77034.4390494,10367.3146758,8516.43244529,13966.1753065,7469.26173679
2006年,12182.98457,4792.58571134,36308.840527,24032.23,217656.585436,91078.8009298,12408.6052919,10370.4560081,16530.7223173,9951.36008107
2007年,14601.0393528,5548.11366854,43780.3729153,28618.56,268019.353958,110253.869008,15296.4815828,13809.7462806,20937.8352648,15173.3358848
2008年,16362.5032259,6616.07128847,52174.3059944,33692.65,316751.748534,129929.084426,18743.2,14738.6993153,26182.3389512,18312.895333
2009年,16516.0812103,6957.04852807,58724.9323347,35215.28,345629.227351,135848.995597,22601.0706183,18966.8660336,29001.5069429,21797.4460863
2010年,18776.9683124,7711.98821023,67184.1288986,40521.81,408902.951664,162376.440413,27177.5613012,23569.8736587,35904.4328626,25679.7480067
2011年,21834.0887951,8565.39236691,79264.0438578,47472.8817243,484123.503202,191570.810794,32839.9541066,28167.5568534,43730.5371203,30678.237584
2012年,23754.7478286,9536.92252687,90861.1811527,52358.8159181,534123.038925,204539.54625,36804.7775786,31248.2880372,49831.0096642,35187.7499687
2013年,26036.2835737,10228.2625733,103254.843828,56966.0060879,588018.755872,217263.919717,40807.2789028,35987.5654403,56284.1252377,41190.4705108
2014年,28494.0,11158.0,116098.0,60157.9795322,635910.0,228122.882024,44789.5561687,38001.0,62423.0,46665.0
