,分行业增加值构成-交通运输、仓储和邮政业增加值,分行业增加值构成-住宿和餐饮业增加值,分行业增加值构成-其他行业增加值,分行业增加值构成-农林牧渔业增加值,分行业增加值构成-国内生产总值,分行业增加值构成-工业增加值,分行业增加值构成-建筑业增加值,分行业增加值构成-房地产业增加值,分行业增加值构成-批发和零售业增加值,分行业增加值构成-金融业增加值
1978年,4.98550399315,1.22200509772,7.02188512201,28.1478291702,100.0,43.9134411664,3.78612657341,2.18774710749,6.63866712024,2.09679464944
1979年,4.76152846009,1.08225536926,7.07569829794,31.2237410994,100.0,43.3958733101,3.53519325062,2.1224854014,4.93776119461,1.86546361661
1980年,4.68764196649,1.04188577856,7.83189363368,30.1317464274,100.0,43.7523546821,4.29520968106,2.11812022016,4.25729096026,1.88385665029
1981年,4.50574375691,1.10480118361,7.98331583793,31.8349853977,100.0,41.7135729999,4.22812885753,2.04054093933,4.71805089048,1.87086013661
1982年,4.62878300357,1.16869466803,8.55700433296,33.3250750023,100.0,40.4422081687,4.13834541188,2.0771445523,3.213949558,2.44879530229
1983年,4.6011440519,1.21391358892,8.70866966378,33.1048475196,100.0,39.653971336,4.52841953874,2.03822747574,3.32460918849,2.82619763683
1984年,4.68451945541,1.33935134206,8.58273673194,32.0481524456,100.0,38.4972132738,4.38262522184,2.24607737463,5.029852438,3.18947171668
1985年,4.66504127678,1.52959219342,8.25772678424,28.3648663395,100.0,38.05257361,4.62281464497,2.3810257491,8.87611504757,3.25024435444
1986年,4.83895024538,1.58348994114,7.99251184402,27.0492536724,100.0,38.3840007835,5.09954592924,2.89149514276,8.27052838922,3.89022405236
1987年,4.69601088368,1.54593890114,7.65046676438,26.712169767,100.0,37.7960299498,5.50149036758,3.161542748,8.75550991106,4.18084070745
1988年,4.54096956522,1.59886151302,7.42047628052,25.5943346485,100.0,38.1596315549,5.36385810664,3.13732477185,9.82315456997,4.36138898932
1989年,4.75556148942,1.62305990374,7.55478937892,24.9588201357,100.0,37.8431393515,4.64590307191,3.31317175124,8.98852079755,6.31703412003
1990年,6.21611130843,1.60781444851,7.82474850143,26.9599633633,100.0,36.4357535224,4.57752911942,3.52726806007,6.75892801103,6.09188366541
1991年,6.48671283693,2.02002366066,8.29691323312,24.396139227,100.0,36.8410380247,4.63610607656,3.48795707409,8.37869644746,5.45641341945
1992年,6.23968515001,2.15960437876,8.37765010912,21.6708439193,100.0,37.8980044882,5.22751264262,4.06842871174,8.88507208904,5.47319851125
1993年,6.11973151262,2.00449592036,8.89011059102,19.6006355427,100.0,39.8371902248,6.38001866023,3.88346838174,7.92869262751,5.35565653895
1994年,5.75301153074,2.0810222135,9.19640272226,19.7518643721,100.0,40.0976686388,6.11785348191,3.94007204228,7.78664967069,5.27545532769
1995年,5.30722705056,1.96320146091,9.14847066269,19.8506362328,100.0,40.7120289336,6.09988394655,3.85084622764,7.81715805214,5.25054743318
1996年,5.28438785579,1.86780617624,9.45013054698,19.5803259353,100.0,41.0392493883,6.12995609588,3.65722754036,7.82377157139,5.16714488967
1997年,5.22295589202,1.96569033013,10.5698841657,18.1797911424,100.0,41.3419503219,5.81851212039,3.67758653488,7.96604677974,5.25758271278
1998年,5.49092606228,2.10516317155,11.8286388512,17.4540348283,100.0,39.9746353347,5.87363456886,4.0460738174,8.14435029471,5.08254307097
1999年,5.73822072941,2.15241486958,12.9767153536,16.3745201777,100.0,39.6620548607,5.73481757236,4.08236217398,8.30612302856,4.97277123409
2000年,6.17476763314,2.1510729445,13.9599342877,14.9759459836,100.0,40.0213646864,5.53466883314,4.15836573364,8.17688580405,4.84699409387
2001年,6.23036947555,2.17658671045,15.2264270958,14.3090293213,100.0,39.4211313798,5.37921060331,4.27591703554,8.27004480102,4.71128357725
2002年,6.19241327226,2.2518215187,16.1864422612,13.6642615034,100.0,39.099113178,5.34326473029,4.4183994816,8.26048314925,4.58380090536
2003年,5.79446447827,2.28906751927,16.456282033,12.7255365527,100.0,40.1317942765,5.48515673323,4.5199668319,8.17888724911,4.41884432608
2004年,5.78939527031,2.28033520436,16.4167336303,13.3205997349,100.0,40.4719431898,5.40977140436,4.4638983399,7.74900575319,4.09831747293
2005年,5.73771188381,2.25702651414,16.8198146502,12.0567220852,100.0,41.439588952,5.57695056913,4.58129460311,7.51290683846,4.01798390391
2006年,5.59734250426,2.20190246104,16.6817100683,11.0413521152,100.0,41.845185041,5.70100154194,4.76459556108,7.59486430614,4.57204640104
2007年,5.44775559569,2.07004217666,16.3347804062,10.6777960537,100.0,41.1365326348,5.70723022681,5.1525183076,7.81206094097,5.66128365759
2008年,5.16571835884,2.08872447243,16.4716710281,10.6369262856,100.0,41.0192161613,5.91731540134,4.65307591308,8.26588616238,5.78146621691
2009年,4.77855456176,2.0128646473,16.9907310168,10.1887448205,100.0,39.3048344429,6.53910862561,5.48763372211,8.39093012046,6.30659804248
2010年,4.59203540498,1.88601920795,16.4303360064,9.9098844445,100.0,39.7102637075,6.64645759847,5.76417303,8.78067343768,6.28015716252
2011年,4.51002453933,1.76925770186,16.372690715,9.80594443572,100.0,39.5706487139,6.78338355594,5.81825849542,9.03292999225,6.33686185056
2012年,4.44742991735,1.78552914438,17.0112828938,9.80276305314,100.0,38.2944623887,6.89069276109,5.8503913443,9.32950013998,6.58794835727
2013年,4.42779814653,1.73944495327,17.5597874723,9.68778725492,100.0,36.9484676377,6.93979205515,6.12013903995,9.57182482288,7.0049586173
2014年,4.51944943319,1.76043057259,18.2608942802,9.4567389883,100.0,35.8605553134,7.04084720569,5.99972983568,9.78019243027,7.32116194066
