,人均国内生产总值,国内生产总值,国民总收入,第一产业增加值,第三产业增加值,第二产业增加值
1978年,381.750901969,3650.16851182,3650.16851182,1018.4,895.797082617,1735.9714292
1979年,419.778033449,4067.67013302,4067.67013302,1258.9,905.433046363,1903.33708666
1980年,463.862603393,4551.5822164,4551.5822164,1359.4,1011.64758143,2180.53463497
1981年,492.828424358,4898.14778543,4896.04778543,1545.6,1108.81119827,2243.73658716
1982年,528.741885067,5333.04927535,5340.16507535,1761.6,1200.86678539,2370.58248996
1983年,583.947654694,5975.59474525,5998.47335125,1960.8,1382.2371801,2632.55756516
1984年,696.96066678,7226.26243334,7261.95861334,2295.5,1841.07891371,3089.68351963
1985年,860.095442021,9039.94713382,9064.64393982,2541.6,2651.55209469,3846.79503913
1986年,966.334607761,10308.7609621,10307.9668181,2763.9,3074.94238116,4469.91858098
1987年,1116.40077556,12102.1751474,12094.1726324,3204.3,3672.61016913,5225.26497824
1988年,1370.79333425,15101.0706081,15095.0780271,3831.0,4716.04752109,6554.02308698
1989年,1527.76350215,17090.3264168,17098.9484958,4228.0,5621.56229305,7240.76412379
1990年,1653.85560637,18774.3207652,18824.7835252,5017.0,6079.30442328,7678.01634191
1991年,1902.66863071,21895.5300685,21940.2457885,5288.6,7551.17211884,9055.75794965
1992年,2323.52102343,27068.3228667,27081.9990747,5800.0,9627.88399699,11640.4388697
1993年,3014.52323105,35524.347564,35450.363484,6887.26289496,12264.1310807,16372.9535884
1994年,4065.96860065,48459.6368716,48370.3471396,9471.39475009,16654.7155609,22333.5265606
1995年,5073.62262273,61129.795851,60146.549111,12020.0114042,20573.6116214,28536.1728254
1996年,5878.3887589,71572.3223339,70538.2852799,13877.7899925,24028.6830522,33665.8492893
1997年,6457.28716026,79429.4750366,78517.2928009,14264.5856671,27810.9459,37353.9434695
1998年,6834.79361011,84883.6940218,83505.7449583,14618.0255181,31456.8386996,38808.829804
1999年,7199.26709951,90187.738699,88989.8453442,14548.1284711,34811.9715179,40827.6387101
2000年,7902.16183703,99776.2513272,98562.1791648,14716.2225032,39734.0530718,45325.9757522
2001年,8670.07582094,110270.359329,108683.388731,15501.169049,45507.1711213,49262.0191583
2002年,9450.3314253,121002.04357,119765.03366,16188.6196577,51189.0414252,53624.3824866
2003年,10599.553251,136564.644085,135718.859792,16968.3177011,57475.5517028,62120.7746815
2004年,12400.0864287,160714.420181,160289.687046,20901.792784,66282.7992668,73529.8281303
2005年,14258.8715787,185895.760546,184575.766137,21803.5217246,76964.9069793,87127.331842
2006年,16602.0797117,217656.585436,217246.565076,23313.0,91180.1341153,103163.451321
2007年,20337.0820639,268019.353958,268631.047256,27783.0,115090.930793,125145.423165
2008年,23912.0184904,316751.748534,318736.660232,32747.0,135906.872274,148097.87626
2009年,25962.5638381,345629.227351,345046.366775,34154.0,153625.131343,157850.096008
2010年,30567.4981901,408902.951664,407137.809325,39354.6,180743.434803,188804.916861
2011年,36017.610142,484123.503202,479576.127126,46153.3238622,214579.913379,223390.26596
2012年,39544.3115526,534123.038925,532872.062812,50892.6856849,243029.982186,240200.371055
2013年,43320.1281787,588018.755872,583196.724839,55321.7073603,275887.042229,256810.006283
2014年,46628.5070008,635910.0,634043.353859,58336.0537787,305810.0,271764.481042
