,最终消费支出对国内生产总值增长拉动,最终消费支出对国内生产总值增长贡献率,货物和服务净出口对国内生产总值增长拉动,货物和服务净出口对国内生产总值增长贡献率,资本形成总额对国内生产总值增长拉动,资本形成总额对国内生产总值增长贡献率
1978年,4.6,39.4,-0.6,-5.4,7.6,66.0
1979年,6.4,85.1,-0.2,-3.2,1.4,18.1
1980年,6.1,77.4886281049,0.139859136257,1.79306584944,1.61602787156,20.7183060457
1981年,4.6,88.7,0.6,12.4,-0.1,-1.1
1982年,5.1,56.4,1.9,20.7,2.0,22.9
1983年,8.1,75.7,-0.9,-8.0,3.6,32.3
1984年,10.6,69.7,-1.7,-11.0,6.3,41.3
1985年,9.6,71.1,-6.9,-51.0,10.8,79.9
1986年,4.4,49.5,3.2,35.3,1.3,15.2
1987年,4.8,41.1,3.8,32.4,3.1,26.5
1988年,4.9,43.2,0.1,0.8,6.3,56.0
1989年,3.5,83.5,1.4,33.3,-0.7,-16.8
1990年,3.1,81.0,2.9,73.3,-2.1,-54.2
1991年,5.7,61.7,0.0,0.4,3.6,37.9
1992年,8.0,56.0,-1.2,-8.3,7.5,52.3
1993年,8.1,57.8,-1.4,-10.3,7.2,52.5
1994年,4.5,34.2,3.8,29.2,4.8,36.6
1995年,5.1,46.1,0.8,7.2,5.1,46.7
1996年,6.2,62.6,0.3,2.9,3.4,34.5
1997年,4.0,43.2,3.9,42.2,1.3,14.6
1998年,5.1,64.8,0.5,6.8,2.2,28.4
1999年,6.6,87.1,-0.6,-7.5,1.6,20.4
2000年,6.62804576439,78.9053067189,-0.0424895763368,-0.505828289724,1.81444381195,21.6005215708
2001年,4.03453459804,48.6088505787,-1.07190058392,-12.9144648665,5.33736598589,64.3056142878
2002年,5.21607321139,57.3194858394,0.434546675359,4.77523819076,3.44938011325,37.9052759698
2003年,3.58082494326,35.8082494326,-0.541084556628,-5.41084556628,6.96025961337,69.6025961337
2004年,4.34603019743,43.0300019547,-0.432859564183,-4.28573825924,6.18682936676,61.2557363045
2005年,6.21878234889,55.033472114,1.42779740462,12.6353752621,3.65342024649,32.3311526238
2006年,5.38631928555,42.4119628783,1.93627061171,15.246225289,5.37741010274,42.3418118326
2007年,6.5104367787,45.8481463289,1.52658715693,10.7506137812,6.16297606436,43.4012398899
2008年,4.32274568849,45.0286009218,0.255505685422,2.66151755648,5.02174862609,52.3098815218
2009年,5.22935069478,56.8407684216,-3.93746175076,-42.7984972909,7.90811105598,85.9577288693
2010年,4.9,46.3008812814,-1.19389586206,-11.4797679044,6.9,65.1788866229
2011年,6.0,62.8272208746,-0.760777158302,-8.18039955164,4.21784561696,45.353178677
2012年,4.34922256714,56.4834099629,0.128503359568,1.66887479958,3.22227407329,41.8477152375
2013年,3.71158772898,48.2024380387,-0.185330051664,-2.40688378784,4.17374232269,54.2044457492
2014年,3.76392908437,51.5606723886,0.124388686071,1.70395460371,3.41168222956,46.7353730076
