,三次产业贡献率,第一产业对GDP的贡献率,第三产业对GDP的贡献率,第二产业对GDP的贡献率
1978年,100.0,9.92312216645,28.3114508375,61.7654269961
1979年,100.0,21.0986267828,25.4875042369,53.4138689803
1980年,100.0,-4.85036163543,19.1038280934,85.746533542
1981年,100.0,40.6121484614,41.8583284041,17.5295231345
1982年,100.0,38.7940106706,32.6353558041,28.5706335253
1983年,100.0,24.0387652541,32.6541582033,43.3070765426
1984年,100.0,25.7088424336,31.7296021792,42.5615553871
1985年,100.0,4.06467629971,34.7659017513,61.169421949
1986年,100.0,9.90862480605,36.9687762894,53.1225989045
1987年,100.0,10.17232845,34.850601133,54.977070417
1988年,100.0,5.34544966321,33.3529795535,61.3015707833
1989年,100.0,15.9869619505,40.170735517,43.8423025325
1990年,100.0,40.4725877447,19.922008602,39.6054036534
1991年,100.0,6.77197352339,32.1751966686,61.052829808
1992年,100.0,8.1592449508,28.6600546374,63.1807004118
1993年,100.0,7.64628255126,27.9614814266,64.3922360221
1994年,100.0,6.34334296564,27.4031411769,66.2535158575
1995年,100.0,8.71034869754,28.4919907593,62.7976605432
1996年,100.0,9.29173754282,28.5146430516,62.1936194056
1997年,100.0,6.50966704901,34.473891578,59.016441373
1998年,100.0,7.24204842824,33.0416689582,59.7162826135
1999年,100.0,5.6882256121,37.4801730821,56.8316013058
2000年,100.0,4.18398914318,36.2772872216,59.5387236352
2001年,100.0,4.68356345154,49.1126771097,46.2037594387
2002年,100.0,4.15192997511,46.6369230339,49.211146991
2003年,100.0,3.11319542194,39.0070802359,57.8797243422
2004年,100.0,7.41638693903,40.9141883106,51.6694247503
2005年,100.0,5.27524930968,44.3838689411,50.3408817493
2006年,100.0,4.3948244564,46.067013053,49.5381624906
2007年,100.0,2.70379198733,47.4167884125,49.8794196002
2008年,100.0,5.2953178129,46.3181158924,48.3865662947
2009年,100.0,4.10349192028,44.0017537033,51.8947543764
2010年,100.0,3.61179801197,39.2101425111,57.1780594769
2011年,100.0,4.23615433702,44.2819578549,51.4818878081
2012年,100.0,5.28552594445,45.4264799004,49.2879941551
2013年,100.0,4.41222617642,47.5882378103,47.9995360133
2014年,100.0,4.7771385042,48.0786569198,47.144204576
