,人感染高致病性禽流感病死率,传染性非典型肺炎病死率,伤寒和副伤寒病死率,布鲁氏菌病病死率,新生儿破伤风病死率,梅毒病死率,流行性乙型脑炎病死率,流行性出血热病死率,流行性脑脊髓膜炎病死率,淋病病死率,炭疽病死率,狂犬病病死率,猩红热病死率,甲型H1N1流感病死率,疟疾病死率,病毒性肝炎病死率,登革热病死率,白喉病死率,百日咳病死率,细菌性和阿米巴性痢疾病死率,肺结核病死率,脊髓灰质炎病死率,艾滋病病死率,血吸虫病病死率,钩端螺旋体病病死率,霍乱病死率,麻疹病死率,鼠疫病死率
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,0.24,0.13,,0.19,6.9,2.73,0.76,,4.86,99.94,0.01,,0.03,0.14,,15.91,0.17,,,2.02,100.0,,1.9,0.78,0.22,2.7
1991年,,,0.29,0.494,,,4.924,2.677,6.908,0.001,3.739,99.81,0.044,,0.044,0.122,0.333,21.212,0.197,,,3.167,,,2.056,,0.285,33.333
1992年,,,0.156,0.229,,0.095,3.667,1.764,6.932,0.001,5.301,99.224,0.014,,0.072,0.106,0.006,13.986,0.162,,,2.0,66.667,,2.572,0.474,0.286,13.889
1993年,,,0.172,,,0.079,3.92,1.574,5.92,0.003,2.636,99.8,0.033,,0.032,0.118,,19.355,0.12,,,4.833,45.0,,2.611,1.283,0.316,16.667
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,0.18,,9.73,0.02,3.25,0.73,5.69,,3.92,87.4,0.01,,0.08,0.08,,10.0,0.13,,0.13,0.83,13.04,,2.51,1.99,0.22,33.33
1999年,,,0.09,,13.32,0.0,3.74,0.79,4.91,0.0,1.93,84.99,0.02,,0.23,0.07,,8.7,0.15,,0.11,0.0,46.25,,2.65,0.88,0.2,31.25
2000年,,,0.08,0.06,12.6,0.02,2.86,0.74,4.62,,1.87,93.94,0.04,,0.16,0.07,,,0.13,,0.11,,42.24,,2.73,0.48,0.17,0.8
2001年,,,0.05,0.03,12.54,0.01,2.26,0.59,4.31,0.01,2.22,95.88,0.02,,0.11,0.6,0.34,,0.08,,0.12,,46.21,,2.8,0.54,0.16,8.43
2002年,,,0.07,0.0,14.35,0.03,2.61,0.71,5.02,0.01,2.81,97.31,0.01,,0.14,0.12,,22.22,0.08,,0.18,,38.25,,3.3,0.75,0.22,
2003年,,,0.0586,,14.5097,0.0528,4.6565,0.7593,5.4832,,1.6611,97.2018,0.0099,,0.1407,0.115,,33.3333,0.0545,,0.1566,,33.1004,,3.3278,0.4082,0.1056,7.6923
2004年,,,,,10.1557210562,,3.6886757654,1.01433648816,6.11564121572,,1.14566284779,100.0,,,,,0.0,0.0,0.1912858661,,0.147895757711,,24.2632612967,,3.95968322534,0.409836065574,,40.9090909091
2005年,,,0.0404,0.0217,11.0829,0.0585,4.1985,1.2981,8.887,0.0006,2.2556,100.0,0.008,,0.1135,0.1011,2.5,,0.052,,0.2701,,23.4122,,3.1802,0.4111,0.0447,30.0
2006年,,,0.0654,,10.4407,0.0514,6.0578,1.1458,9.3469,0.0019,2.6608,98.0482,0.0,,0.0565,0.1013,,0.0,0.157,,0.2961,,19.952,,2.5518,1.2579,0.0351,0.0
