,人感染高致病性禽流感死亡率,传染性非典型肺炎死亡率,伤寒和副伤寒死亡率,布鲁氏菌病死亡率,新生儿破伤风死亡率,梅毒死亡率,流行性乙型脑炎死亡率,流行性出血热死亡率,流行性脑脊髓膜炎死亡率,淋病死亡率,炭疽死亡率,狂犬病死亡率,猩红热死亡率,甲型H1N1流感死亡率,疟疾死亡率,病毒性肝炎死亡率,登革热死亡率,白喉死亡率,百日咳死亡率,细菌性和阿米巴性痢疾死亡率,肺结核死亡率,脊髓灰质炎死亡率,艾滋病死亡率,血吸虫病死亡率,钩端螺旋体病死亡率,霍乱死亡率,麻疹死亡率,鼠疫死亡率
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,0.024,,,,0.232,0.098,0.007,,0.01,0.311,,,0.003,0.156,,0.006,0.003,,,0.009,,,0.049,,0.017,
1991年,,,0.0307,0.0003,,,0.1059,0.1169,0.048,0.0001,0.0089,0.1857,0.0012,,0.004,0.1445,0.0003,0.0043,0.0019,,,0.0054,,,0.0535,,0.0311,0.001
1992年,,,0.0124,0.0001,,0.0001,0.0633,0.0703,0.0425,0.0001,0.0082,0.0884,0.0005,,0.0045,0.1156,,0.0017,0.0016,,,0.0021,0.0002,,0.0315,0.0002,0.0345,0.0004
1993年,,,0.013,,,0.0001,0.0604,0.0622,0.0285,0.0003,0.0039,0.0431,0.0011,,0.0016,0.1038,,0.0021,0.001,,,0.0022,0.0008,,0.0663,0.0123,0.0321,0.0003
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,0.01,,0.03,,0.03,0.03,0.02,,,0.02,,,,0.05,,,,,0.05,,,,0.02,0.02,0.01,
1999年,,,0.0,0.0,2.2,0.0,0.02,0.03,0.01,0.0,0.0,0.03,0.0,,0.01,0.05,0.0,0.0,0.0,,0.04,0.0,0.0,,0.01,0.0,0.01,0.0
2000年,,,,,0.03,,0.03,0.02,0.01,,,0.04,,,,0.04,,,,,0.04,,0.01,,0.01,,0.01,
2001年,,,,,2.3,,0.02,0.02,0.01,,0.07,0.07,,,,0.04,,,,,0.05,,0.02,,0.01,,0.01,
2002年,,,0.0031,,0.0271,0.0015,0.0171,0.0175,0.01,,0.0016,0.0865,,,0.0037,0.0785,,,,,0.0801,,0.0225,,0.0062,,0.0103,
2003年,,,,,0.03,,0.0271,0.0128,0.0103,,,0.1468,,,,0.0788,,,,,0.0821,,0.0281,,,,0.0059,
2004年,,,0.002,0.0002,0.25,0.0027,0.0148,0.02,0.013,0.0003,0.0005,0.204,0.0001,,0.003,0.082,0.0,0.0,0.0007,0.011,0.11,,0.057,,0.0041,0.0001,0.0019,0.0007
2005年,,,0.0011,0.0003,0.0211,0.0057,0.0164,0.0207,0.0158,0.0001,0.0009,0.194,0.0002,,0.0034,0.0924,0.0001,,0.0002,,0.2602,,0.1006,,0.0034,0.0003,0.0042,0.0002
2006年,,,0.0013,,0.016,0.0066,0.0354,0.0132,0.0119,0.0002,0.0009,0.2459,0.0,,0.0026,0.1034,,0.0,0.0003,,0.2554,,0.1018,,0.0012,0.0002,0.0027,0.0
2007年,,,,,0.01,,0.02,0.01,0.01,,,0.25,,,,0.09,,,,,0.28,,0.3,,,,0.01,
2008年,,,,,0.01,,0.01,0.01,0.01,,,0.18,,,,0.08,,,,,0.21,,0.41,,,,0.01,
2009年,,,0.0007,,0.0077,0.0047,0.013,0.0078,0.0055,,0.0002,0.1605,,,0.0008,0.0767,,,0.0001,0.0029,0.2849,,0.4967,0.0002,0.0008,,0.0029,0.0002
2010年,,,0.0002,0.0001,0.47,0.0052,0.0069,0.0088,0.0025,0.0001,0.0004,0.1509,,0.011,0.001,0.07,,,0.0001,0.0027,0.2248,,0.5801,,0.0008,,0.002,0.0001
2011年,,,,,0.003,0.006,0.005,0.009,0.002,,,0.14,,0.006,0.002,0.062,,,,0.002,0.212,,0.688,,,,0.001,
2012年,0.0001,,0.0002,0.0001,0.0036,0.0059,0.0044,0.0077,0.0018,0.0001,0.0001,0.101,0.0001,0.0002,0.0011,0.0554,,,0.0001,0.001,0.1976,,0.8591,0.0003,0.0004,,0.0006,0.0001
2013年,0.0001,,0.0002,,0.0031,0.0051,0.0047,0.008,0.0016,0.0001,0.0001,0.0833,0.0001,,0.0015,0.0546,,,,0.001,0.1902,,0.8447,0.0001,0.0004,0.0001,0.0018,
2014年,0.0001,,,0.0001,0.001,0.0051,0.0021,0.0058,0.0009,0.0001,0.0002,0.063,,,0.0018,0.038,0.0004,,0.0001,0.0003,0.1653,,0.8877,,0.0004,,0.0021,0.0002
