,城市传染病(不含呼吸道结核)死亡人数占总死亡人数的比重,"城市先天畸形,变形和染色体异常死亡人数占总死亡人数的比重",城市其他疾病死亡人数占总死亡人数的比重,"城市内分泌,营养和代谢疾病死亡人数占总死亡人数的比重",城市呼吸系统疾病死亡人数占总死亡人数的比重,城市呼吸道结核死亡人数占总死亡人数的比重,城市围生期疾病死亡人数占总死亡人数的比重,城市女性传染病(不含呼吸道结核)死亡人数占总死亡人数的比重,"城市女性先天畸形,变形和染色体异常死亡人数占总死亡人数的比重",城市女性其他疾病死亡人数占总死亡人数的比重,"城市女性内分泌,营养和代谢疾病死亡人数占总死亡人数的比重",城市女性呼吸系统疾病死亡人数占总死亡人数的比重,城市女性呼吸道结核死亡人数占总死亡人数的比重,城市女性围生期疾病死亡人数占总死亡人数的比重,"城市女性妊娠,分娩产褥期并发症死亡人数占总死亡人数的比重",城市女性寄生虫病死亡人数占总死亡人数的比重,城市女性心脏病死亡人数占总死亡人数的比重,城市女性恶性肿瘤死亡人数占总死亡人数的比重,城市女性损伤和中毒外部原因死亡人数占总死亡人数的比重,城市女性泌尿生殖系统疾病死亡人数占总死亡人数的比重,城市女性消化系统疾病死亡人数占总死亡人数的比重,城市女性神经系统疾病死亡人数占总死亡人数的比重,城市女性精神障碍死亡人数占总死亡人数的比重,城市女性肌肉骨骼和结缔组织疾病死亡人数占总死亡人数的比重,城市女性脑血管病死亡人数占总死亡人数的比重,"城市女性血液,造血器官及免疫疾病死亡人数占总死亡人数的比重",城市女性诊断不明死亡人数占总死亡人数的比重,"城市妊娠,分娩产褥期并发症死亡人数占总死亡人数的比重",城市寄生虫病死亡人数占总死亡人数的比重,城市心脏病死亡人数占总死亡人数的比重,城市恶性肿瘤死亡人数占总死亡人数的比重,城市损伤和中毒外部原因死亡人数占总死亡人数的比重,城市泌尿生殖系统疾病死亡人数占总死亡人数的比重,城市消化系统疾病死亡人数占总死亡人数的比重,城市男性传染病(不含呼吸道结核)死亡人数占总死亡人数的比重,"城市男性先天畸形,变形和染色体异常死亡人数占总死亡人数的比重",城市男性其他疾病死亡人数占总死亡人数的比重,"城市男性内分泌,营养和代谢疾病死亡人数占总死亡人数的比重",城市男性呼吸系统疾病死亡人数占总死亡人数的比重,城市男性呼吸道结核死亡人数占总死亡人数的比重,城市男性围生期疾病死亡人数占总死亡人数的比重,城市男性寄生虫病死亡人数占总死亡人数的比重,城市男性心脏病死亡人数占总死亡人数的比重,城市男性恶性肿瘤死亡人数占总死亡人数的比重,城市男性损伤和中毒外部原因死亡人数占总死亡人数的比重,城市男性泌尿生殖系统疾病死亡人数占总死亡人数的比重,城市男性消化系统疾病死亡人数占总死亡人数的比重,城市男性神经系统疾病死亡人数占总死亡人数的比重,城市男性精神障碍死亡人数占总死亡人数的比重,城市男性肌肉骨骼和结缔组织疾病死亡人数占总死亡人数的比重,城市男性脑血管病死亡人数占总死亡人数的比重,"城市男性血液,造血器官及免疫疾病死亡人数占总死亡人数的比重",城市男性诊断不明死亡人数占总死亡人数的比重,城市神经系统疾病死亡人数占总死亡人数的比重,城市精神障碍死亡人数占总死亡人数的比重,城市肌肉骨骼和结缔组织疾病死亡人数占总死亡人数的比重,城市脑血管病死亡人数占总死亡人数的比重,"城市血液,造血器官及免疫疾病死亡人数占总死亡人数的比重",城市诊断不明死亡人数占总死亡人数的比重
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,1.47,15.03,0.0,0.0,0.0,0.0,0.0,4.23,15.75,0.0,0.0,0.0,0.0,17.12,18.0,6.92,1.71,1.91,0.0,0.0,0.0,21.17,0.0,0.0,0.0,0.0,15.28,21.61,7.61,1.65,4.49,0.0,0.0,0.0,0.0,14.43,0.0,0.0,0.0,13.59,24.62,8.18,1.59,4.71,0.0,0.0,0.0,20.14,0.0,0.0,0.0,0.0,0.0,20.61,0.0,0.0
