,ABS树脂进口金额,乙二醇进口金额,农药进口金额,制冷设备用压缩机进口金额,医疗仪器及器械进口金额,医药品进口金额,原形聚丙烯进口金额,原形聚乙烯进口金额,原形聚氯乙烯进口金额,原形聚苯乙烯进口金额,原木进口金额,原油进口金额,合成橡胶进口金额,大豆进口金额,天然橡胶进口金额,对苯二甲酸进口金额,小轿车进口金额,小麦进口金额,尿素进口金额,己内酰胺进口金额,成品油进口金额,收音设备(包括收录音组合机及整套散件)进口金额,未锻造的铜及铜合金进口金额,未锻造的铝及铝合金进口金额,机电产品进口金额,棉花进口金额,氧化铝进口金额,氮、磷、钾复合肥进口金额,氯化钾进口金额,汽车进口金额,汽车零件进口金额,煤进口金额,电视显像管进口金额,电视机进口金额,电话机进口金额,磷酸氢二胺进口金额,稻谷和大米进口金额,纸及纸板进口金额,纸浆进口金额,纺织用合成纤维进口金额,羊毛及毛条进口金额,聚丙烯腈纤维进口金额,聚酯切片进口金额,聚酯纤维进口金额,肥料进口金额,自动数据处理设备及其部件进口金额,自卸车进口金额,船舶进口金额,装有引擎的汽车底盘进口金额,谷物及谷物粉进口金额,货车进口金额,金属加工机床进口金额,钢材进口金额,铁矿砂及其精矿进口金额,铜材进口金额,铜矿砂及其精矿进口金额,铝材进口金额,铬矿砂及其精矿进口金额,锅炉进口金额,锯材进口金额,锰矿砂及其精矿进口金额,阀门进口金额,飞机进口金额,食用植物油进口金额,食糖进口金额,高新技术产品进口金额
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,368.2,,137.21,,308.58,402.97,527.89,877.18,368.2,762.29,430.37,,250.97,13.68,330.91,,476.91,960.58,423.1,121.33,,,224.22,189.12,,880.15,,,877.18,3414.3,688.49,,,330.91,,,,2046.85,400.87,972.21,793.97,1025.48,137.21,,1938.12,,72.31,1133.2,51.67,,901.44,,8533.32,1025.48,,,,68.77,,,,,,986.34,407.84,
