,全社会固定资产投资中其他资金,全社会固定资产投资中利用外资,全社会固定资产投资中国内贷款,全社会固定资产投资中国家预算内资金,全社会固定资产投资中自筹和其他资金,全社会固定资产投资中自筹资金,全社会固定资产本年资金来源小计
1978年,,,,,,,
1979年,,,,,,,
1980年,,,,,,,
1981年,,36.36,122.0,269.76,532.89,,
1982年,,60.51,176.12,279.26,714.51,,
1983年,,66.55,175.5,339.71,848.3,,
1984年,,70.66,258.47,421.0,1082.74,,
1985年,1533.64,91.48,510.27,407.8,1533.64,,
1986年,320.0,137.31,658.46,455.62,1869.19,1488.51,
1987年,408.83,181.97,871.98,496.64,2241.11,1745.18,
1988年,2900.87,275.31,977.84,431.96,2968.69,,
1989年,450.09,291.08,762.98,366.05,2990.28,2355.5,
1990年,583.01,284.61,885.45,393.03,2954.41,2329.49,
1991年,648.79,318.89,1314.73,380.43,3580.44,2878.61,
1992年,886.99,468.66,2214.03,347.46,5049.95,4024.63,
1993年,1942.14,954.28,3071.99,483.67,8562.36,6218.75,
1994年,,1768.95,3997.64,529.57,11530.96,,
1995年,2761.32,2295.89,4198.73,621.05,13409.19,10647.87,20524.9
1996年,4261.4,2746.6,4573.69,625.88,15412.4,11151.0,23358.6
1997年,4540.4,2683.89,4782.55,696.74,17096.49,12556.1,25259.7
1998年,5344.2,2617.03,5542.89,1197.39,19359.61,14015.6,28716.9
1999年,5531.6,2006.78,5725.93,1852.14,20169.7,14638.1,29754.6
2000年,6260.1,1696.3,6727.27,2109.45,22577.4,16317.3,33110.3
2001年,7556.1,1730.73,7239.79,2546.42,26470.04,18914.0,37987.0
2002年,8125.2,2084.98,8859.07,3160.96,30941.91,22816.7,45046.9
2003年,9834.9,2599.35,12044.36,2687.82,41284.76,31449.8,58616.3
2004年,12963.7,3285.68,13788.04,3254.91,54236.3,41272.59,74564.88
2005年,15032.9653,3978.7991,16319.0093,4154.2907,70138.7409,55105.7756,94590.84
2006年,19283.7475,4334.3148,19590.4714,4672.0031,90360.2004,71076.4529,118956.9897
2007年,25396.4395,5132.689,23044.1967,5857.0572,116769.6696,91373.2301,150803.6125
2008年,24694.4194,5311.9357,26443.7413,7954.7529,143204.8644,118510.445,182915.2943
2009年,40102.6151,4623.7341,39302.8212,12685.7299,193617.4164,153514.8013,250229.7016
2010年,45297.6843,4703.6425,44020.8273,13012.7468,224042.0274,178744.3431,285779.244
2011年,50387.5443,5061.9946,46344.5062,14843.2898,279734.3794,229346.8351,345984.17
2012年,56862.3522,4468.7778,51593.4959,18958.6617,334654.7109,277792.3587,409675.6463
2013年,71265.7642,4319.4445,59442.0359,22305.2551,405545.7799,334280.0157,491612.5154
2014年,67723.4382,4052.861,65221.0323,26745.4219,447461.2359,379737.7977,543480.5511
