,房地产开发企业实收资本,房地产开发企业所有者权益,房地产开发企业本年折旧,房地产开发企业累计折旧,房地产开发企业负债合计,房地产开发企业资产总计,房地产开发企业资产负债率
1978年,,,,,,,
1979年,,,,,,,
1980年,,,,,,,
1981年,,,,,,,
1982年,,,,,,,
1983年,,,,,,,
1984年,,,,,,,
1985年,,,,,,,
1986年,,,,,,,
1987年,,,,,,,
1988年,,,,,,,
1989年,,,,,,,
1990年,,,,,,,
1991年,,,,,,,
1992年,,,,,,,
1993年,,,,,,,
1994年,,,,,,,
1995年,,,,,,,
1996年,,,,,,,
1997年,,,,,,,
1998年,,,,,,,
1999年,,,,,,,
2000年,5302.9071,6153.8842,57.7153,299.2816,19032.1015,25185.9857,75.6
2001年,6019.8577,7131.0966,67.4683,354.4631,21435.716,28566.8126,75.0
2002年,6750.9145,8278.5587,81.7353,390.5332,24764.5673,33043.126,74.9
2003年,8471.0226,9787.9321,96.8337,450.8222,30698.5556,40486.4877,75.8
2004年,12545.8025,16005.5624,139.1839,598.0181,45783.6253,61789.1877,74.1
2005年,13926.9809,19672.9331,157.35,737.0146,52520.7058,72193.6389,72.7497693706
2006年,16172.3714,22921.3191,191.5774,875.666,65476.6717,88397.9908,74.0713347752
2007年,19437.997,28397.9662,231.5942,1025.6466,82680.2293,111078.1955,74.4342568115
2008年,27561.904,40051.2377,340.1887,1414.1374,104782.3089,144833.5466,72.3
2009年,28966.0236,45141.5104,320.4128,1469.9624,125042.726,170184.2364,73.5
2010年,36767.4134,57170.1165,379.8135,1758.3381,167297.4144,224467.1365,74.5
2011年,46430.63383,69889.7315,427.26213,2113.62503,214469.96414,284359.44349,75.4221352763
2012年,54735.35675,87261.09839,525.34975,2360.91855,264597.55329,351858.65168,75.199956581
2013年,59984.76,102013.83,626.73,2871.35,323204.96,425218.78,76.0
2014年,76566.03937,114654.3981,616.6747,3099.88653,384095.52541,498749.92351,77.0
