,固定资产投资(不含农户),固定资产投资(不含农户)其他费用,固定资产投资(不含农户)建筑安装工程工程,固定资产投资(不含农户)设备、工器具购置,扩建固定资产投资(不含农户),改建固定资产投资(不含农户),新建固定资产投资(不含农户)
1978年,,,,,,,
1979年,,,,,,,
1980年,,,,,,,
1981年,711.1,,,,,,
1982年,900.5,,,,,,
1983年,1014.4,,,,,,
1984年,1279.0,,,,,,
1985年,1865.5,,,,,,
1986年,2300.4,,,,,,
1987年,2730.6,,,,,,
1988年,3431.9,,,,,,
1989年,3134.0,,,,,,
1990年,3274.4,,,,,,
1991年,4057.9,,,,,,
1992年,6079.7,,,,,,
1993年,10303.4,,,,,,
1994年,13534.3,,,,,,
1995年,15643.7,2490.44,9395.1,3758.16,4488.24,1878.09,4661.69
1996年,17567.2,2587.81,10604.24,4375.15,5173.5,2011.89,5534.25
1997年,19194.2,2934.58,11626.24,4633.38,5528.88,2199.63,6453.25
1998年,22491.4,3611.88,13752.37,5127.15,6083.26,2791.84,7804.68
1999年,23732.0,3364.98,15176.37,5190.65,5992.47,3199.31,7807.48
2000年,26221.8,4029.07,16346.01,5846.72,6390.48,3827.04,8484.46
2001年,30001.24,4752.75,18739.04,6509.45,7410.82,3974.84,9611.31
2002年,35488.76,6257.43,21963.32,7268.01,7936.82,4611.5,12366.07
2003年,45811.6959,8419.71,28091.31,9300.67,10249.87,4932.0,18092.41
2004年,59028.19,10053.4,36519.22,12455.57,12274.19,5929.62,24630.09
2005年,75095.1003,12501.7511,46154.1235,16439.2257,13154.5017,8721.0658,34126.6062
2006年,93368.6812,15871.7025,57099.4097,20397.569,16761.2866,11075.5123,41514.1675
2007年,117464.4688,20174.3774,71595.2519,25694.8395,19705.4045,14136.0028,51963.0502
2008年,148738.3048,24804.1465,90361.8705,33572.2879,24371.0439,19138.3122,65727.3468
2009年,193920.3894,31806.1849,119780.3582,42333.8463,30303.7533,27171.8638,89993.1538
2010年,243797.7939,41137.0122,148601.2657,51692.6115,33694.9347,33375.7979,113860.0408
2011年,302396.0592,45171.3939,193644.6421,63580.0232,42242.3107,41696.4209,143604.939
2012年,364854.1459,52314.7579,236601.0659,75938.3221,47983.119,52413.6317,251045.6492
2013年,435747.4256,56117.0654,290333.9824,89296.3778,54023.962,62332.754,302909.0612
2014年,501264.8747,60722.4598,341154.9079,99387.507,60391.343,71061.4376,350782.7716
