,交通运输、仓储和邮政业全社会固定资产投资,住宿和餐饮业全社会固定资产投资,信息传输计算机服务和软件业全社会固定资产投资,全社会固定资产投资,公共管理和社会组织全社会固定资产投资,农、林、牧、渔业全社会固定资产投资,制造业全社会固定资产投资,卫生、社会保障和社会福利业全社会固定资产投资,国际组织全社会固定资产投资,居民服务和其他服务业全社会固定资产投资,建筑业全社会固定资产投资,房地产业全社会固定资产投资,批发和零售业全社会固定资产投资,教育全社会固定资产投资,文化、体育和娱乐业全社会固定资产投资,水利、环境和公共设施管理业全社会固定资产投资,电力、燃气及水的生产和供应业全社会固定资产投资,科学研究、技术服务和地质勘查业全社会固定资产投资,租赁和商务服务业全社会固定资产投资,采矿业全社会固定资产投资,金融业全社会固定资产投资
1978年,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,
1980年,,,,910.9,,,,,,,,,,,,,,,,,
1981年,,,,961.0,,,,,,,,,,,,,,,,,
1982年,,,,1230.4,,,,,,,,,,,,,,,,,
1983年,,,,1430.1,,,,,,,,,,,,,,,,,
1984年,,,,1832.9,,,,,,,,,,,,,,,,,
1985年,,,,2543.2,,,,,,,,,,,,,,,,,
1986年,,,,3120.6,,,,,,,,,,,,,,,,,
1987年,,,,3791.7,,,,,,,,,,,,,,,,,
1988年,,,,4753.8,,,,,,,,,,,,,,,,,
1989年,,,,4410.4,,,,,,,,,,,,,,,,,
1990年,,,,4517.0,,,,,,,,,,,,,,,,,
1991年,,,,5594.5,,,,,,,,,,,,,,,,,
1992年,,,,8080.1,,,,,,,,,,,,,,,,,
1993年,,,,13072.3,,,,,,,,,,,,,,,,,
1994年,,,,17042.1,,,,,,,,,,,,,,,,,
1995年,,,,20019.3,,,,,,,,,,,,,,,,,
1996年,,,,22913.5,,,,,,,,,,,,,,,,,
1997年,,,,24941.1,,,,,,,,,,,,,,,,,
1998年,,,,28406.2,,,,,,,,,,,,,,,,,
1999年,,,,29854.7,,,,,,,,,,,,,,,,,
2000年,,,,32917.73,,,,,,,,,,,,,,,,,
2001年,,,,37213.49,,,,,,,,,,,,,,,,,
2002年,,,,43499.91,,,,,,,,,,,,,,,,,
2003年,6289.38,422.98,1660.68,55566.61,2153.74,1652.3,14689.53,405.78,2.51,241.61,924.39,13143.43,922.73,1671.14,531.51,4365.82,3962.4,285.81,375.53,1775.19,90.15
2004年,7646.23,560.79,1657.67,70477.43,2437.44,1890.7,19585.49,516.7,2.0,313.71,963.98,16678.87,1272.96,2024.82,773.37,5071.74,5795.13,333.14,420.82,2395.85,136.01
2005年,9614.0311,808.7728,1581.7547,88773.6129,2926.8179,2323.6626,26575.9661,661.8164,0.219,363.4644,1118.9842,19505.3201,1716.3738,2209.199,857.0405,6274.2853,7554.4181,435.1195,549.5602,3587.3511,109.4561
2006年,12138.1244,1095.6998,1875.9074,109998.1624,2990.5277,2749.9378,34089.5077,768.9767,0.135,389.4557,1125.5,24524.377,2265.331,2270.2368,955.4183,8152.6658,8585.6689,495.3375,725.5538,4678.3987,121.4233
2007年,14154.0057,1519.4335,1848.0856,137323.9381,3166.053,3403.5035,44505.1293,885.0264,,434.6828,1302.2518,32438.9034,2880.3177,2375.5571,1243.3622,10154.3108,9467.5756,560.0296,949.3418,5878.806,157.5623
2008年,17024.3607,1959.2226,2162.6362,172828.3998,3748.4903,5064.4535,56702.3562,1155.6144,0.2603,521.9957,1555.9325,40441.8228,3741.8413,2523.7535,1589.9347,13534.3212,10997.2017,781.9854,1355.8646,7705.802,260.5502
2009年,24974.6702,2625.3759,2588.9515,224598.7679,4735.9167,6894.8612,70612.8988,1858.6445,0.2459,801.9274,1992.4594,49358.511,5132.8109,3521.1793,2383.3854,19874.3611,14434.5615,1200.838,2036.1779,9210.8396,360.1517
2010年,30074.4793,3366.7603,2454.4915,251683.7688,5676.5795,7923.0877,88619.2039,2118.9831,,1114.0569,2802.2353,64877.2927,6032.192,4033.6141,2959.3982,24827.5869,15679.7172,1379.2826,2692.5639,11000.9488,489.381
2011年,28291.6646,3956.6333,2174.4486,311485.1254,5647.7853,8757.8236,102712.8538,2330.2727,,1443.2662,3357.1209,81686.0647,7439.4243,3894.5938,3161.9738,24523.146,14659.7486,1679.7651,3382.8167,11746.9978,638.7256
2012年,31444.9036,5153.4701,2691.9642,374694.7355,6047.4005,10996.4386,124550.0443,2617.1485,,1905.028,3738.9667,99159.3076,9810.6678,4613.0026,4271.2558,29621.564,16672.6666,2475.7647,4700.4044,13300.8208,923.9167
2013年,36790.1245845,6041.11058589,3084.8766,446294.0902,5874.13347,13478.81973,147704.96421,3139.28791,,2099.29329,3669.75707,118809.39709,12720.4581215,5432.97355,5231.11225,37663.85655,19634.74384,3133.2078,5893.2397,14650.76151,1241.9721
2014年,43215.67048,6230.08639,4110.04586,512020.6528,7200.4991,16573.8087,167025.28742,3991.50618,,2371.71012,4125.75648,131348.16127,15800.15262,6708.69181,6178.35523,46225.04128,22829.72928,4219.115,7965.17186,14538.89137,1362.9723
