,房地产开发企业主营业务收入,房地产开发企业主营业务税金及附加,房地产开发企业其他收入,房地产开发企业商品房销售收入,房地产开发企业土地转让收入,房地产开发企业房屋出租收入,房地产开发企业营业利润
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,4515.7119,214.5704,393.9613,3896.8215,129.6054,95.3237,73.2836
2001年,5471.6555,273.4549,435.9014,4729.4194,188.9894,117.3453,125.4738
2002年,7077.8478,370.1458,562.3449,6145.799,225.1311,144.5728,252.9148
2003年,9137.2734,493.7227,539.5318,8153.6881,279.72,164.3335,430.3655
2004年,13314.4608,413.0409,846.5884,11752.2041,410.0917,305.5765,857.9651
2005年,14769.3468,845.2536,820.8596,13316.7682,341.4314,290.2876,1109.1896
2006年,18046.7598,1127.1214,807.9621,16621.3595,300.648,316.7902,1669.8882
2007年,23397.1284,1660.2966,978.1939,21604.2073,427.9204,386.8068,2436.6117
2008年,26696.8448,1829.1968,1314.4011,24394.1196,466.848,521.4733,3432.2297
2009年,34606.2342,2585.4899,1056.0807,32507.8328,498.0475,544.2732,4728.5843
2010年,42996.4803,3464.6621,1149.0398,40585.3326,519.1917,742.9162,6111.4831
2011年,44491.27632,3832.97946,1224.43008,41697.90713,664.66275,904.27636,5798.57568
2012年,51028.41038,4610.87435,1593.98475,47463.48767,819.38957,1151.54839,6001.32651
2013年,70706.66512,6204.18097,1973.24922,66697.98871,671.42085,1364.00634,9562.67185
2014年,66463.80279,5968.42816,1892.68687,62535.06186,571.95485,1464.09921,6143.1343
