,全社会固定资产投资中其它费用,全社会固定资产投资中建筑安装工程,全社会固定资产投资中设备工具器具购置
1978年,,,
1979年,,,
1980年,,,
1981年,47.54,689.83,223.64
1982年,67.87,871.12,291.41
1983年,78.43,993.32,358.31
1984年,106.06,1217.58,509.23
1985年,169.65,1655.46,718.08
1986年,208.99,2059.66,851.95
1987年,277.26,2475.65,1038.78
1988年,348.77,3099.66,1305.37
1989年,299.98,2994.59,1115.81
1990年,342.74,3008.72,1165.54
1991年,486.63,3647.68,1460.19
1992年,791.58,5163.37,2125.14
1993年,1555.18,8201.21,3315.92
1994年,1928.08,10786.52,4328.26
1995年,2583.48,13173.33,4262.46
1996年,2878.28,15109.29,4925.98
1997年,3282.25,15614.03,6044.84
1998年,4003.1,17874.53,6528.53
1999年,4005.74,18795.93,7053.04
2000年,4595.85,20536.26,7785.62
2001年,5424.83,22954.88,8833.79
2002年,7036.55,26578.89,9884.47
2003年,9437.54,33447.17,12681.9
2004年,11146.82,42803.57,16527.01
2005年,13968.0845,53382.5936,21422.9348
2006年,17658.4343,66775.8302,25563.8979
2007年,22230.8882,83518.2752,31574.7747
2008年,27275.4579,104958.8788,40594.0632
2009年,34996.2197,138758.3348,50844.2134
2010年,42260.4672,155580.5411,53842.7605
2011年,46137.1208,200195.7024,65152.3022
2012年,53353.0733,243617.5162,77724.146
2013年,56795.4725,298424.1729,91074.4448
2014年,61226.3845,349789.046,101005.2223
