,1-5亿元固定资产投资(不含农户),10亿元以上固定资产投资(不含农户),5-10亿元固定资产投资(不含农户),500万元-1亿元固定资产投资(不含农户),500万元以下固定资产投资(不含农户)
1978年,,,,,
1979年,,,,,
1980年,,,,,
1981年,,,,,
1982年,,,,,
1983年,,,,,
1984年,,,,,
1985年,,,,,
1986年,,,,,
1987年,,,,,
1988年,,,,,
1989年,,,,,
1990年,,,,,
1991年,,,,,
1992年,,,,,
1993年,,,,,
1994年,,,,,
1995年,2493.903,3807.5,1029.0402,3696.6668,1016.3
1996年,2931.8214,4371.4639,1192.5155,4198.6972,1061.6
1997年,3162.9624,5342.0246,1282.1042,4409.1041,1115.5
1998年,3585.8587,6508.7461,1413.9921,5186.5798,1333.4
1999年,3899.6953,6164.6568,1494.2999,5821.6557,1331.0
2000年,4485.089,6219.1134,1706.4425,6627.2054,1246.8
2001年,5301.7443,6655.5845,1854.9428,7597.6022,1258.0
2002年,6335.3047,7505.8135,2234.773,9335.5433,1287.4
2003年,8911.0177,9271.2278,3286.6367,12274.166,1384.9
2004年,11576.9249,13246.5848,4079.6178,14939.6614,1397.2
2005年,14563.9665,17835.2545,5206.1385,19892.669,1687.8
2006年,17001.4272,21604.8742,6190.7896,27426.5214,1722.2
2007年,20512.9821,25853.8288,7918.2616,35938.3463,1952.2
2008年,23486.1487,34181.0968,10055.9834,47807.8504,2004.0
2009年,29222.2897,45210.395,13992.8976,67205.7766,2047.2
2010年,38334.0942,58885.229,19120.4418,73973.1361,2858.6
2011年,52773.5849,60997.5243,23147.5795,103680.4847,
2012年,74461.3287,68565.8764,32804.3128,117218.8411,
2013年,93779.9,78998.3514,42667.9872,134287.8,
2014年,109897.5309,87764.4227,52140.7529,156426.5538,
