,专业技术服务业固定资产投资(不含农户)建筑安装工程,专用设备制造业固定资产投资(不含农户)建筑安装工程,中国共产党机关固定资产投资(不含农户)建筑安装工程,交通运输、仓储和邮政业固定资产投资(不含农户)建筑安装工程,交通运输设备制造业固定资产投资(不含农户)建筑安装工程,人民政协和民主党派固定资产投资(不含农户)建筑安装工程,仓储业固定资产投资(不含农户)建筑安装工程,仪器仪表文化办公用机械制造业固定资产投资(不含农户)建筑安装工程,住宿业固定资产投资(不含农户)建筑安装工程,住宿和餐饮业固定资产投资(不含农户)建筑安装工程,体育固定资产投资(不含农户)建筑安装工程,保险业固定资产投资(不含农户)建筑安装工程,信息传输、计算机服务和软件业固定资产投资(不含农户)建筑安装工程,公共管理和社会组织固定资产投资(不含农户)建筑安装工程,公共设施管理业固定资产投资(不含农户)建筑安装工程,其他建筑业固定资产投资(不含农户)建筑安装工程,其他服务业固定资产投资(不含农户)建筑安装工程,其他采矿业固定资产投资(不含农户)建筑安装工程,其他金融活动固定资产投资(不含农户)建筑安装工程,农、林、牧、渔业固定资产投资(不含农户)建筑安装工程,农、林、牧、渔服务业固定资产投资(不含农户)建筑安装工程,农业固定资产投资(不含农户)建筑安装工程,农副食品加工业固定资产投资(不含农户)建筑安装工程,制造业固定资产投资(不含农户)建筑安装工程,化学原料及化学制品制造业固定资产投资(不含农户)建筑安装工程,化学纤维制造业固定资产投资(不含农户)建筑安装工程,医药制造业固定资产投资(不含农户)建筑安装工程,卫生、社会保障和社会福利业固定资产投资(不含农户)建筑安装工程,卫生固定资产投资(不含农户)建筑安装工程,印刷业和记录媒介的复制固定资产投资(不含农户)建筑安装工程,商务服务业固定资产投资(不含农户)建筑安装工程,固定资产投资(不含农户)建筑安装工程,国家机构固定资产投资(不含农户)建筑安装工程,国际组织固定资产投资(不含农户)建筑安装工程,地质勘查业固定资产投资(不含农户)建筑安装工程,城市公共交通业固定资产投资(不含农户)建筑安装工程,基层群众自治组织固定资产投资(不含农户)建筑安装工程,塑料制品业固定资产投资(不含农户)建筑安装工程,娱乐业固定资产投资(不含农户)建筑安装工程,家具制造业固定资产投资(不含农户)建筑安装工程,居民服务业固定资产投资(不含农户)建筑安装工程,居民服务和其他服务业固定资产投资(不含农户)建筑安装工程,工艺品及其他制造业固定资产投资(不含农户)建筑安装工程,广播、电视、电影和音像业固定资产投资(不含农户)建筑安装工程,废弃资源和废旧材料回收加工业固定资产投资(不含农户)建筑安装工程,建筑业固定资产投资(不含农户)建筑安装工程,建筑安装工程业固定资产投资(不含农户)建筑安装工程,建筑装饰业固定资产投资(不含农户)建筑安装工程,房地产业固定资产投资(不含农户)建筑安装工程,房屋和土木工程建筑业固定资产投资(不含农户)建筑安装工程,批发业固定资产投资(不含农户)建筑安装工程,批发和零售业固定资产投资(不含农户)建筑安装工程,教育固定资产投资(不含农户)建筑安装工程,文化、体育和娱乐业固定资产投资(不含农户)建筑安装工程,文化艺术业固定资产投资(不含农户)建筑安装工程,文教体育用品制造业固定资产投资(不含农户)建筑安装工程,新闻出版业固定资产投资(不含农户)建筑安装工程,有色金属冶炼及压延加工业固定资产投资(不含农户)建筑安装工程,有色金属矿采选业固定资产投资(不含农户)建筑安装工程,木材加工及木竹藤棕草制品业固定资产投资(不含农户)建筑安装工程,林业固定资产投资(不含农户)建筑安装工程,橡胶制品业固定资产投资(不含农户)建筑安装工程,水上运输业固定资产投资(不含农户)建筑安装工程,水利、环境和公共设施管理业固定资产投资(不含农户)建筑安装工程,水利管理业固定资产投资(不含农户)建筑安装工程,水的生产和供应业固定资产投资(不含农户)建筑安装工程,渔业固定资产投资(不含农户)建筑安装工程,烟草制品业固定资产投资(不含农户)建筑安装工程,煤炭开采和洗选业固定资产投资(不含农户)建筑安装工程,燃气生产和供应业固定资产投资(不含农户)建筑安装工程,环境管理业固定资产投资(不含农户)建筑安装工程,电信和其他信息传输服务业固定资产投资(不含农户)建筑安装工程,电力、热力的生产和供应业固定资产投资(不含农户)建筑安装工程,电力燃气水的生产供应业固定资产投资(不含农户)建筑安装工程,电气机械及器材制造业固定资产投资(不含农户)建筑安装工程,畜牧业固定资产投资(不含农户)建筑安装工程,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)建筑安装工程,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)建筑安装工程,石油和天然气开采业固定资产投资(不含农户)建筑安装工程,研究与试验发展固定资产投资(不含农户)建筑安装工程,社会保障业固定资产投资(不含农户)建筑安装工程,社会福利业固定资产投资(不含农户)建筑安装工程,科学研究、技术服务和地质勘查业固定资产投资(不含农户)建筑安装工程,科技交流和推广服务业固定资产投资(不含农户)建筑安装工程,租赁业固定资产投资(不含农户)建筑安装工程,租赁和商务服务业固定资产投资(不含农户)建筑安装工程,管道运输业固定资产投资(不含农户)建筑安装工程,纺织业固定资产投资(不含农户)建筑安装工程,纺织服装、鞋、帽制造业固定资产投资(不含农户)建筑安装工程,群众团体、社会团体和宗教组织固定资产投资(不含农户)建筑安装工程,航空运输业固定资产投资(不含农户)建筑安装工程,装卸搬运和其他运输服务业固定资产投资(不含农户)建筑安装工程,计算机服务业固定资产投资(不含农户)建筑安装工程,证券业固定资产投资(不含农户)建筑安装工程,软件业固定资产投资(不含农户)建筑安装工程,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)建筑安装工程,通用设备制造业固定资产投资(不含农户)建筑安装工程,造纸及纸制品业固定资产投资(不含农户)建筑安装工程,道路运输业固定资产投资(不含农户)建筑安装工程,邮政业固定资产投资(不含农户)建筑安装工程,采矿业固定资产投资(不含农户)建筑安装工程,金属制品业固定资产投资(不含农户)建筑安装工程,金融业固定资产投资(不含农户)建筑安装工程,铁路运输业固定资产投资(不含农户)建筑安装工程,银行业固定资产投资(不含农户)建筑安装工程,零售业固定资产投资(不含农户)建筑安装工程,非金属矿物制品业固定资产投资(不含农户)建筑安装工程,非金属矿采选业固定资产投资(不含农户)建筑安装工程,食品制造业固定资产投资(不含农户)建筑安装工程,餐饮业固定资产投资(不含农户)建筑安装工程,饮料制造业固定资产投资(不含农户)建筑安装工程,黑色金属冶炼及压延加工业固定资产投资(不含农户)建筑安装工程,黑色金属矿采选业固定资产投资(不含农户)建筑安装工程
2003年,58.2719,159.8623,24.8817,4188.0863,258.3253,4.7716,77.5569,41.2683,161.7903,230.4635,84.2643,3.8151,625.172,1467.6992,2170.4366,11.1585,8.8076,1.1873,3.1329,309.8384,88.1479,92.0466,196.4138,4525.3567,444.2912,30.8363,266.2898,244.2938,225.0362,45.6593,221.212,28091.31,1305.0189,0.2858,12.6656,209.7768,110.3167,104.6815,94.4077,43.342,40.1283,48.9359,114.8536,46.9876,2.6772,399.0688,11.335,7.1684,7568.8484,369.4069,237.5198,585.2225,1190.4416,339.5642,96.1308,24.7582,17.7738,209.8364,40.9383,44.8285,60.6983,42.7003,248.0009,2911.3316,583.8524,248.7206,13.1041,29.4295,218.8358,105.0076,157.0426,599.1824,1604.2185,1957.9467,131.7099,55.8415,48.9071,156.3544,727.4772,91.3973,4.56,14.6976,186.9166,24.5818,0.802,222.014,50.7152,223.9059,101.9736,22.7103,100.7217,42.6298,5.5987,0.2567,20.3909,277.1444,153.2574,100.7098,3050.9861,19.138,1037.8567,131.1173,51.9712,388.5609,44.7665,347.7027,332.6465,22.5197,127.953,68.6732,88.1344,591.4895,26.8984
2004年,46.1725,240.98,25.598,5366.6497,399.52,2.2716,128.0911,56.03,231.242,327.4905,92.1718,2.4373,645.9207,1675.9528,2767.2707,25.33,14.3652,1.87,6.1699,349.29,108.76,98.87,270.16,6377.48,650.23,54.02,315.97,307.6006,284.6933,65.4,254.8037,36519.22,1452.7088,0.3085,11.1525,181.0821,169.0405,137.13,119.7338,64.08,52.6728,67.038,110.67,48.1662,7.61,409.22,11.15,4.21,10036.2,368.53,323.2157,804.4547,1497.7587,396.5929,123.8724,32.36,12.6487,247.03,66.15,75.79,52.16,64.34,370.484,3528.75,589.7239,336.17,16.27,27.42,365.77,144.72,171.7554,616.385,2331.97,2812.86,244.02,73.23,64.69,309.76,871.09,109.6828,3.0975,19.8098,199.8631,32.8553,1.2866,256.0903,47.9996,302.83,145.94,26.3339,118.6829,49.6548,5.39,0.61,24.1457,338.76,257.73,153.71,3958.512,21.2804,1403.84,211.03,55.8802,490.8628,46.663,481.239,491.22,32.04,173.54,96.2485,121.8,743.71,66.92
2005年,67.6,393.52,20.93,6502.85,667.4,3.37,185.19,70.28,342.07,496.24,114.92,4.42,638.33,1837.12,3578.07,22.01,21.71,2.3,6.56,490.53,156.17,133.13,440.84,9222.95,957.01,64.81,352.17,405.27,370.82,100.95,327.1,46154.1235,1542.65,,37.68,206.44,242.06,215.9,145.9,105.95,71.9,93.61,204.47,54.71,10.7,476.84,14.58,6.08,11905.13,434.18,481.21,1119.8,1614.41,456.39,128.34,53.28,12.52,362.17,107.6,131.09,76.38,82.04,475.87,4455.82,658.59,369.74,27.86,32.29,584.92,191.59,219.17,599.15,3168.84,3730.17,360.4,96.99,112.69,351.06,1135.81,117.51,8.65,25.8,273.13,50.34,2.37,329.47,65.39,447.22,219.09,28.11,127.08,31.58,10.76,10.51,28.41,431.7,489.32,214.66,4686.38,9.9,2040.89,358.68,65.17,715.02,43.68,638.59,644.68,66.85,261.25,154.17,155.13,932.2,143.42
2006年,64.5411,546.8048,19.6231,8364.6987,782.3196,5.9513,252.3396,96.0543,477.3286,684.262,147.2043,5.5117,708.8052,1981.5431,4299.0421,43.4978,38.2041,3.8716,6.7014,669.4041,225.175,172.6143,593.5473,11915.3863,1070.8021,71.3154,355.872,492.541,446.3821,131.0929,437.5215,57099.4097,1635.3271,0.135,32.3183,333.2476,287.4326,336.2171,188.2918,156.2448,88.4026,126.6067,277.2245,80.0327,20.0014,568.8247,20.0823,10.3967,15088.9538,494.8479,574.9064,1350.5612,1703.1083,604.7754,170.5082,66.1238,18.7384,440.4136,178.421,186.8348,108.5843,137.5558,623.4307,5252.2909,700.8236,476.1792,26.7633,46.507,802.1221,212.7705,252.4252,641.9564,3447.5523,4136.502,541.5235,136.2672,162.8662,490.3165,1374.4564,127.6922,13.1837,32.9752,285.92,61.3684,9.8727,447.3942,44.9319,551.8298,298.4883,33.209,179.4585,39.1913,16.9995,6.9028,49.8493,571.0626,740.0144,241.2349,5591.499,12.0896,2655.3439,540.6034,62.3532,1288.5105,43.2373,775.6548,871.8194,98.7637,365.8937,206.9334,247.6484,977.154,197.7091
2007年,93.3435,860.3784,20.2041,9193.5652,1186.5172,9.2501,423.2076,138.5236,690.8233,973.8571,199.663,4.7731,726.0102,2066.9946,5328.609,48.1117,55.4479,6.829,10.4531,882.1596,312.8074,218.3589,845.7222,16490.3331,1509.0711,95.5159,422.9866,555.5393,494.4445,164.8059,579.2353,71595.2519,1608.2475,,36.1679,449.3717,375.0954,423.6905,240.5142,223.5808,113.1812,168.6291,351.4569,97.7837,46.5279,704.7589,23.8045,13.0944,19898.8216,619.7483,781.614,1746.2434,1771.6127,834.6791,272.7854,97.7267,23.9328,627.6502,295.2897,309.6919,122.4373,174.7586,708.7931,6583.2869,885.0988,587.856,35.6153,47.6241,991.6313,237.3225,369.5791,660.2959,3712.3321,4537.5106,775.2774,192.9407,191.5185,665.102,1801.6229,125.3859,10.2429,50.8519,323.2648,68.3675,14.5394,593.7747,45.8464,641.0138,406.917,54.1975,269.1,42.2129,16.0152,9.1167,49.6991,765.8645,1104.7674,330.8941,5729.6505,7.4417,3467.8908,778.0886,76.3202,1517.9413,51.9773,964.6294,1337.7299,142.5059,477.824,283.0338,328.319,1160.7884,230.012
2008年,140.2647,1165.9021,24.5212,10619.3879,1719.958,5.8462,591.5782,188.9401,880.1871,1268.6631,211.4523,4.4926,913.3819,2384.0498,7168.4244,58.1101,59.8421,7.673,12.101,1385.5515,426.5483,311.5015,1035.9963,21541.8062,1970.725,104.972,535.7993,720.5469,608.7144,205.4264,866.0627,90361.8705,1717.8745,,47.5351,604.1539,567.8213,523.523,356.1744,286.084,148.6137,208.4558,407.1955,97.4025,69.9494,802.6781,19.2895,19.3157,25584.0156,705.9628,1033.1917,2254.7262,1870.1165,1053.342,346.6664,110.804,41.6464,906.5797,376.082,386.7988,160.3415,198.2988,710.0325,8839.0058,1170.6447,748.7821,58.0941,60.2739,1271.529,280.3312,499.9367,798.7649,4176.9261,5206.0394,1078.9854,429.0661,240.0566,837.275,2029.2466,169.2639,17.2787,94.5538,454.8563,97.7926,13.7173,879.78,97.7172,688.4362,482.0152,67.9866,182.8253,67.0611,28.6465,16.276,85.9705,926.6773,1564.986,406.6523,5974.7331,11.9248,4260.6353,1047.7169,114.8322,2379.3618,81.9626,1221.5345,2008.066,214.5291,596.0075,388.476,398.7307,1388.9748,361.5756
2009年,193.5768,1558.1059,20.9546,16196.9361,2163.3007,5.274,985.6364,253.8964,1100.3548,1691.0458,330.367,10.5488,1152.8501,3089.4813,10361.1422,83.5704,106.2815,9.1698,23.9297,2096.8138,658.0616,496.3927,1488.2725,27438.7538,2599.0427,114.7947,738.048,1228.4916,1026.727,261.5116,1284.3327,119780.3582,2333.6945,,96.9059,1011.5649,641.1952,668.3992,514.1371,356.0925,229.9443,336.2258,504.0438,100.1922,125.3622,1111.3432,39.84,35.8487,31472.3417,952.0841,1457.0561,3165.9416,2595.7966,1543.7325,563.838,117.4994,35.1982,1025.1535,485.8458,491.2856,262.8004,285.5511,898.274,12932.9082,1744.0368,1265.6273,73.6135,86.2413,1597.8166,417.3663,827.7292,975.6721,5020.1972,6703.1908,1729.0047,605.9456,297.485,813.1374,2023.5448,229.5116,64.6286,137.136,679.1787,159.1844,21.1693,1305.502,46.3548,756.4351,549.5668,88.363,267.1757,134.2703,35.1661,20.8056,142.0119,992.372,2105.2557,554.0196,8578.9914,22.0199,4854.8281,1370.5477,184.9965,4252.6487,129.7124,1708.8855,2852.3561,298.6495,770.8531,590.691,521.6851,1289.4344,439.8016
2010年,235.1,2081.5,26.7,19614.6,2930.8,5.5,1194.0,341.5,1528.2,2148.4,403.1,26.2,1013.2,3618.1,13335.0,149.6,239.6,16.8,42.6,2458.1,703.5,631.0,1912.0,35304.9,3026.0,150.1,992.8,1406.5,1190.4,337.0,1658.1,148601.2657,2891.9,,71.3,1133.2,573.8,864.9,605.2,477.0,255.6,495.2,660.9,150.8,184.9,1624.4,36.4,38.6,40527.4,1399.9,1498.7,3526.6,3030.8,1898.0,702.5,156.0,36.4,1369.9,563.8,617.9,334.5,332.2,1118.4,16464.8,2017.9,1233.6,126.4,97.5,1997.0,545.4,1112.0,787.7,5327.4,7106.4,2408.4,662.7,336.6,932.0,2103.5,263.1,71.2,144.9,747.4,178.0,28.8,1686.9,56.0,953.7,743.4,120.3,334.3,197.5,50.9,26.0,174.6,1544.9,2656.9,590.7,10564.2,18.3,5668.5,1778.2,261.0,4998.7,166.1,2027.9,3699.4,445.7,1001.7,620.1,677.6,1448.7,541.7
2011年,353.2792,3106.7807,52.0471,20016.7946,4109.5622,7.1046,1661.135,512.4528,2263.9173,2995.7779,372.8208,39.1351,1114.8665,4572.2249,15222.575,225.1791,331.7722,29.3288,111.1516,4571.4561,1074.0163,1632.2041,2948.3244,51129.1063,4006.3516,324.5492,1425.4615,1747.9698,1409.4871,446.4111,2317.9398,193644.6421,3579.1757,,95.2638,1261.0339,767.1238,1339.8979,830.1819,701.9243,490.2417,822.0139,999.9088,125.4842,260.9024,2493.4753,63.0593,59.3133,55913.799,2145.9236,2378.7225,5172.7731,3135.7948,2299.5517,909.8306,240.6872,61.2342,1757.2825,736.707,1000.8801,490.9261,490.8527,1042.6918,19057.4579,2595.2251,1318.1724,238.7548,125.4956,2716.3168,769.5569,1239.6578,784.8974,5562.6922,7650.4215,3832.8565,1135.5548,530.4217,1109.5136,2320.002,410.4375,151.2605,187.2222,1105.9079,246.9274,40.5485,2358.4883,92.9066,1612.628,1260.8801,166.7737,364.0607,218.8928,93.9603,30.7792,236.0088,2199.0906,3813.2413,855.9526,11609.4251,36.2046,7080.4289,2631.3728,406.3337,3730.4441,225.2678,2794.0506,5193.0265,632.4959,1318.7216,731.8606,1076.7957,1896.8803,645.5784
2012年,590.9638,4453.5767,28.1096,21581.0436,,11.5687,2121.8259,716.9097,2811.3197,3830.628,674.1649,53.5715,1441.5457,4904.9617,18949.9352,,277.4467,22.8808,71.5109,6087.2956,1344.5616,2267.1038,3907.3675,63824.4696,5194.6578,323.5739,2048.2257,1909.157,1566.6829,532.8414,3354.1575,236601.0659,3515.8022,,108.245,1680.8061,742.7785,1613.8332,753.3302,906.2371,699.5746,1200.4051,,164.534,391.4368,2950.9661,97.4222,69.1131,69434.7504,,2931.6829,6941.2054,3758.384,3180.5267,1532.6814,650.6684,55.8162,2257.3464,834.3374,1332.7397,585.7624,503.1154,1128.5309,23005.3276,3271.115,1531.2732,371.4529,119.4746,3066.5348,974.7794,784.2774,792.5287,6327.1875,8833.2401,4175.9389,1518.4149,753.2848,1262.4964,2455.0749,555.9951,175.1726,342.4741,1585.3031,438.3442,43.303,3397.4605,127.2848,1883.8077,,431.5301,356.5187,487.1148,,19.4396,,2854.1266,4288.0365,1042.8221,13636.5174,44.3928,8184.7388,3077.6193,549.6569,3678.8583,,4009.5225,6218.993,803.2294,1701.56,1019.3083,,2405.3916,820.0338
2013年,664.6244,5262.0467,46.9775,25694.614,,11.0217,3019.0838,,3524.3977,4681.1137,852.3069,73.2216,1666.7511,4929.6281,25534.9419,,337.1671,31.9553,101.2935,8094.993,1723.1195,2926.2017,5000.7684,76931.148,6187.8819,423.8242,2553.9659,2347.1442,1895.5401,660.5229,4256.8171,290333.9824,3437.7507,,,,801.8742,,1008.4254,1133.4191,893.0937,1497.739,,179.9875,536.6738,2718.5982,93.9437,,85763.3076,,4223.4532,9207.8917,4479.6509,3980.8716,1859.3199,,80.8319,2740.1953,977.5577,1649.4075,842.4914,,1328.7179,30753.1745,4187.3849,2029.192,449.7674,157.4613,3082.3604,1363.8372,1030.8477,837.7633,7396.2328,10789.262,4910.7286,2153.413,,1439.9475,3157.6155,747.3632,171.3608,,2033.6595,621.6719,97.8528,4354.6699,239.1936,2186.799,,460.6432,410.9082,666.8075,,,,3486.3023,5354.8982,1317.6904,15790.261,66.042,9530.2602,3854.5705,879.5052,4173.6,,4984.4385,7278.2935,982.8952,2077.0215,1156.716,,2361.6467,996.0988
2014年,992.4642,6222.6267,24.3872,31311.7191,,10.9099,3839.7742,,3717.153,4959.2246,858.9994,88.6195,2221.5348,5975.7278,32173.135,,310.3945,38.391,141.5574,10578.4451,2113.7446,3907.7454,6176.5881,90603.4854,7229.3383,520.8006,3085.4055,2918.9873,2269.9654,849.2179,5624.5077,341154.9079,4311.3052,,,,948.3762,,1353.8584,1521.3665,1112.4022,1766.9112,,346.4042,702.0412,3174.7323,119.1817,,95157.6621,,5434.6793,11614.2522,5524.9215,4760.7677,2121.1283,,80.3774,2923.0675,1035.4977,2017.0888,1034.3626,,1632.1007,38549.9596,5051.6517,2353.1676,539.1317,174.2187,2826.7969,1486.6121,1325.1729,953.8965,8931.5611,12771.3408,5593.2041,2983.4608,,1533.5046,3214.1995,902.7413,218.6011,,2801.0426,905.8371,112.3215,5736.8292,229.4438,2549.4289,,462.1482,590.7214,836.8762,,,,3869.9674,6370.5561,1457.1498,19534.2696,80.5049,9726.1221,4803.9304,1001.2425,4568.0283,,6179.5729,8755.9587,1206.3404,2617.0596,1242.0716,,2415.6196,1041.2172
