,专业技术服务业固定资产交付使用率,专用设备制造业固定资产交付使用率,中国共产党机关固定资产交付使用率,交通运输、仓储和邮政业固定资产交付使用率,交通运输设备制造业固定资产交付使用率,人民政协和民主党派固定资产交付使用率,仓储业固定资产交付使用率,仪器仪表文化办公用机械制造业固定资产交付使用率,住宿业固定资产交付使用率,住宿和餐饮业固定资产交付使用率,体育固定资产交付使用率,保险业固定资产交付使用率,信息传输、计算机服务和软件业固定资产交付使用率,公共管理和社会组织固定资产交付使用率,公共设施管理业固定资产交付使用率,其他建筑业固定资产交付使用率,其他服务业固定资产交付使用率,其他采矿业固定资产交付使用率,其他金融活动固定资产交付使用率,农、林、牧、渔业固定资产交付使用率,农、林、牧、渔服务业固定资产交付使用率,农业固定资产交付使用率,农副食品加工业固定资产交付使用率,制造业固定资产交付使用率,化学原料及化学制品制造业固定资产交付使用率,化学纤维制造业固定资产交付使用率,医药制造业固定资产交付使用率,卫生、社会保障和社会福利业固定资产交付使用率,卫生固定资产交付使用率,印刷业和记录媒介的复制固定资产交付使用率,商务服务业固定资产交付使用率,固定资产交付使用率,国家机构固定资产交付使用率,国际组织固定资产交付使用率,地质勘查业固定资产交付使用率,城市公共交通业固定资产交付使用率,基层群众自治组织固定资产交付使用率,塑料制品业固定资产交付使用率,娱乐业固定资产交付使用率,家具制造业固定资产交付使用率,居民服务业固定资产交付使用率,居民服务和其他服务业固定资产交付使用率,工艺品及其他制造业固定资产交付使用率,广播、电视、电影和音像业固定资产交付使用率,废弃资源和废旧材料回收加工业固定资产交付使用率,建筑业固定资产交付使用率,建筑安装业固定资产交付使用率,建筑装饰业固定资产交付使用率,房地产业固定资产交付使用率,房屋和土木工程建筑业固定资产交付使用率,批发业固定资产交付使用率,批发和零售业固定资产交付使用率,教育固定资产交付使用率,文化、体育和娱乐业固定资产交付使用率,文化艺术业固定资产交付使用率,文教体育用品制造业固定资产交付使用率,新闻出版业固定资产交付使用率,有色金属冶炼及压延加工业固定资产交付使用率,有色金属矿采选业固定资产交付使用率,木材加工及木竹藤棕草制品业固定资产交付使用率,林业固定资产交付使用率,橡胶制品业固定资产交付使用率,水上运输业固定资产交付使用率,水利、环境和公共设施管理业固定资产交付使用率,水利管理业固定资产交付使用率,水的生产和供应业固定资产交付使用率,渔业固定资产交付使用率,烟草制品业固定资产交付使用率,煤炭开采和洗选业固定资产交付使用率,燃气生产和供应业固定资产交付使用率,环境管理业固定资产交付使用率,电信和其他信息传输服务业固定资产交付使用率,电力、热力的生产和供应业固定资产交付使用率,电力燃气水的生产供应业固定资产交付使用率,电气机械及器材制造业固定资产交付使用率,畜牧业固定资产交付使用率,皮革毛皮羽毛(绒)及其制品业固定资产交付使用率,石油加工、炼焦及核燃料加工业固定资产交付使用率,石油和天然气开采业固定资产交付使用率,研究与试验发展固定资产交付使用率,社会保障业固定资产交付使用率,社会福利业固定资产交付使用率,科学研究、技术服务和地质勘查业固定资产交付使用率,科技交流和推广服务业固定资产交付使用率,租赁业固定资产交付使用率,租赁和商务服务业固定资产交付使用率,管道运输业固定资产交付使用率,纺织业固定资产交付使用率,纺织服装、鞋、帽制造业固定资产交付使用率,群众团体、社会团体和宗教组织固定资产交付使用率,航空运输业固定资产交付使用率,装卸搬运和其他运输服务业固定资产交付使用率,计算机服务业固定资产交付使用率,证券业固定资产交付使用率,软件业固定资产交付使用率,通信设备、计算机及其他电子设备制造业固定资产交付使用率,通用设备制造业固定资产交付使用率,造纸及纸制品业固定资产交付使用率,道路运输业固定资产交付使用率,邮政业固定资产交付使用率,采矿业固定资产交付使用率,金属制品业固定资产交付使用率,金融业固定资产交付使用率,铁路运输业固定资产交付使用率,银行业固定资产交付使用率,零售业固定资产交付使用率,非金属矿物制品业固定资产交付使用率,非金属矿采选业固定资产交付使用率,食品制造业固定资产交付使用率,餐饮业固定资产交付使用率,饮料制造业固定资产交付使用率,黑色金属冶炼及压延加工业固定资产交付使用率,黑色金属矿采选业固定资产交付使用率
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.723706388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.9998016917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.2180112795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.8584060323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,52.0,64.7,72.1,62.3,58.5,84.5,70.5,69.0,59.9,63.7,38.5,161.1,64.0,64.5,52.0,53.9,54.2,29.3,27.2,70.1,72.6,70.6,64.2,61.9,48.0,61.7,61.0,73.6,73.0,72.0,55.0,62.5690286543,63.5,100.0,70.9,51.2,68.3,69.9,52.1,57.3,69.0,65.9,45.4,53.1,38.9,65.2,57.1,60.7,65.2,66.1,70.6,67.7,67.5,45.8,38.4,63.2,55.9,66.9,74.3,68.0,68.3,61.6,49.6,52.7,60.0,54.4,73.0,71.8,68.3,67.9,40.5,64.3,58.6,58.6,65.4,68.3,66.8,66.3,80.3,50.9,106.4,73.7,52.1,42.0,100.4,55.4,84.5,66.8,59.9,92.6,61.5,47.0,49.7,82.9,53.5,67.4,68.0,63.5,60.4,82.3,76.2,63.7,82.9,79.9,79.6,65.7,62.5,73.9,65.3,71.9,69.4,58.9,75.2
2004年,77.3,64.1,68.9,60.0,55.5,156.8,51.1,68.0,55.4,61.1,29.8,83.0,70.4,64.3,47.0,78.6,72.7,42.7,69.2,71.1,72.2,70.4,59.8,61.6,51.0,68.9,65.7,69.0,69.8,70.7,43.8,58.8386425198,64.7,56.2,80.7,68.9,59.8,70.9,46.4,61.4,67.0,69.2,50.0,56.9,108.6,69.5,71.0,82.3,54.3,68.4,59.9,64.2,67.1,45.8,48.4,54.2,81.8,48.6,53.1,76.0,70.2,69.7,45.8,49.3,55.8,55.2,68.1,74.4,43.2,41.6,63.5,71.3,57.0,56.3,57.3,72.5,63.2,63.3,81.1,62.7,67.5,55.8,64.3,40.6,81.4,44.4,52.9,65.4,64.2,53.3,112.0,68.7,43.0,32.7,38.1,66.7,62.7,58.5,61.3,72.0,65.7,67.8,114.2,43.0,121.6,67.1,65.2,67.5,61.1,72.7,69.5,62.8,65.2
2005年,52.63,63.06,72.02,59.09,58.65,62.82,50.41,66.71,59.58,63.87,39.51,89.44,61.36,63.59,48.67,45.07,60.32,32.32,55.32,72.24,75.03,71.0,66.47,65.06,69.12,59.46,63.53,66.17,65.38,72.2,54.51,60.2,64.33,0.0,34.71,57.67,57.91,65.02,57.61,61.0,53.82,55.64,55.79,63.71,88.15,56.41,82.41,79.05,60.94,55.55,64.38,66.54,72.72,54.64,60.87,57.17,32.68,65.58,60.65,66.73,70.99,62.2,34.56,50.32,57.4,59.97,67.44,55.01,44.56,43.02,57.19,62.29,46.23,47.06,65.92,72.76,63.95,45.93,76.19,46.11,90.49,71.46,46.23,46.01,78.73,55.22,52.1,64.37,66.6,60.78,102.33,45.13,44.79,33.41,40.88,71.46,64.88,69.09,62.98,106.16,62.33,66.22,77.18,49.39,84.95,68.23,68.33,68.81,65.34,72.78,61.96,68.18,61.85
2006年,55.3166695071,63.2418648983,71.1399386888,51.2363290198,53.6035569573,55.5763611087,63.8680574389,56.2565874909,56.4304610444,61.8332615865,54.1009592904,54.3766353557,61.084189632,67.0453654619,49.0664433183,62.6475869842,73.2047337678,51.8636946414,78.5920444693,72.167866715,76.3212425946,69.9623003505,66.0158516451,65.5678549576,75.8301660295,63.0681513314,64.4712339727,67.1803368533,67.2938498909,68.6345381393,41.265612485,60.2888451208,66.8149800582,100.0,69.3393080694,35.834919753,69.2025481175,64.6221543667,60.1315621913,59.0257511882,61.9404885585,65.9302370542,55.2272025063,52.8841333914,50.4435949314,59.7393764117,65.6177761424,64.0205611105,60.0775907845,59.0567828254,64.0803697534,66.79255246,64.8052361544,55.2032891199,52.7637846452,69.533296162,44.0425914952,53.1135709596,65.3276548325,75.6955419871,67.9508561557,60.0317343642,52.7480764902,49.3823177853,54.4054780059,53.5834461874,67.9382268409,51.2063492891,47.9002515657,68.3845320321,43.063612266,61.9506551032,56.4453096002,56.6975322582,60.300847962,74.1942538356,57.2468377009,45.5534388164,84.8064786624,57.3007479531,64.2927638302,66.5436816786,55.5720227607,41.1968216036,64.9899585926,42.1017942897,44.6595054438,68.3782798791,64.1686533093,61.7248477866,47.1484040041,58.2995079045,58.0692482126,19.7170082556,43.816230709,73.0124872403,65.3180321655,60.0114941677,53.0544337596,69.1704553569,68.7278467486,66.2842027754,66.4200935473,49.1809760127,71.760546154,68.8875009077,75.5333430203,72.2971156337,64.6801371486,73.3980920327,63.4073147734,73.9246926715,72.9356058059
2007年,56.97,60.63,51.2,50.23,54.71,72.63,48.05,59.55,56.31,61.19,39.49,149.84,59.23,67.29,46.39,48.85,86.73,48.29,72.93,74.99,81.78,70.23,70.93,61.04,56.83,66.83,62.7,70.03,70.59,70.67,43.34,57.35,69.95,0.0,72.61,21.64,56.52,68.89,53.16,71.42,67.63,74.5,58.39,49.28,46.45,58.86,74.69,75.29,50.61,58.47,63.66,65.49,70.87,47.88,48.84,58.14,41.13,59.98,68.93,73.16,67.2,63.67,44.14,47.33,49.32,55.33,76.41,48.89,55.03,54.2,55.74,59.55,69.58,67.68,57.88,77.24,60.94,28.56,72.59,64.69,48.32,67.88,62.9,59.32,73.6,44.53,44.73,68.8,64.04,52.3,58.31,65.97,88.46,34.65,42.15,61.22,65.74,56.4,63.72,84.51,65.42,63.85,75.42,25.66,73.36,67.08,66.43,70.0,69.46,72.34,67.08,58.89,65.19
2008年,60.46,63.08,67.38,49.7,47.14,45.57,46.02,60.28,57.08,63.79,79.61,82.99,56.2,69.57,48.55,67.56,78.45,76.6,136.52,75.28,75.68,72.18,73.25,61.11,58.51,68.5,60.21,64.14,64.85,72.07,48.48,56.84,67.74,0.0,55.12,44.22,75.97,73.72,49.77,71.55,78.07,78.2,54.51,52.07,58.45,65.94,89.84,79.16,51.19,64.13,70.29,70.12,68.48,56.75,51.5,72.46,62.07,47.27,57.38,81.22,71.9,64.83,56.07,49.86,54.63,60.02,83.48,58.72,49.93,70.14,58.7,56.52,56.74,57.61,58.91,77.77,67.86,33.69,62.85,57.01,45.91,61.58,60.95,74.27,82.09,49.68,26.29,70.8,71.08,74.23,124.21,59.28,76.47,31.11,44.89,64.61,67.27,58.95,59.42,48.91,58.16,64.51,70.63,22.36,69.46,69.96,68.92,68.0,74.73,78.12,71.55,48.68,62.93
2009年,65.57,67.36,102.08,41.22,57.42,102.98,61.35,66.89,63.25,69.75,42.1,60.87,61.62,70.79,52.23,66.57,69.3,71.06,82.62,75.36,75.68,75.44,72.31,68.68,65.59,81.17,65.38,62.13,61.4,73.53,51.07,58.76,68.4,0.0,56.53,20.82,79.33,72.25,52.27,81.72,73.33,71.76,62.02,79.81,67.33,61.39,74.33,77.53,52.29,59.44,69.57,72.39,64.71,53.36,54.56,72.18,60.54,61.78,80.87,82.36,78.16,65.52,45.93,52.36,52.61,56.24,73.6,48.2,58.14,62.36,53.4,63.35,50.35,51.69,66.66,73.51,70.49,79.01,79.97,63.36,55.59,71.75,63.72,67.29,40.52,50.43,70.11,74.25,75.04,70.88,44.33,63.11,67.67,31.76,40.26,66.32,69.46,62.44,46.67,75.39,70.75,70.68,70.88,31.87,73.98,74.92,69.33,81.6,73.35,81.25,72.66,76.96,67.93
2010年,61.6,61.6,65.9,44.4,55.1,102.2,54.8,79.3,55.9,62.1,71.0,38.1,63.3,65.3,53.5,55.2,39.0,68.5,49.1,73.0,75.6,67.1,70.8,65.5,63.8,42.0,59.5,62.4,61.0,74.8,53.3,56.73,64.3,0.0,73.5,21.6,70.6,71.0,48.3,72.1,71.0,54.4,68.9,50.6,56.6,60.8,69.8,86.1,48.0,60.3,64.3,66.8,63.6,55.6,56.4,68.7,41.9,57.4,69.0,76.7,74.1,54.5,44.0,53.6,53.1,75.3,68.2,43.8,53.3,51.3,55.2,65.3,55.8,57.8,58.8,75.9,70.9,48.0,61.1,53.7,65.3,73.6,59.1,56.6,52.0,53.2,36.1,71.4,71.4,65.3,75.0,59.9,52.6,16.7,53.0,62.7,68.7,61.7,49.8,69.5,60.3,75.4,47.4,35.5,53.1,68.8,71.0,77.6,67.4,76.3,66.8,78.0,60.3
2011年,69.52,65.18,78.72,47.09,60.97,68.28,63.55,75.4,60.59,64.8,58.96,40.47,61.5,72.06,62.32,76.93,64.08,85.97,87.14,78.92,81.45,76.35,73.83,69.08,68.99,70.55,63.1,66.56,67.76,80.45,52.78,60.96,71.25,0.0,65.45,25.76,76.79,71.55,57.14,75.66,68.39,66.49,64.23,64.48,71.91,68.05,79.72,86.27,49.29,65.88,65.45,66.69,73.63,59.21,61.55,74.7,43.5,55.64,67.31,79.23,76.83,68.05,58.26,62.14,57.6,68.06,79.85,46.75,61.86,52.98,69.67,63.2,60.75,60.99,63.08,81.08,80.73,52.46,74.84,57.51,63.88,59.05,63.13,63.22,41.42,52.0,53.25,76.83,78.89,67.31,69.16,70.0,60.62,43.78,53.41,69.2,70.58,65.11,52.74,42.77,69.29,74.94,70.57,26.81,71.36,67.84,73.56,81.71,76.47,76.92,70.42,72.48,73.52
2012年,74.37,69.4,61.51,48.68,0.0,73.52,58.53,63.89,57.63,62.23,59.96,24.99,68.3,68.97,60.15,0.0,59.54,59.16,39.41,76.73,79.17,74.69,75.53,69.55,65.04,65.02,59.74,67.3,68.49,76.59,50.68,60.96,67.2,0.0,0.0,0.0,76.07,0.0,49.78,77.46,63.99,64.54,50.79,57.91,68.65,70.57,68.09,0.0,49.34,0.0,65.22,66.05,69.2,55.46,56.89,73.15,44.86,63.94,79.31,78.54,76.28,0.0,51.76,59.33,52.38,77.73,72.54,45.55,56.87,55.19,69.06,74.61,61.5,62.95,69.17,78.87,71.71,57.63,81.78,52.44,81.71,0.0,63.27,61.88,54.6,50.85,58.21,74.55,80.34,66.81,85.14,66.79,0.0,0.0,0.0,68.96,71.93,73.53,50.37,70.05,69.86,73.35,49.63,28.41,0.0,66.71,74.48,78.1,69.14,74.48,69.63,68.41,75.41
2013年,76.96,67.94,68.28,55.27,0.0,67.64,60.63,0.0,61.0,65.3,72.62,38.67,65.82,71.9,62.49,0.0,77.57,81.01,43.36,79.25,84.62,76.04,73.6,69.96,63.28,60.71,66.0,68.74,66.55,76.18,54.31,61.91,71.05,0.0,0.0,0.0,76.79,0.0,58.36,74.23,66.76,70.9,0.0,63.94,69.29,73.4,80.46,0.0,47.71,0.0,65.88,65.93,70.96,64.06,64.44,0.0,45.73,56.48,73.48,79.48,79.31,0.0,56.23,61.98,57.58,73.66,79.88,61.08,64.15,59.01,66.64,72.84,63.25,64.2,68.96,79.29,0.0,55.54,73.73,58.29,70.97,0.0,70.15,75.33,60.32,54.62,65.58,77.08,0.0,70.85,78.71,57.74,0.0,0.0,0.0,61.37,73.77,63.82,61.32,81.38,71.09,77.68,55.46,27.12,0.0,65.98,78.44,79.52,73.65,77.76,0.0,72.7,76.9
2014年,75.61,75.07,121.07,58.5,0.0,120.47,64.46,0.0,75.61,78.02,70.94,46.51,74.21,74.35,70.55,0.0,84.15,92.02,62.4,81.6,83.23,79.19,77.97,74.89,67.52,68.34,69.6,70.52,70.43,75.82,62.75,66.5,71.65,0.0,0.0,0.0,78.27,0.0,54.91,76.37,86.14,84.79,0.0,44.62,80.95,74.75,76.51,0.0,50.08,0.0,75.28,75.2,75.99,61.65,65.96,0.0,63.26,61.57,77.1,83.13,81.04,0.0,67.8,70.07,65.05,75.32,86.74,70.13,67.97,68.51,76.64,77.07,69.55,70.24,73.7,82.93,0.0,74.71,58.6,68.73,76.32,0.0,72.83,73.68,93.03,65.47,84.17,80.89,0.0,87.61,69.25,69.53,0.0,0.0,0.0,66.18,79.99,78.37,55.71,63.22,71.14,79.09,63.49,55.58,0.0,75.12,79.63,86.2,73.94,84.88,0.0,78.7,79.6
