,固定资产投资(不含农户)中央项目,固定资产投资(不含农户)地方项目
1978年,0.0,0.0
1979年,0.0,0.0
1980年,0.0,0.0
1981年,0.0,0.0
1982年,0.0,0.0
1983年,0.0,0.0
1984年,0.0,0.0
1985年,0.0,0.0
1986年,0.0,0.0
1987年,0.0,0.0
1988年,0.0,0.0
1989年,0.0,0.0
1990年,0.0,0.0
1991年,0.0,0.0
1992年,0.0,0.0
1993年,0.0,0.0
1994年,0.0,0.0
1995年,4274.52,11369.2
1996年,4887.74,12679.46
1997年,5521.58,13672.74
1998年,6121.64,16369.7
1999年,5894.63,17837.29
2000年,6275.6,19946.2
2001年,6586.61,23414.61
2002年,6526.73,28962.04
2003年,6113.57,39698.13
2004年,7524.5577,51503.6286
2005年,9110.9788,65984.1215
2006年,10856.4703,82512.2109
2007年,13165.3038,104299.165
2008年,17172.5344,131565.7704
2009年,20697.3896,173222.9998
2010年,22790.6457,218640.2437
2011年,21797.2482,280598.811
2012年,23763.7749,341090.371
2013年,24658.0556,411089.37
2014年,26448.6326,474816.2421
