,全社会住宅投资,城镇住宅投资,房地产住宅投资
1978年,,,
1979年,,,
1980年,,,
1981年,,,
1982年,,,
1983年,,,
1984年,,,
1985年,,,
1986年,,,
1987年,,,
1988年,,,
1989年,,,
1990年,,,
1991年,,,
1992年,,,
1993年,,,
1994年,,,
1995年,4736.69,3278.19,1753.1
1996年,5198.54,3326.22,1699.17
1997年,5370.68,3319.67,1539.3805
1998年,6393.81,4310.81,2081.5647
1999年,7058.78,5050.88,2638.4794
2000年,7594.14,5435.28,3311.98
2001年,8339.1,6261.52,4216.68
2002年,9407.1,7248.91,5227.76
2003年,10792.3,8624.83,6776.69
2004年,13464.08,11010.13,8836.95
2005年,15427.2332,12825.7581,10860.9322
2006年,19333.054,16305.5445,13638.4071
2007年,25005.0111,21238.2926,18005.4184
2008年,30881.2,26516.0,22440.9
2009年,36428.2313,30512.7395,25613.6938
2010年,45027.0095,39763.0995,34026.2276
2011年,57824.4288,51773.3739,44319.5018
2012年,64412.7879,57844.273,49374.2137
2013年,74870.674,67483.3561,58950.7627
2014年,80615.1401,72888.3674,64352.1513
