,固定资产投资(不含农户)其他资金,固定资产投资(不含农户)利用外资,固定资产投资(不含农户)国内贷款,固定资产投资(不含农户)国家预算内资金,固定资产投资(不含农户)自筹资金
1978年,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0
1995年,2013.66,2114.05,3511.86,568.98,7940.79
1996年,3308.9,2475.6,3903.19,576.4,7748.18
1997年,3597.73,2424.49,4136.68,631.68,8722.33
1998年,4512.13,2377.89,4918.03,1108.72,9885.48
1999年,4893.13,1832.21,5249.8,1613.81,10042.86
2000年,5619.95,1526.15,6245.82,1795.02,11227.52
2001年,6561.44,1570.5,6672.49,2261.74,13708.53
2002年,7723.91,1825.83,8167.51,2750.81,16567.7
2003年,9448.21,2211.7,11223.89,2360.14,23617.35
2004年,12514.5,2706.59,12842.9,2855.6,32196.07
2005年,14369.667,3386.4113,15363.8632,3637.8711,44154.5146
2006年,18147.0156,3811.048,18814.8227,4438.7391,56547.5065
2007年,24073.3405,4549.018,22136.0823,5464.1294,74520.8817
2008年,23194.4192,4695.7883,25466.0119,7377.0095,97846.4513
2009年,38117.6916,3983.5455,37634.138,11493.627,127557.6668
2010年,44823.6119,4339.6371,45104.6986,13104.665,165751.9682
2011年,50094.7567,5061.9946,46034.8321,14843.2898,220860.2307
2012年,56555.0238,4468.7778,51292.3703,18958.6617,268560.2229
2013年,70953.3422,4319.4445,59056.3074,22305.2551,324431.5014
2014年,67449.5801,4052.861,64512.2204,26745.4219,369964.6896
