,煤炭开采及洗选业固定资产投资(不含农户),电力、热力及燃气的生产和供应业固定资产投资(不含农户),石油及天然气开采业固定资产投资(不含农户),石油及炼焦加工业固定资产投资(不含农户),能源工业固定资产投资(不含农户)
1978年,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0
1991年,116.58,377.75,88.34,63.47,646.14
1992年,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0
1995年,285.6,1336.86,503.82,194.38,2369.16
1996年,216.53,1374.19,221.09,122.51,1980.79
1997年,266.03,1757.34,338.18,151.61,2569.41
1998年,182.01,1938.53,310.13,137.84,2633.13
1999年,124.88,1989.96,315.6,75.82,2564.28
2000年,211.39,2744.47,789.41,172.55,3991.48
2001年,222.19,2467.78,809.65,241.99,3818.18
2002年,301.19,2822.82,814.63,235.97,4261.94
2003年,436.4297,3803.9029,945.9899,322.0402,5508.3627
2004年,690.42,5064.1856,1112.28,637.91,7504.7956
2005年,1162.9453,6777.8284,1463.5591,801.2924,10205.6252
2006年,1459.0224,7605.764,1822.228,939.2854,11826.2998
2007年,1804.5849,8253.1606,2225.4951,1415.3806,13698.6212
2008年,2399.2474,9443.6757,2675.0724,1827.5052,16345.5377
2009年,3056.9292,11789.7211,2791.482,1839.8163,19477.9486
2010年,3784.6615,12879.367,2927.9883,2035.0832,21627.1
2011年,4907.2605,12847.892,3021.9589,2268.4785,23045.5899
2012年,5370.2389,14552.5953,3076.5136,2500.4517,25499.7995
2013年,5212.5675,16936.5984,3820.6143,3039.1319,29008.9121
2014年,4684.4669,19674.0659,3947.8658,3208.4923,31514.8909
