,专业技术服务业固定资产投资(不含农户)其他费用,专用设备制造业固定资产投资(不含农户)其他费用,中国共产党机关固定资产投资(不含农户)其他费用,交通运输、仓储和邮政业固定资产投资(不含农户)其他费用,交通运输设备制造业固定资产投资(不含农户)其他费用,人民政协和民主党派固定资产投资(不含农户)其他费用,仓储业固定资产投资(不含农户)其他费用,仪器仪表文化办公用机械制造业固定资产投资(不含农户)其他费用,住宿业固定资产投资(不含农户)其他费用,住宿和餐饮业固定资产投资(不含农户)其他费用,体育固定资产投资(不含农户)其他费用,保险业固定资产投资(不含农户)其他费用,信息传输、计算机服务和软件业固定资产投资(不含农户)其他费用,公共管理和社会组织固定资产投资(不含农户)其他费用,公共设施管理业固定资产投资(不含农户)其他费用,其他建筑业固定资产投资(不含农户)其他费用,其他服务业固定资产投资(不含农户)其他费用,其他采矿业固定资产投资(不含农户)其他费用,其他金融活动固定资产投资(不含农户)其他费用,农、林、牧、渔业固定资产投资(不含农户)其他费用,农、林、牧、渔服务业固定资产投资(不含农户)其他费用,农业固定资产投资(不含农户)其他费用,农副食品加工业固定资产投资(不含农户)其他费用,制造业固定资产投资(不含农户)其他费用,化学原料及化学制品制造业固定资产投资(不含农户)其他费用,化学纤维制造业固定资产投资(不含农户)其他费用,医药制造业固定资产投资(不含农户)其他费用,卫生、社会保障和社会福利业固定资产投资(不含农户)其他费用,卫生固定资产投资(不含农户)其他费用,印刷业和记录媒介的复制固定资产投资(不含农户)其他费用,商务服务业固定资产投资(不含农户)其他费用,固定资产投资(不含农户)其他费用,国家机构固定资产投资(不含农户)其他费用,国际组织固定资产投资(不含农户)其他费用,地质勘查业固定资产投资(不含农户)其他费用,城市公共交通业固定资产投资(不含农户)其他费用,基层群众自治组织固定资产投资(不含农户)其他费用,塑料制品业固定资产投资(不含农户)其他费用,娱乐业固定资产投资(不含农户)其他费用,家具制造业固定资产投资(不含农户)其他费用,居民服务业固定资产投资(不含农户)其他费用,居民服务和其他服务业固定资产投资(不含农户)其他费用,工艺品及其他制造业固定资产投资(不含农户)其他费用,广播、电视、电影和音像业固定资产投资(不含农户)其他费用,废弃资源和废旧材料回收加工业固定资产投资(不含农户)其他费用,建筑业固定资产投资(不含农户)其他费用,建筑安装业固定资产投资(不含农户)其他费用,建筑装饰业固定资产投资(不含农户)其他费用,房地产业固定资产投资(不含农户)其他费用,房屋和土木工程建筑业固定资产投资(不含农户)其他费用,批发业固定资产投资(不含农户)其他费用,批发和零售业固定资产投资(不含农户)其他费用,教育固定资产投资(不含农户)其他费用,文化、体育和娱乐业固定资产投资(不含农户)其他费用,文化艺术业固定资产投资(不含农户)其他费用,文教体育用品制造业固定资产投资(不含农户)其他费用,新闻出版业固定资产投资(不含农户)其他费用,有色金属冶炼及压延加工业固定资产投资(不含农户)其他费用,有色金属矿采选业固定资产投资(不含农户)其他费用,木材加工及木竹藤棕草制品业固定资产投资(不含农户)其他费用,林业固定资产投资(不含农户)其他费用,橡胶制品业固定资产投资(不含农户)其他费用,水上运输业固定资产投资(不含农户)其他费用,水利、环境和公共设施管理业固定资产投资(不含农户)其他费用,水利管理业固定资产投资(不含农户)其他费用,水的生产和供应业固定资产投资(不含农户)其他费用,渔业固定资产投资(不含农户)其他费用,烟草制品业固定资产投资(不含农户)其他费用,煤炭开采和洗选业固定资产投资(不含农户)其他费用,燃气生产和供应业固定资产投资(不含农户)其他费用,环境管理业固定资产投资(不含农户)其他费用,电信和其他信息传输服务业固定资产投资(不含农户)其他费用,电力、热力的生产和供应业固定资产投资(不含农户)其他费用,电力燃气水的生产供应业固定资产投资(不含农户)其他费用,电气机械及器材制造业固定资产投资(不含农户)其他费用,畜牧业固定资产投资(不含农户)其他费用,皮革毛皮羽毛(绒)及其制品业固定资产投资(不含农户)其他费用,石油加工、炼焦及核燃料加工业固定资产投资(不含农户)其他费用,石油和天然气开采业固定资产投资(不含农户)其他费用,研究与试验发展固定资产投资(不含农户)其他费用,社会保障业固定资产投资(不含农户)其他费用,社会福利业固定资产投资(不含农户)其他费用,科学研究、技术服务和地质勘查业固定资产投资(不含农户)其他费用,科技交流和推广服务业固定资产投资(不含农户)其他费用,租赁业固定资产投资(不含农户)其他费用,租赁和商务服务业固定资产投资(不含农户)其他费用,管道运输业固定资产投资(不含农户)其他费用,纺织业固定资产投资(不含农户)其他费用,纺织服装、鞋、帽制造业固定资产投资(不含农户)其他费用,群众团体、社会团体和宗教组织固定资产投资(不含农户)其他费用,航空运输业固定资产投资(不含农户)其他费用,装卸搬运和其他运输服务业固定资产投资(不含农户)其他费用,计算机服务业固定资产投资(不含农户)其他费用,证券业固定资产投资(不含农户)其他费用,软件业固定资产投资(不含农户)其他费用,通信设备、计算机及其他电子设备制造业固定资产投资(不含农户)其他费用,通用设备制造业固定资产投资(不含农户)其他费用,造纸及纸制品业固定资产投资(不含农户)其他费用,道路运输业固定资产投资(不含农户)其他费用,邮政业固定资产投资(不含农户)其他费用,采矿业固定资产投资(不含农户)其他费用,金属制品业固定资产投资(不含农户)其他费用,金融业固定资产投资(不含农户)其他费用,铁路运输业固定资产投资(不含农户)其他费用,银行业固定资产投资(不含农户)其他费用,零售业固定资产投资(不含农户)其他费用,非金属矿物制品业固定资产投资(不含农户)其他费用,非金属矿采选业固定资产投资(不含农户)其他费用,食品制造业固定资产投资(不含农户)其他费用,餐饮业固定资产投资(不含农户)其他费用,饮料制造业固定资产投资(不含农户)其他费用,黑色金属冶炼及压延加工业固定资产投资(不含农户)其他费用,黑色金属矿采选业固定资产投资(不含农户)其他费用
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2490.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2587.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2934.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3611.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3364.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4029.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4752.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6257.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,23.1626,33.9316,2.4823,754.0545,80.1066,0.8178,21.3627,9.5286,39.9371,55.5247,14.1728,0.5206,64.0816,237.7809,1012.0327,4.1516,3.1179,0.1457,0.3996,170.8039,22.3179,33.5218,36.8715,1091.6459,168.021,9.9726,57.4371,25.4332,22.4668,10.3238,65.4894,8419.71,222.6024,0.0006,1.9291,101.6576,7.4179,22.3496,35.5529,10.9543,7.8693,10.9872,55.29,15.1297,1.5527,76.5548,2.2199,1.0365,3381.8868,69.1468,49.4744,131.6256,203.8555,85.4972,18.3617,4.0832,2.2801,42.8971,7.49,12.5616,83.8344,9.2029,45.6007,1203.0403,115.1814,45.7162,2.9801,6.5958,61.4936,18.3294,75.8262,54.1935,558.9291,622.9747,36.0533,28.1497,9.5083,31.0979,102.4985,19.415,0.4144,2.552,50.6951,6.1884,0.1648,65.6542,21.1345,44.405,24.2285,4.4605,22.836,2.0409,1.8432,0.3332,8.0449,54.0776,38.5071,28.1796,449.0226,2.7399,180.2769,28.063,7.3346,87.6596,6.0812,82.1512,77.0313,5.0303,24.7373,15.5876,19.6467,104.4303,3.6188
2004年,12.6323,41.39,2.3425,847.2171,98.76,0.2026,36.5409,12.79,35.7406,56.4037,27.2627,0.3185,61.7199,252.7932,1054.7219,4.25,4.2923,0.07,0.9199,209.78,31.44,44.44,47.81,1381.55,253.5,15.05,62.59,42.1123,38.9314,13.06,69.2231,10053.4,229.7839,0.0015,2.3876,65.7924,18.5499,27.82,18.4034,10.76,7.6077,11.9,45.37,7.8189,1.6,51.22,0.51,0.99,4301.8,45.46,76.6088,187.4843,200.7269,76.2961,19.7944,5.37,3.0167,47.36,9.86,19.96,80.72,10.71,53.5898,1238.5349,132.4058,52.46,7.05,6.74,66.96,22.97,51.4072,54.9393,729.03,804.45,50.29,46.14,14.67,63.01,104.89,25.517,0.4792,2.7017,48.7292,8.1923,0.311,69.5341,18.2946,52.88,27.99,1.9143,37.6244,3.3711,1.6791,0.134,5.1015,47.27,54.22,46.32,516.2692,1.2125,202.45,42.57,8.6725,114.5222,7.3001,110.8755,90.53,9.39,35.42,20.6631,18.87,116.88,11.27
2005年,30.87,76.71,2.37,1193.86,154.7,2.53,41.6,13.47,74.14,102.56,32.76,1.1,84.33,297.58,1279.8,6.84,5.71,0.5,1.99,254.92,36.47,61.47,85.71,1860.79,220.55,12.98,86.16,51.48,47.57,20.01,110.84,12501.7511,255.62,0.0,4.53,150.92,28.75,43.28,27.73,24.4,15.88,21.59,41.42,14.61,1.39,90.78,2.15,1.2,4934.55,80.59,97.0,225.1,213.81,150.25,72.19,8.79,2.96,60.07,20.42,25.46,98.45,14.34,103.59,1486.97,147.58,60.7,8.47,17.37,143.37,28.7,59.59,67.12,905.01,994.4,73.98,50.06,20.36,84.32,129.36,25.72,0.71,3.2,75.7,14.58,0.69,111.52,4.51,82.39,43.82,8.3,43.38,3.61,3.18,0.21,14.04,80.8,106.43,47.68,650.75,2.1,341.18,71.15,10.37,193.39,7.07,128.1,109.13,18.41,53.7,28.41,32.29,147.93,29.12
2006年,21.7839,109.6635,4.0376,1558.4325,214.763,0.6855,72.5266,23.784,95.0358,138.1737,46.845,1.5438,87.0269,310.702,1730.1482,9.9022,9.2565,0.8027,1.0162,307.0878,48.6791,70.273,117.2525,2474.0867,273.4206,21.6893,87.1848,67.592,60.5275,27.5527,158.9637,15871.7025,257.8894,0.0,8.8042,240.8667,39.8197,63.6789,48.2337,28.4181,13.6276,22.8841,66.5309,12.6664,4.0666,77.6075,2.687,0.925,6181.085,64.0933,136.5874,310.9479,260.0748,150.5175,40.0661,14.1131,2.7063,81.763,35.1561,38.3271,128.2116,22.8449,118.2143,2023.5607,185.8659,71.5785,8.2521,12.0091,179.9512,40.0391,107.5466,70.7548,1071.5505,1183.1681,112.3756,51.672,34.7963,106.8813,196.9356,32.1311,2.5922,4.4723,73.77,11.0508,1.8943,160.858,5.718,98.0065,57.0898,8.2698,88.5231,5.8154,3.1951,1.7777,13.077,115.4593,151.7095,54.7846,764.6369,3.5715,471.9568,108.2568,12.1705,258.56,7.8328,174.3605,161.8501,22.808,73.848,43.1379,55.6838,136.283,36.3032
2007年,16.7747,171.9587,1.95,1852.6773,336.3799,0.3023,111.6254,29.7588,143.0374,197.6666,33.0046,1.1925,89.1184,341.2518,2084.6186,18.2507,9.024,1.8035,3.7282,378.1896,57.9657,76.9548,155.15,3445.6065,380.1572,19.0523,86.1702,70.6054,59.8009,36.5922,184.1222,20174.3774,288.1547,0.0,15.1042,376.741,42.7035,79.806,52.0573,44.8559,17.3622,26.3862,81.5845,18.9138,10.0274,105.7124,3.5108,2.1692,8314.6672,81.7817,197.6012,394.0987,266.7507,175.8986,64.3321,16.7314,7.5908,112.1252,58.9015,58.8954,164.4393,31.0507,96.4007,2415.3314,180.8684,91.8192,11.2774,16.5568,186.3578,35.7158,149.8444,67.6145,1199.9405,1327.4755,177.4216,67.5524,40.5896,134.0942,165.2632,28.4877,1.52,9.2845,76.1857,15.8191,1.7937,185.9159,5.7564,116.7501,84.5072,8.1413,77.4584,9.1624,3.3228,0.2946,18.1811,175.9071,231.2683,69.5066,872.8903,0.9826,495.6638,151.7109,15.1757,301.6601,9.9604,196.4975,258.5855,32.4495,91.2027,54.6292,69.4549,177.7552,50.8883
2008年,29.3445,211.247,0.9116,2778.5601,387.8478,0.2967,147.289,36.624,170.2582,233.2836,44.382,0.4175,112.5827,400.488,2691.5606,12.4263,14.5869,0.7406,4.3299,546.3671,85.5446,99.9034,189.2191,4204.0612,438.5887,16.8752,116.8174,106.4198,94.255,39.8036,235.3188,24804.1465,307.1816,0.0,14.8725,370.2897,84.7535,93.1346,71.2191,49.2554,23.5921,38.179,112.7316,13.6454,15.5881,135.6623,5.2464,2.7406,9783.9828,115.249,221.1488,449.9798,254.7446,219.8977,84.0822,17.0614,6.569,172.2002,80.9699,73.7898,217.9924,28.4199,148.54,3032.1197,197.6309,105.3621,15.9089,19.9171,278.6207,37.9907,142.9282,74.7958,1296.3482,1439.701,232.2139,127.0178,53.0744,173.0259,201.6417,35.5016,2.6751,9.4897,95.6921,15.9735,2.2707,237.5895,13.9959,104.3166,76.8284,7.3446,86.3079,15.7615,4.4871,10.8492,33.2998,186.6368,290.1968,105.5969,1047.4539,1.936,697.5751,192.8413,37.2604,946.9862,21.6638,228.831,370.3833,45.8297,94.9661,63.0254,84.106,220.7539,89.7725
2009年,40.6424,288.4855,3.3015,4302.5063,537.4096,0.641,232.1927,40.8098,216.1511,305.7448,68.2251,2.5137,111.9415,489.1527,3711.9924,17.9596,47.2323,3.1589,6.6046,813.2821,136.7404,173.9554,252.0345,5469.8779,601.871,18.1467,151.2444,158.3333,127.8855,52.2923,332.0777,31806.1849,398.6067,0.0,33.8755,654.5883,74.4522,124.1657,139.3308,62.6327,33.3126,80.5449,120.031,18.35,25.3197,146.8387,4.5639,3.7319,11044.8874,120.5833,235.2063,557.5839,369.9716,339.1975,105.5745,16.8561,7.7171,202.0405,98.4712,98.7573,297.8209,55.6259,223.6813,4324.439,380.9036,183.3455,24.3592,30.3754,402.549,52.0154,231.543,80.0028,1626.3071,1861.668,343.0969,180.4062,56.573,187.4839,216.2959,51.1732,9.9813,20.4665,156.3548,30.6637,3.1591,335.2368,4.3692,132.1816,89.3272,12.1513,102.2123,39.4705,6.3737,0.3856,25.565,238.8425,363.2893,108.0835,1654.6705,3.5734,889.0701,240.5546,49.5536,1387.7481,40.0497,322.3776,526.4588,69.4029,131.58,89.5937,109.8833,264.4252,99.1922
2010年,56.6,443.2,3.1,4367.4,729.5,0.3,267.1,64.4,341.4,459.3,65.3,3.3,168.1,662.6,4137.8,36.8,102.3,4.3,14.1,927.4,177.0,233.5,360.9,7335.8,698.6,43.1,209.4,184.2,143.3,51.0,460.5,41137.0122,536.5,0.0,38.4,635.3,98.1,161.1,183.7,91.2,56.6,158.9,180.7,23.1,34.1,226.6,4.3,3.2,16322.6,182.3,330.4,796.8,385.5,409.1,127.7,26.8,9.3,303.3,140.9,131.5,304.5,86.5,241.5,5031.1,651.9,177.0,33.3,23.7,530.8,116.3,241.4,89.8,1501.1,1794.4,475.0,179.1,66.3,261.1,240.4,77.6,16.5,24.5,218.0,45.4,5.3,465.9,12.6,195.0,133.9,24.7,100.1,45.8,37.5,22.3,40.8,338.4,454.5,127.9,1777.8,2.7,1140.2,343.8,83.1,1284.6,43.4,466.4,670.1,99.5,188.4,117.8,139.8,302.6,124.2
