,政府部门金融交易资金运用_中央银行贷款,政府部门金融交易资金运用_保险准备金,政府部门金融交易资金运用_其他(净),政府部门金融交易资金运用_其他对外债权债务,政府部门金融交易资金运用_净金融投资,政府部门金融交易资金运用_准备金,政府部门金融交易资金运用_国际储备资产,政府部门金融交易资金运用_国际收支错误与遗漏,政府部门金融交易资金运用_存款,政府部门金融交易资金运用_库存现金,政府部门金融交易资金运用_未贴现的银行承兑汇票,政府部门金融交易资金运用_直接投资,政府部门金融交易资金运用_证券,政府部门金融交易资金运用_证券公司客户保证金,政府部门金融交易资金运用_证券投资基金份额,政府部门金融交易资金运用_贷款,政府部门金融交易资金运用_资金来源,政府部门金融交易资金运用_资金运用,政府部门金融交易资金运用_通货,政府部门金融交易资金运用_金融机构往来
1978年,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,
1992年,,,,,-654.7,,,,-78.1,,,,,,,,,23.9,48.0,
1993年,,,,,-227.3,,,,550.33,,,,-0.8,,,,,668.27,41.51,
1994年,,,,,-49.27,,,,1182.88,,,,19.36,,,,,1384.85,13.96,
1995年,,,,,-88.63,,,,1172.96,,,,-4.43,,,,,1283.78,5.85,
1996年,,,,,-403.84,,,,1459.55,,,,,,,,,1578.0,9.28,
1997年,,,,,,,,,,,,,,,,,,,,
1998年,,,2375.19,,-1097.93,,,,1312.31,,,,13.22,,,,,3720.07,19.37,
1999年,,,-57.51,,-2190.22,,,,918.64,,,,8.43,,,,,914.58,45.02,
2000年,,,,,,,,,,,,,,,,,,,,
2001年,,,-23.07,,-1068.6,,,,2024.82,,,,-22.86,,,,,1999.61,20.72,
2002年,,,100.411905596,,-1752.0,,,,2898.32440984,,,,13.76228,,,,,3044.3,31.7846052242,
2003年,,,-53.453130437,,-540.465631508,,,,3762.14563265,,,,114.296517377,,,,,3872.34830729,49.3592876998,
2004年,,,30.616235869,,-2429.68658246,,,,2244.55033849,,,,-122.8667,,,,,2186.8589795,34.5591051372,
2005年,,,241.465808793,,3310.66533904,,,,7937.11197103,,,,-30.7426047156,,,,,8199.49481791,51.6596427983,
2006年,,,422.0,,4687.0,,,,8582.0,,,,-118.0,,,,,8946.0,60.0,
2007年,,,923.0,,-6540.0,,,,12957.0,,,,257.0,,,,,14204.0,67.0,
2008年,,,,,61.0,,,,5731.0,,,,,,44.0,,,5858.0,82.0,
2009年,,,20.0,,8264.0,,,,19591.0,,,,-40.0,,-1.0,,,19651.0,81.0,
2010年,,,9.4996,,5619.04087843,,,,19487.3280972,,,,195.01,-11.277593663,-271.365664434,,,19539.3431784,130.14873934,
2011年,,,-16.0,,10178.0,,,,19763.0,,,,112.0,-35.0,416.0,,,20363.0,123.0,
2012年,,,1068.0,,5899.0,,,,20569.0,,,,505.0,-19.0,142.0,,,22344.0,78.0,
2013年,,,94.9300079146,-0.0240604187812,15809.2389409,,,,36596.5782885,,,,-563.173777397,-58.1707052562,253.39291,,,36401.8406144,78.307951002,
2014年,,,,,,,,,,,,,,,,,,,,
