,中外合作经营批发企业法人企业数,中外合资经营批发企业法人企业数,其他内资批发企业法人企业数,其他外商投资批发业法人企业数,其他有限责任公司批发企业法人企业数,其他港澳台商投资批发企业法人企业数,其他联营批发企业法人企业数,内资批发企业法人企业数,合作经营批发企业(港或澳、台资)法人企业单位数,合资经营批发企业(港或澳、台资)法人企业单位数,国有与集体联营批发企业法人企业数,国有批发企业法人企业数,国有独资公司批发企业法人企业数,国有联营批发企业法人企业数,外商投资批发企业法人企业数,外商投资股份有限公司批发企业法人企业数,外资批发企业法人企业数,批发业法人企业单位数,有限责任公司批发企业法人企业数,港、澳、台商投资股份有限公司批发企业法人企业数,港、澳、台商独资经营批发企业法人企业数,港澳台投资批发企业法人企业数,私营合伙批发企业法人企业数,私营批发企业法人企业数,私营有限责任公司批发企业法人企业数,私营独资批发企业法人企业数,私营股份有限公司批发企业法人企业数,联营批发企业法人企业数,股份合作批发企业法人企业数,股份有限公司批发企业法人企业数,集体批发企业法人企业数,集体联营批发企业法人企业数
2005年,14.0,117.0,72.0,,7016.0,,33.0,25947.0,13.0,62.0,38.0,4710.0,426.0,84.0,708.0,10.0,567.0,26963.0,7442.0,6.0,227.0,308.0,130.0,10933.0,10109.0,259.0,435.0,173.0,354.0,1164.0,1099.0,18.0
2006年,17.0,127.0,91.0,,7227.0,,42.0,27106.0,11.0,69.0,42.0,4234.0,379.0,79.0,709.0,14.0,551.0,28125.0,7606.0,8.0,222.0,310.0,131.0,12594.0,11687.0,295.0,481.0,186.0,292.0,1075.0,1028.0,23.0
2007年,11.0,141.0,105.0,,7479.0,,42.0,27839.0,14.0,83.0,45.0,3810.0,356.0,72.0,818.0,14.0,652.0,29046.0,7835.0,5.0,287.0,389.0,150.0,13673.0,12571.0,455.0,497.0,181.0,282.0,1028.0,925.0,22.0
2008年,28.0,292.0,372.0,,12887.0,,34.0,56652.0,17.0,153.0,35.0,4584.0,483.0,59.0,1909.0,47.0,1542.0,59432.0,13370.0,24.0,677.0,871.0,718.0,34665.0,30360.0,2197.0,1390.0,150.0,450.0,1798.0,1263.0,22.0
2009年,22.0,283.0,402.0,,11923.0,,29.0,50498.0,17.0,159.0,33.0,3922.0,458.0,51.0,1565.0,38.0,1222.0,52853.0,12381.0,24.0,590.0,790.0,464.0,30657.0,27205.0,1808.0,1180.0,130.0,372.0,1533.0,1101.0,17.0
2010年,22.0,367.0,483.0,,13457.0,,31.0,56684.0,12.0,182.0,25.0,3857.0,475.0,53.0,1818.0,38.0,1391.0,59464.0,13932.0,33.0,735.0,962.0,534.0,35222.0,31038.0,2397.0,1253.0,129.0,352.0,1588.0,1121.0,20.0
2011年,23.0,372.0,1536.0,5.0,15994.0,2.0,35.0,63170.0,20.0,211.0,24.0,3936.0,536.0,51.0,2321.0,40.0,1881.0,66752.0,16530.0,31.0,997.0,1261.0,509.0,37980.0,33918.0,2306.0,1247.0,130.0,353.0,1675.0,1030.0,20.0
2012年,23.0,354.0,1821.0,14.0,18250.0,3.0,31.0,69356.0,18.0,215.0,20.0,4005.0,597.0,57.0,2261.0,33.0,1837.0,72944.0,18847.0,35.0,1056.0,1327.0,460.0,41650.0,37652.0,2343.0,1195.0,131.0,352.0,1606.0,944.0,23.0
2013年,21.0,377.0,1548.0,14.0,24190.0,1.0,9.0,87201.0,20.0,257.0,8.0,2755.0,1204.0,16.0,2640.0,39.0,2189.0,91607.0,25394.0,39.0,1449.0,1766.0,168.0,54453.0,51895.0,922.0,1468.0,45.0,225.0,2016.0,765.0,12.0
2014年,19.0,392.0,1196.0,23.0,26295.0,1.0,6.0,89668.0,23.0,282.0,6.0,2556.0,1303.0,6.0,2456.0,38.0,1984.0,93960.0,27598.0,45.0,1485.0,1836.0,141.0,55379.0,53127.0,764.0,1347.0,30.0,197.0,1981.0,731.0,12.0
