,其他批发法人企业数,农畜产品批发法人企业数,化肥批发法人企业数,医药及医疗器材批发法人企业数,家用电器批发法人企业数,建材批发法人企业数,文化、体育用品及器材批发法人企业数,服装批发法人企业数,机械设备、五金交电及电子产品批发法人企业数,汽车、摩托车及零配件批发法人企业数,烟草制品批发法人企业数,煤炭及制品批发法人企业数,石油及制品批发法人企业数,矿产品、建材及化工产品批发法人企业数,米、面制品及食用油批发法人企业数,纺织、服装及日用品批发法人企业数,计算机、软件及辅助设备批发法人企业数,贸易经纪与代理法人企业数,金属及金属矿批发法人企业数,食品、饮料及烟草制品批发法人企业数
1978年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004年,1401,1728,699,1954,688,1047,808,764,6616,1526,1428,1153,1911,11789,658,2499,876,300,4580,3661
2005年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008年,2774,2123,1074,3078,1017,2567,1417,1643,11024,1985,902,3235,2645,27772,905,5550,1331,1013,12097,4681
2009年,2407,1931,1007,3068,946,2337,1268,1542,10230,1838,742,3029,2352,23599,807,5210,1368,859,9546,4281
2010年,2851,2261,1186,3462,1036,2827,1303,1635,11067,2001,618,3760,2687,26966,950,5758,1355,926,10506,4870
2011年,3192,2565,1251,3834,1201,3229,1463,1883,12295,2198,617,4349,3095,30249,1038,6685,1479,973,11667,5496
2012年,3092,2922,1424,4335,1266,3514,1645,2043,11491,1258,598,5215,3417,33376,1171,8764,1420,949,12487,6370
2013年,3476,4455,1755,5175,1534,4654,2383,2630,14184,1487,601,5936,4029,40665,1457,11225,1494,1098,14615,8946
2014年,3354,4853,1850,5698,1560,4994,2515,2705,14746,1555,570,5762,4182,40460,1592,11667,1558,1093,13843,9574
