,专科院校教职工数,中等教育教职工数,中等职业教育教职工数,九年一贯制普通初中教职工数,九年一贯制普通小学教职工数,其他机构(教学点)教职工数,初中阶段教育教职工数,初等教育教职工数,初级中学教职工数,十二年一贯制普通初中教职工数,十二年一贯制普通小学教职工数,十二年一贯制普通高中教职工数,学前教育教职工数,小学教职工数,工读学校教职工数,成人中专教职工数,成人初中教职工数,成人小学教职工数,成人高中教职工数,成人高等学校教职工数,扫盲班教职工数,技工学校教职工数,普通中专教职工数,普通初中完全中学教职工数,普通初中教职工数,普通小学教职工数,普通高中完全中学教职工数,普通高中教职工数,普通高校研究生培养机构教职工数,普通高等学校教职工数,本科院校教职工数,民办的其他高等教育机构教职工数,特殊教育教职工数,独立学院教职工数,研究生培养机构教职工数,科研机构研究生培养机构教职工数,职业初中教职工数,职业技术学院教职工数,职业高中教职工数,高中教职工数,高中阶段教育教职工数,高等教育教职工数,高级中学教职工数
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7,0.0,0.0,562.0,0.0,0.0,0.0,51.8,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.2,0.0,0.0,587.5,0.0,0.0,0.0,57.4,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.8,0.0,0.0,605.4,0.0,0.0,0.0,63.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.6,0.0,0.0,616.5,0.0,0.0,0.0,66.6,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,35.2,0.0,0.0,611.3,0.0,0.0,0.0,73.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,36.4,0.0,0.0,606.0,0.0,0.0,0.0,76.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9,37.9,0.0,0.0,603.0,0.0,0.0,0.0,80.4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,40.3,0.0,0.0,602.1,0.0,0.0,0.0,87.1,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4,43.6,0.0,0.0,606.5,0.0,0.0,0.0,93.1,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.1088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1556,45.904,0.0,0.0,608.4683,0.0,0.0,0.0,96.8657,0.0,0.0,1.4483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.9107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.039,47.5981,0.0,0.0,614.2398,0.0,0.0,0.0,99.3643,0.0,0.0,1.6056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.2389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5782,48.212,0.0,0.0,619.521,0.0,0.0,0.0,100.4049,0.0,0.0,1.7932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.8,49.2218,0.0,0.0,624.0047,0.0,0.0,0.0,100.591,0.0,0.0,2.0267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.2362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.5,49.3936,0.0,0.0,619.3519,0.0,0.0,0.0,100.8898,0.0,0.0,2.3358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.1377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.6,50.3,0.0,0.0,619.9027,0.0,0.0,0.0,101.4,0.0,0.0,2.6978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.5,51.1,0.0,0.0,621.8,0.0,0.0,0.0,102.1,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.9211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,51.6535,0.0,0.0,627.1,0.0,0.0,0.0,104.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.7,52.9853,0.0,0.0,632.4,0.0,0.0,0.0,104.1,0.0,0.0,3.6818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.3807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.5,54.2848,0.0,0.0,638.6,0.0,0.0,0.0,103.6,0.0,0.0,3.9695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
