,专科院校学校数,中等教育学校数,中等职业教育学校数,九年一贯制普通初中学校数,九年一贯制普通小学学校数,其他机构(教学点)学校数,初中阶段教育学校数,初等教育学校数,初级中学数,十二年一贯制普通初中学校数,十二年一贯制普通小学学校数,十二年一贯制普通高中学校数,学前教育学校数,小学学校数,工读学校学校数,成人中专学校数,成人初中学校数,成人小学学校数,成人高中学校数,成人高等学校学校数,扫盲班学校数,技工学校学校数,普通中专学校数,普通初中学校数,普通初中完全中学数,普通小学学校数,普通高中学校数,普通高中完全中学数,普通高校研究生培养机构学校数,普通高等学校学校数,本科院校学校数,民办的其他高等教育机构学校数,特殊教育学校数,独立学院学校数,研究生培养机构学校数,科研机构研究生培养机构学校数,职业初中学校数,职业技术学院学校数,职业高中学校数,高中学校数,高中阶段教育学校数,高等教育学校数,高级中学数
1978年,0,0,0,0,0,0,0,0,0,0,0,0,163952,0,0,0,0,0,0,0,0,0,2760,113130,0,949323,49215,0,0,598,0,0,292,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0,0,164629,0,0,0,0,0,0,0,0,0,3033,103944,0,923532,40289,0,0,633,0,0,289,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0,0,170419,0,0,0,0,0,0,0,0,0,3069,87077,0,917316,31300,0,0,675,0,0,292,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0,0,130296,0,0,0,0,0,0,0,0,0,3132,82271,0,894074,24447,0,0,704,0,0,302,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0,0,122107,0,0,0,0,0,0,0,0,3367,3076,80775,0,880516,20874,0,0,715,0,0,312,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0,0,136306,0,0,0,0,0,0,0,0,3443,3090,77598,0,862165,18876,0,0,805,0,0,319,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0,0,166526,0,0,0,0,0,0,0,0,3465,3301,75903,0,853740,17318,0,0,902,0,0,326,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0,0,172262,0,0,0,0,0,0,0,0,3548,3557,75903,0,832309,17318,0,0,1016,0,0,375,0,0,0,1626,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0,0,173376,0,0,0,0,0,0,0,0,3765,3782,75856,0,820846,17111,0,0,1054,0,0,423,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0,0,176775,0,0,0,0,0,0,0,0,3952,3913,75927,0,807406,16930,0,0,1063,0,0,504,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0,0,171845,0,0,0,0,0,0,0,0,3996,4022,74968,0,793261,16524,0,0,1075,0,0,577,0,0,0,0,0,0,0,0,0,0
