,人民法院审理其他婚姻家庭一审案件结案中判决件数,人民法院审理其他继承一审案件结案中判决件数,人民法院审理婚姻家庭、继承一审案件结案中判决件数,人民法院审理婚姻家庭一审案件结案中判决件数,人民法院审理抚养、扶养关系纠纷一审案件结案中判决件数,人民法院审理抚育费纠纷一审案件结案中判决件数,人民法院审理法定继承一审案件结案中判决件数,人民法院审理离婚一审案件结案中判决件数,人民法院审理继承一审案件结案中判决件数,人民法院审理赡养纠纷一审案件结案中判决件数,人民法院审理遗嘱继承一审案件结案中判决件数
1978年,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,485029,0,0,0,0,0,0,0,0
2003年,0,0,476010,0,0,0,0,0,0,0,0
2004年,0,0,426472,0,0,0,0,0,0,0,0
2005年,26211,3219,398241,390242,10501,9102,4179,332730,7999,11698,601
2006年,24379,3617,398484,389836,10782,8296,4391,336430,8648,9949,640
2007年,24649,4409,406179,396333,11571,8167,4717,343039,9846,8907,720
2008年,27187,4268,416077,404818,11712,8893,5945,348337,11259,8689,1046
2009年,28353,4235,399461,387710,10731,7838,6260,332779,11751,8009,1256
2010年,29243,5002,387185,373883,9584,6902,6861,321316,13302,6838,1439
2011年,46893,26329,416136,381118,8271,6958,6989,313119,35018,5877,1700
2012年,38055,31188,412250,372511,7629,6901,6808,314468,39739,5458,1743
2013年,31635,21589,441084,410394,8439,7888,7193,355797,30690,6635,1908
2014年,38042,7801,494784,476255,9481,9337,8498,411494,18529,7901,2230
