,人民法院审理其他婚姻家庭一审案件收案数,人民法院审理其他继承一审案件收案数,人民法院审理婚姻家庭、继承一审案件收案数,人民法院审理婚姻家庭一审案件收案数,人民法院审理抚养、扶养关系纠纷一审案件收案数,人民法院审理抚育费纠纷一审案件收案数,人民法院审理法定继承一审案件收案数,人民法院审理离婚一审案件收案数,人民法院审理继承一审案件收案数,人民法院审理赡养纠纷一审案件收案数,人民法院审理遗嘱继承一审案件收案数
1978年,0,0,0,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,1284415,0,0,0,0,0,0,0,0
2003年,0,0,1264037,0,0,0,0,0,0,0,0
2004年,0,0,1161370,0,0,0,0,0,0,0,0
2005年,60873,7311,1133333,1114879,37280,24556,9961,956313,18454,35857,1182
2006年,60001,8457,1159826,1139174,40574,22839,10824,984167,20652,31593,1371
2007年,67101,10585,1220772,1195718,45013,24446,12750,1029837,25054,29321,1719
2008年,80730,11473,1320364,1286437,49092,27021,20020,1099997,33927,29597,2434
2009年,94739,12653,1379692,1341029,49193,25626,22670,1142586,38663,28885,3340
2010年,108448,16551,1423180,1374136,50499,24020,28439,1164521,49044,26648,4054
2011年,166991,83190,1593743,1471843,48042,25494,33876,1206476,121900,24840,4834
2012年,171541,125861,1686694,1518535,45980,25857,37044,1251234,168159,23923,5254
2013年,120687,73399,1651666,1526279,48229,27394,45785,1304841,125387,25128,6203
2014年,126453,29434,1635244,1548493,50539,27963,50705,1318744,86751,24794,6612
